,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Interest Income on Loans,6323523,6232915,6533452,7756373,7053244,7380667,6899345,6022919,5406245,5351332,5030519,4732232,4236076,4365049,4093460,4049637,3747160,3547922,3483516,3178731,Upgrade
1,Total Interest Income,6323523,6232915,6533452,7756373,7053244,7380667,6899345,6022919,5406245,5351332,5030519,4732232,4236076,4365049,4093460,4049637,3747160,3547922,3483516,3178731,Upgrade
2,Interest Paid on Deposits,3149690,2996142,3106067,3757147,3932519,4466534,3978389,3243241,2665573,2316464,2199140,1921908,1890442,1838447,1829971,1866314,1803459,1783413,1755992,1675670,Upgrade
3,Net Interest Income,3173833,3236773,3427385,3999226,3120725,2914133,2920956,2779678,2740672,3034868,2831379,2810324,2345634,2526602,2263489,2183323,1943701,1764509,1727524,1503061,Upgrade
4,Net Interest Income Growth (YoY),1.70%,11.07%,17.34%,43.87%,13.87%,-3.98%,3.16%,-1.09%,16.84%,20.12%,25.09%,28.72%,20.68%,43.19%,31.03%,45.26%,34.78%,25.64%,34.58%,18.99%,Upgrade
5,Income From Trading Activities,-60976,-44638,475851,32328,551598,237697,34218,-121875,7014,460137,80979,-52968,913227,279498,269985,131094,82180,174457,322949,86817,Upgrade
6,Gain (Loss) on Sale of Assets,-,-,-22,152,-,-,-,568,-,-,-,166,-,-,-,-,-,-,1,265,Upgrade
7,Other Non-Interest Income,882444,1044027,781952,414617,541866,765349,703892,1005001,1017301,1077830,703637,853629,414691,628609,264522,960443,189202,510770,379036,1041141,Upgrade
8,Total Non-Interest Income,821468,999389,1257781,447097,1093464,1003046,738110,883694,1024315,1537967,784616,800827,1327918,908107,534507,1091537,271382,685227,701986,1128223,Upgrade
9,Non-Interest Income Growth (YoY),-24.87%,-0.36%,70.41%,-49.41%,6.75%,-34.78%,-5.93%,10.35%,-22.86%,69.36%,46.79%,-26.63%,389.32%,32.53%,-23.86%,-3.25%,-47.73%,33.61%,12.81%,242.87%,Upgrade
