,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,42403397,45441747,37868122,42051229,38308449,39299185,39629430,35114972,33295953,39543887,42944662,63507483,64931063,48741544,37913346,28731610,26338076,19148640,16821407,14004230,17399365,Upgrade
1,Market Cap Growth,15.63%,15.63%,-4.44%,19.75%,15.05%,-0.62%,-7.72%,-44.71%,-48.72%,-18.87%,13.27%,121.04%,146.53%,154.54%,125.39%,105.16%,51.37%,3.42%,-10.94%,-22.52%,2.74%,Upgrade
2,Last Close Price,16050.00,17200.00,14333.33,15487.65,14109.16,14474.06,14595.69,12932.93,11051.23,13124.97,14253.72,21078.70,21551.20,16177.74,14291.63,10830.53,10422.20,7463.93,6556.80,5458.69,6700.03,Upgrade
3,PE Ratio,8.72,9.35,7.99,9.32,8.58,7.17,6.68,5.51,5.32,6.54,7.88,12.74,13.46,10.59,8.85,7.49,7.51,5.34,4.92,4.35,5.63,Upgrade
4,PS Ratio,3.41,3.66,3.11,3.38,3.12,2.94,2.86,2.46,2.42,2.98,3.53,5.74,6.12,4.76,3.91,3.23,3.07,2.33,2.12,1.87,2.44,Upgrade
5,PB Ratio,1.17,1.25,1.06,1.23,1.17,1.21,1.28,1.04,1.03,1.29,1.48,2.32,2.50,1.97,1.87,1.60,1.57,1.24,1.16,1.01,1.33,Upgrade
6,P/FCF Ratio,-,-,-,7.47,-,-1.34,-1.16,-,-,-,-,-,-,-,-,-,-,-,-0.81,-,-,Upgrade
7,P/OCF Ratio,-,-,-,6.92,-,-1.36,-1.17,-,-,-,-,-,-,-,-,-,-,-,-0.83,-,-,Upgrade
8,Debt / Equity Ratio,1.32,1.32,1.61,1.70,1.41,0.95,1.53,1.27,1.47,2.21,2.62,2.67,2.70,2.24,2.73,2.56,3.00,2.22,2.48,2.55,2.08,Upgrade
9,Debt / FCF Ratio,-,-,-,10.31,-,-1.05,-1.38,-,-,-,-,-,-,-,-,-,-,-,-1.73,-,-,Upgrade
10,Return on Equity (ROE),15.38%,17.45%,17.48%,6.07%,15.94%,16.00%,17.16%,19.33%,22.96%,24.55%,19.48%,20.72%,19.71%,26.51%,26.24%,27.11%,21.19%,23.09%,24.03%,37.50%,Upgrade,
11,Return on Assets (ROA),1.48%,1.70%,1.64%,0.56%,1.47%,1.51%,1.68%,1.88%,2.18%,2.26%,1.75%,1.90%,1.77%,2.21%,2.15%,2.18%,1.69%,1.83%,1.90%,2.94%,Upgrade,
12,Earnings Yield,11.47%,10.70%,12.52%,10.73%,11.65%,13.97%,14.98%,18.15%,18.80%,15.31%,12.70%,7.86%,7.44%,9.45%,11.31%,13.36%,13.33%,18.75%,20.36%,23.00%,17.78%,Upgrade
13,FCF Yield,-56.19%,-52.43%,-6.42%,13.39%,-84.23%,-74.55%,-86.47%,-131.99%,-129.59%,-99.49%,-88.58%,-54.72%,-42.91%,-68.04%,-109.99%,-113.09%,-136.48%,-151.86%,-123.24%,-177.97%,-81.02%,Upgrade
14,Dividend Yield,2.60%,-,-,-,2.95%,-,-,-,13.54%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Payout Ratio,22.64%,79.59%,-,-,-,-,305.81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,-,-,0.00%,0.00%,0.00%,0.00%,-,-,0.00%,-9.33%,-13.57%,-13.57%,-17.44%,-7.42%,-,-2.15%,-,1.21%,-,2.82%,Upgrade,
17,Total Shareholder Return,2.60%,-,-,0.00%,2.95%,0.00%,0.00%,-,13.54%,0.00%,-9.33%,-13.57%,-13.57%,-17.44%,-7.42%,-,-2.15%,-,1.21%,-,2.82%,Upgrade
