,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,9759,8767,8333,7175,7712,6885,8767,8270,8746,2233,2068,Upgrade
1,Market Cap Growth,22.19%,22.19%,8.04%,4.21%,-12.02%,-16.75%,0.24%,270.37%,323.00%,-23.94%,-35.48%,Upgrade
2,Enterprise Value,5995,4210,3638,2546,3084,2523,4236,4192,4524,-1559,-1907,Upgrade
3,Last Close Price,4.72,4.24,3.85,3.21,3.40,3.03,3.86,3.65,3.85,0.98,0.91,Upgrade
4,PE Ratio,7.98,7.17,7.40,6.77,7.93,8.15,9.96,11.20,14.13,4.53,5.13,Upgrade
5,Forward PE,6.97,6.77,6.53,6.14,7.69,7.46,10.53,11.02,15.85,4.46,4.30,Upgrade
6,PS Ratio,0.91,0.82,0.84,0.77,0.94,0.87,1.15,1.14,1.31,0.37,0.37,Upgrade
7,PB Ratio,0.98,0.84,0.79,0.67,0.74,0.65,0.81,0.79,0.88,0.25,0.27,Upgrade
8,P/TBV Ratio,0.88,0.88,0.83,0.72,0.81,0.77,0.97,0.95,1.06,0.28,0.29,Upgrade
9,P/FCF Ratio,-,-,19.72,18.94,-,17.43,19.26,18.56,-,121.90,-,Upgrade
10,P/OCF Ratio,118.02,-,13.71,15.97,19.87,16.01,18.02,18.11,-,82.33,-,Upgrade
11,PEG Ratio,0.36,0.36,0.40,0.37,0.53,0.51,0.69,0.78,2.23,0.55,0.40,Upgrade
12,EV/Sales Ratio,0.56,0.39,0.37,0.27,0.37,0.32,0.56,0.58,0.68,-,-,Upgrade
13,EV/EBITDA Ratio,3.50,2.47,2.34,1.67,2.19,2.07,3.13,3.18,4.03,-,-,Upgrade
14,EV/EBIT Ratio,3.68,2.58,2.46,1.76,2.32,2.21,3.31,3.40,4.36,-,-,Upgrade
15,EV/FCF Ratio,-28.33,-,8.61,6.72,-,6.39,9.31,9.41,-,-,-,Upgrade
16,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.06,0.03,0.02,0.02,0.03,0.26,0.34,Upgrade
17,Debt / FCF Ratio,-,-,0.84,0.86,-,0.84,0.54,0.58,-,125.71,-,Upgrade
18,Return on Capital Employed (ROCE),15.24%,15.24%,13.77%,13.19%,12.45%,10.61%,11.85%,11.72%,10.44%,8.84%,9.74%,Upgrade
19,Earnings Yield,12.52%,13.94%,13.51%,14.76%,12.61%,12.27%,10.04%,8.93%,7.08%,22.07%,19.47%,Upgrade
20,FCF Yield,-2.17%,-2.41%,5.07%,5.28%,4.64%,5.74%,5.19%,5.39%,1.32%,0.82%,26.03%,Upgrade
21,Dividend Yield,5.69%,6.27%,7.80%,6.35%,1.91%,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,-0.00%,0.00%,-0.00%,-0.01%,-0.00%,-,-,-,-,-,-,Upgrade
23,Total Shareholder Return,5.69%,6.28%,7.79%,6.34%,1.91%,-,-,-,-,-,-,Upgrade
