,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,863.47,825.78,708.23,644.66,574.93,671.91,817.65,1146,1136,997.08,Upgrade
1,Short-Term Investments,143.09,102.04,111.35,88.21,120.93,120.68,138.94,73.3,63.64,40.65,Upgrade
2,Cash & Short-Term Investments,1007,927.81,819.57,732.88,695.86,792.59,956.59,1219,1200,1038,Upgrade
3,Cash Growth,22.81%,26.60%,17.78%,-7.53%,-27.26%,-35.01%,-20.29%,17.51%,50.45%,48.33%,Upgrade
4,Accounts Receivable,1347,1234,1258,1399,1305,1250,1364,1258,1013,853.22,Upgrade
5,Other Receivables,-,35.08,-,23.13,-,20.6,-,21.92,-,25.53,Upgrade
6,Receivables,1347,1269,1258,1422,1305,1270,1364,1280,1013,878.75,Upgrade
7,Inventory,752.66,694.64,692.38,791.76,763.05,1062,952.49,728.61,591.27,494.27,Upgrade
8,Other Current Assets,30.35,47.9,32.46,24.49,32.78,24.4,25.83,51.75,27.51,20.7,Upgrade
9,Total Current Assets,3137,2939,2802,2971,2797,3149,3299,3280,2832,2431,Upgrade
10,"Property, Plant & Equipment",605.14,609.87,609.76,625.74,611,687.12,597.25,569.1,509.46,506.45,Upgrade
11,Long-Term Investments,25.34,24.61,24.37,25.66,24.96,28.53,27.5,26.46,23.47,21.61,Upgrade
12,Goodwill,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91,Upgrade
13,Other Intangible Assets,2.26,2.65,3.02,3.58,1.54,1.83,-,-,-,-,Upgrade
14,Long-Term Accounts Receivable,90.15,86.21,69.91,82.4,107.74,100.36,87.68,58.46,37.26,32.02,Upgrade
15,Long-Term Deferred Tax Assets,30.82,31.07,34.64,37.01,40.54,43.55,32.96,38.07,36.45,34.26,Upgrade
16,Other Long-Term Assets,392.71,398.31,329.37,352.08,327.74,366.82,362.48,354.41,375.84,364.87,Upgrade
17,Total Assets,4335,4144,3925,4149,3962,4429,4459,4378,3867,3443,Upgrade
18,Accounts Payable,783.77,623.11,577.84,623.37,572.54,695.69,813.91,762.8,523.86,336.35,Upgrade
19,Short-Term Debt,-,-,-,-,-,21.57,-,-,-,-,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,23.46,68.76,99.7,99.2,Upgrade
21,Current Portion of Leases,3.43,3.43,3.31,2.86,1.11,1.6,1.05,1.34,1.3,1.43,Upgrade
22,Current Income Taxes Payable,38.04,36.75,40.21,39.39,42.51,39.09,48.98,39.9,46.91,30.85,Upgrade
23,Other Current Liabilities,288.22,290.67,253.89,314.91,311.36,348.78,357.32,382.93,274.15,198.12,Upgrade
24,Total Current Liabilities,1113,953.95,875.25,980.52,927.52,1107,1245,1256,945.92,665.94,Upgrade
25,Long-Term Leases,11.88,13.91,15.38,17.06,3.52,4.56,0.2,0.63,0.87,1.38,Upgrade
26,Long-Term Deferred Tax Liabilities,89.97,90.62,75.45,77.18,70.16,77.9,101.79,97.3,84.12,80.81,Upgrade
27,Other Long-Term Liabilities,10.4,11.2,5.26,6.36,10.6,11.67,10.3,9.95,11.32,12.21,Upgrade
28,Total Liabilities,1226,1070,971.34,1081,1012,1201,1358,1365,1044,764.26,Upgrade
29,Common Stock,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,63.05,Upgrade
