,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Other Revenue,-1.81,1.81,-,-,-1.82,1.82,-,-,-4.3,4.3,-,-,-,-,-
1,Revenue,214.63,183.69,164.53,160.58,131.86,161.49,132.36,146.02,146.12,136.82,168.98,217.39,217.39,185.43,185.43
2,Revenue Growth (YoY),62.77%,13.75%,24.31%,9.97%,-9.76%,18.04%,-21.67%,-32.83%,-32.79%,-26.22%,-8.87%,-,-,-,-
3,Cost of Revenue,158.89,143.71,123.64,129.98,93.42,128.15,98.42,115.9,108.8,90.99,157.22,157.92,157.92,169.12,169.12
4,Gross Profit,55.74,39.98,40.9,30.6,38.44,33.34,33.94,30.12,37.32,45.83,11.76,59.47,59.47,16.31,16.31
5,"Selling, General & Admin",23.91,23.79,18.52,18.36,15.88,17.51,12.74,14.48,13.44,29.98,-,31.27,31.27,-,-
6,Research & Development,5.89,6.13,3.78,5.91,5.3,5.68,3.91,6.99,4.48,8.08,-,12.13,12.13,-,-
7,Other Operating Expenses,-4.88,0.53,0.58,1.5,-0.28,-2.73,0.05,11.75,-1.87,-7.5,-,0.81,0.81,-,-
8,Operating Expenses,25.01,31.13,22.46,25.7,20.94,21.13,16.14,32.4,18.52,29.37,-,43.8,43.8,-,-
9,Operating Income,30.73,8.84,18.43,4.9,17.5,12.21,17.8,-2.28,18.81,16.46,11.76,15.67,15.67,16.31,16.31
10,Interest Expense,-0.02,-0.01,-0.01,-,-0.04,-0.03,-0.02,-0,-0,-0.01,-,-,-,-,-
11,Interest & Investment Income,2,2.18,1.69,2.06,1.99,1.15,0.47,0.36,0.22,0.28,-,0.71,0.71,-,-
12,Currency Exchange Gain (Loss),-4.37,4.37,-,0.11,-1.98,1.98,-,6.29,-4.15,4.15,-,-1.66,-1.66,-,-
13,Other Non Operating Income (Expenses),2.64,-1.99,1.84,-1.96,3.29,1.8,-2.16,-9.27,8.33,0.73,-,-0.28,-0.28,-0,-0
