,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2433,2241,2155,2166,2954,2531,2389,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-11.46%,-11.46%,-9.79%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1993,1786,1650,1668,2455,1996,2232,-,-,-,-,-,-,-,-,-
3,Last Close Price,23.39,21.42,20.60,20.52,27.97,23.97,22.51,-,-,-,-,-,-,-,-,-
4,PE Ratio,36.70,33.80,36.08,37.49,57.45,47.06,42.07,-,-,-,-,-,-,-,-,-
5,PS Ratio,3.36,3.10,3.36,3.50,5.04,4.43,4.08,-,-,-,-,-,-,-,-,-
6,PB Ratio,3.49,3.24,3.21,3.20,4.49,3.91,3.69,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,3.49,3.49,3.46,3.22,4.52,3.94,3.72,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,35.81,24.79,27.95,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,33.97,-,30.22,31.59,29.92,24.47,27.65,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.76,2.47,2.58,2.70,4.19,3.49,3.81,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,29.88,25.04,28.35,27.14,40.33,37.13,40.84,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,34.52,28.40,33.21,31.44,46.84,44.13,47.97,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-41.38,-,-,-,29.76,19.55,26.12,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,0.00,-,-
15,Debt / EBITDA Ratio,0.01,0.01,0.02,0.01,0.05,0.03,0.04,0.00,2.24,-,-,0.01,0.01,0.01,-,-
16,Debt / FCF Ratio,-,-,-,-,0.02,0.02,0.03,0.00,0.01,-,-,-,-,-,-,-
17,Asset Turnover,1.02,0.89,0.80,0.80,0.66,-,-,-,-,-,-,1.95,-,-,-,
18,Inventory Turnover,5.86,5.88,5.61,5.03,5.64,4.77,-,-,-,-,-,-,4.03,-,-,-
19,Quick Ratio,3.90,3.90,3.74,4.58,4.02,5.46,4.54,-,2.01,-,-,-,1.10,1.10,-,-
20,Current Ratio,4.80,4.80,4.56,5.41,4.74,6.27,5.12,-,2.93,-,-,-,2.14,2.14,-,-
21,Return on Equity (ROE),11.17%,9.70%,10.55%,6.94%,7.87%,12.19%,13.95%,-,-,-,15.74%,26.47%,-,-,-,
22,Return on Assets (ROA),9.14%,2.67%,5.57%,1.52%,5.51%,-,-,-,-,-,-,8.81%,-,-,-,
23,Return on Capital (ROIC),11.26%,3.28%,6.89%,1.87%,6.74%,6.31%,13.99%,-,-,-,10.67%,14.22%,-,-,-,
24,Return on Capital Employed (ROCE),8.16%,8.89%,7.23%,7.64%,7.74%,6.77%,6.95%,-,-,-,-,-,22.76%,17.18%,-,-
25,Earnings Yield,2.73%,2.96%,2.77%,2.67%,1.74%,2.12%,2.38%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-1.98%,-2.15%,-0.76%,1.05%,2.79%,4.03%,3.58%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.31%,-,1.52%,-,1.13%,-,0.55%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,30.16%,-,118.37%,-,-,98.23%,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-24.03%,3.29%,-36.10%,-33.55%,-41.86%,-33.02%,1.80%,-,3.41%,-,-,-,-,-,-,-
30,Total Shareholder Return,-22.72%,3.29%,-34.59%,-33.55%,-40.74%,-33.02%,2.35%,-,3.41%,-,-,-,-,-,-,-
