,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,308.99,328.19,499.05,522.22,495.2,531.74,-,151.55,-,-,-,77.6,77.6,-,-
1,Trading Asset Securities,125,120,-,0.04,-,-,-,0.04,-,-,-,0.58,0.58,-,-
2,Cash & Short-Term Investments,433.99,448.19,499.05,522.26,495.2,531.74,151.6,151.6,-,-,78.18,78.18,78.18,-,106.61
3,Cash Growth,-12.36%,-15.71%,229.20%,244.51%,-,-,93.90%,93.90%,-,-,-26.67%,-,-,-,-
4,Accounts Receivable,105.42,96.87,83.05,92.9,101.85,97.55,-,95.96,-,-,-,88.39,88.39,-,-
5,Other Receivables,6.79,2.97,8.21,5.75,4.87,9.34,-,5.78,-,-,-,13.64,13.64,-,-
6,Receivables,112.21,99.84,91.26,98.65,106.72,106.89,-,101.74,-,-,-,102.03,102.03,-,-
7,Inventory,106.6,109.66,95.12,101.38,83.13,73.57,-,102.81,-,-,-,156.87,156.87,-,-
8,Prepaid Expenses,-,-,-,-,-,1.02,-,-,-,-,-,-,-,-,-
9,Other Current Assets,19.43,10.77,11.3,10.81,6.77,7.71,-,14.04,-,-,-,13.34,13.34,-,-
10,Total Current Assets,672.23,668.46,696.74,733.1,691.83,720.92,-,370.19,-,-,-,350.42,350.42,-,-
11,"Property, Plant & Equipment",56.31,56.16,58.34,60.18,61.58,63.68,-,65.6,-,-,-,71.82,71.82,-,-
12,Other Intangible Assets,56.53,56.19,10.71,10.9,11.08,11.27,-,11.64,-,-,-,10.93,10.93,-,-
13,Long-Term Deferred Tax Assets,12.38,12.51,12.54,12.82,14.01,13.96,-,12.8,-,-,-,11.66,11.66,-,-
14,Long-Term Deferred Charges,0.03,0.05,0.08,0.15,0.34,0.09,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,50.26,40.84,44.87,14.67,-,-,-,0.2,-,-,-,-,-,-,-
16,Total Assets,847.74,834.2,823.27,831.83,778.85,809.92,-,460.43,-,-,-,444.82,444.82,-,-
17,Accounts Payable,112.3,119.72,99.32,120.34,80.73,87.81,-,99.03,-,-,-,134.62,134.62,-,-
