,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,3067,3352,3764,3760,3824,3941,3862,4471,4345,4607,5454,537.15,-,443.39,-,312.47,532.99,62.41,62.41
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.62,-,-
2,Cash & Short-Term Investments,3067,3352,3764,3760,3824,3941,3862,4471,4345,4607,5454,537.15,-,443.39,312.37,312.47,542.61,62.41,62.41
3,Cash Growth,-19.79%,-14.93%,-2.53%,-15.90%,-12.00%,-14.47%,-29.19%,732.35%,-,939.07%,1645.99%,71.90%,-,610.47%,400.53%,-,-,-,-
4,Accounts Receivable,554.69,279.68,436.68,383.71,345.68,402.78,660.33,369.7,484.22,853.54,1326,796.93,-,579.14,-,319.55,284.3,305.67,305.67
5,Other Receivables,97.98,98.57,104.41,62.5,88.63,93.88,39.57,4.48,27.83,26.2,37.95,40.1,-,42.11,-,38.74,0.29,0.32,0.32
6,Receivables,652.67,378.26,541.09,446.21,434.31,496.66,699.9,374.18,512.05,879.74,1364,837.02,-,621.24,-,358.29,284.59,305.99,305.99
7,Inventory,2649,2386,2170,1968,2074,2204,2139,2375,2709,2406,1898,1562,-,1059,-,911.94,568.03,352.35,352.35
8,Prepaid Expenses,-,0.1,-,0.1,-,-,-,-,-,-,-,-,-,0.13,-,-,-,-,-
9,Other Current Assets,258.58,222.29,187.47,214.17,204.14,217.18,254.16,111.88,353.75,281.59,242.14,82.29,-,83.5,-,74.12,40.45,80.19,80.19
10,Total Current Assets,6627,6339,6662,6389,6536,6859,6955,7332,7920,8174,8958,3018,-,2207,-,1657,1436,800.94,800.94
11,"Property, Plant & Equipment",3457,3503,3412,3299,2874,2428,2200,1958,1844,1617,1419,1349,-,1154,-,1020,871.19,260.5,260.5
12,Other Intangible Assets,82.57,53.85,54.54,55.13,55.96,53.88,53.94,53.67,52.79,53.1,53.2,51.31,-,43.99,-,44.38,46.58,4.11,4.11
