,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,17728,15245,11098,10763,11603,10801,11011,13580,15627,18010,20966,19624,-,-,-,-,-,-,-,-
1,Market Cap Growth,41.14%,41.14%,0.79%,-20.74%,-25.75%,-40.02%,-47.48%,-30.80%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,14832,12082,7637,7046,7886,7016,7227,9741,11788,13927,16170,19486,-,-,-,-,-,-,-,-
3,Last Close Price,61.18,52.61,38.26,35.31,38.06,35.43,36.12,43.53,50.09,57.73,67.20,61.58,-,-,-,-,-,-,-,-
4,PE Ratio,22.02,20.21,15.33,20.94,30.69,115.69,-57.32,-77.87,-,-,17.50,14.97,-,-,-,-,-,-,-,-
5,PS Ratio,2.57,2.36,1.76,1.81,2.09,2.11,2.41,3.15,3.26,3.68,4.16,4.03,-,-,-,-,-,-,-,-
6,PB Ratio,2.06,1.77,1.30,1.24,1.36,1.27,1.31,1.60,1.84,2.08,2.42,2.18,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.79,1.79,1.31,1.25,1.37,1.28,1.32,1.61,1.86,2.09,2.43,2.20,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,1374.23,-,-68.96,-,222.17,-,-32.91,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,39.56,-,15.08,-,14.71,9.48,12.04,-,128.69,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.30,1.87,1.21,1.18,1.42,1.37,1.58,2.26,2.46,2.85,3.21,4.00,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,15.11,12.55,7.43,10.73,14.02,62.90,-58.32,-211.66,-,10.34,10.58,11.57,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,19.54,15.73,8.99,13.99,-,-798.48,-30.37,-66.84,-,11.06,11.19,12.13,-,-,-,-,-,-,-,-
