,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,68,66,75,88,76,109,134,154,102,118,171
1,Market Cap Growth,-25.45%,-25.45%,-1.05%,-19.12%,-43.45%,-29.17%,31.25%,29.73%,-40.19%,-44.78%,15.05%
2,Enterprise Value,568,566,568,456,363,377,323,360,259,-31,11
3,PE Ratio,47.17,45.50,-,4.59,8.52,-,-,12.14,4.92,9.56,14.81
4,PS Ratio,0.08,0.08,0.09,0.11,0.09,0.14,0.18,0.23,0.18,0.28,0.41
5,PB Ratio,0.20,0.13,0.15,0.18,0.14,0.23,0.27,0.31,0.21,0.27,0.51
6,P/FCF Ratio,2.86,2.76,-0.62,-,-,-,1.60,1.54,1.17,5.82,39.33
7,P/OCF Ratio,0.87,0.87,-1.93,-,1.82,1.44,1.51,1.20,0.83,2.56,5.77
8,EV/Sales Ratio,0.66,0.65,0.66,0.55,0.45,0.49,0.43,0.53,0.45,-,0.03
9,EV/EBITDA Ratio,7.35,7.51,8.48,4.81,4.25,6.46,4.21,3.58,2.53,-,0.23
10,EV/EBIT Ratio,22.70,22.61,32.39,9.54,9.39,-,12.56,7.15,4.28,-,0.52
11,EV/FCF Ratio,23.92,23.82,-4.71,-,-,-,3.85,3.61,2.96,-,2.60
12,Debt / Equity Ratio,0.97,0.97,0.98,0.92,0.71,0.61,0.73,0.44,0.47,0.39,0.00
13,Debt / FCF Ratio,20.30,20.30,-4.12,-,-,-,4.39,2.17,2.67,8.56,0.03
14,Return on Capital Employed (ROCE),3.32%,3.32%,2.29%,6.37%,5.45%,-,3.78%,8.20%,9.55%,4.69%,4.86%
15,Earnings Yield,2.12%,2.20%,0.38%,21.79%,11.73%,-10.57%,0.39%,8.24%,20.32%,10.46%,6.75%
16,Earnings Yield,2.12%,2.20%,0.38%,21.79%,11.73%,-10.57%,0.39%,8.24%,20.32%,10.46%,6.75%
17,FCF Yield,34.97%,36.25%,-160.68%,-273.77%,-173.81%,35.15%,62.40%,65.03%,85.65%,17.20%,2.54%
18,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,2.17%,
19,Total Shareholder Return,-,-,-,-,-,-,-,-,-,2.17%,
