,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Feb '25 Feb 20, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,432,454,576,583,634,655,655,670,670,684,720
1,Market Cap Growth,-22.22%,-22.22%,-9.09%,-10.99%,-3.30%,-2.15%,-2.15%,-2.11%,-7.00%,-19.49%,-16.67%
2,Enterprise Value,379,410,543,557,616,648,656,680,691,715,699
3,Last Close Price,0.60,0.63,0.80,0.81,0.88,0.91,0.91,0.93,0.93,0.95,1.00
4,PE Ratio,-,-,-,-,-,-,-,-79.78,-,-,-
5,PS Ratio,11.57,12.15,15.84,16.49,17.65,17.46,17.15,17.80,17.20,16.80,16.77
6,PB Ratio,0.38,0.40,0.49,0.47,0.50,0.51,0.49,0.50,0.50,0.51,0.52
7,P/FCF Ratio,-,-,35.62,37.87,35.25,35.97,36.65,33.49,31.66,35.90,31.53
8,P/OCF Ratio,-,-,35.62,37.87,35.25,35.97,36.65,33.49,31.66,35.90,31.53
9,EV/Sales Ratio,10.15,10.99,14.92,15.75,17.17,17.26,17.18,18.08,17.76,17.55,16.29
10,EV/EBITDA Ratio,18.03,19.52,27.54,29.94,31.42,30.85,30.60,32.19,30.63,29.35,27.81
11,EV/EBIT Ratio,18.26,19.77,27.91,30.37,31.85,31.25,30.99,32.61,31.00,29.67,28.11
12,EV/FCF Ratio,-,-,33.56,36.18,34.28,35.56,36.69,34.01,32.68,37.51,30.62
13,Debt / Equity Ratio,-,-,-,-,-,-,-,0.06,0.07,0.07,0.08
14,Debt / FCF Ratio,-,-,-,-,-,-,-,3.93,4.23,5.23,4.79
15,Earnings Yield,-22.39%,-21.33%,-17.60%,-10.74%,-8.04%,-5.95%,-0.56%,-1.25%,-8.58%,-11.67%,-21.35%
16,FCF Yield,-,2.81%,2.64%,2.84%,2.78%,2.73%,2.99%,3.16%,2.79%,3.17%,
