,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1472,1610,1393,1729,1817,2500,2512,2679,2832,2274,2186,2995,3240,4431,4569,-,-,-,-,-,-
1,Market Cap Growth,-35.60%,-35.60%,-44.57%,-35.46%,-35.83%,9.94%,14.95%,-10.55%,-12.59%,-48.69%,-52.16%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,921,1059,805,1166,1219,1901,1926,2097,2250,1687,1592,2443,2691,3904,4537,-,-,-,-,-,-
3,Last Close Price,14.24,15.57,13.47,16.33,17.17,23.61,23.73,25.58,26.56,21.32,20.50,28.09,29.81,40.77,42.03,-,-,-,-,-,-
4,PE Ratio,-,-,74.39,-,43.52,50.29,48.07,60.68,72.47,50.61,39.73,43.86,29.63,38.69,40.92,-,-,-,-,-,-
5,PS Ratio,17.96,19.76,11.89,14.39,13.34,17.79,19.16,24.17,27.86,20.64,19.26,21.61,15.59,21.30,21.21,-,-,-,-,-,-
6,PB Ratio,1.74,1.90,1.65,1.99,2.10,2.93,-,3.26,3.50,2.86,2.66,3.65,3.74,5.26,5.59,-,-,-,-,-,-
7,P/TBV Ratio,1.92,1.92,1.66,2.00,2.11,2.95,-,3.28,3.52,2.88,2.68,3.67,3.77,5.30,5.64,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-107.03,-,-,-,-,-,20.39,-,31.36,-,107.08,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,87.91,-,-,51.25,95.53,-,19.05,-,29.23,158.91,89.67,-,-,-,-,-,-,-
10,EV/Sales Ratio,11.31,13.00,6.87,9.71,8.95,13.54,14.68,18.92,22.14,15.32,14.02,17.62,12.95,18.77,21.06,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,57.36,-,45.55,53.67,46.77,-,71.88,44.71,39.89,-,24.02,32.00,34.17,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,116.43,-,62.54,67.52,56.78,-,92.22,54.37,-,-,25.41,33.67,35.76,-,-,-,-,-,-
