,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,7.26,30.81,6.33,37.06,39.97,33.77,22.46,41.31,30.46,13.74,13.01,49.81,33.87,38.82,82.3,50,42.65,65.14,84.24,41.19
1,Other Revenue,-,-1.45,1.45,-,2.96,-1.39,1.39,-,3.11,-1.65,1.65,-,3.06,-1.59,1.59,-,1.68,-0.68,0.39,0.29
2,Revenue,7.26,29.36,7.78,37.06,42.93,32.38,23.86,41.31,33.58,12.1,14.66,49.81,36.93,37.23,83.89,50,44.33,64.47,84.63,41.47
3,Revenue Growth (YoY),-83.09%,-9.33%,-67.39%,-10.31%,27.86%,167.71%,62.72%,-17.06%,-9.08%,-67.51%,-82.52%,-0.38%,-16.70%,-42.25%,-0.87%,20.57%,-,-,-,-
4,Cost of Revenue,-27.62,9.79,4.32,13.51,23.32,11.98,8.92,15.16,14.58,5.74,6.05,14.02,12.5,9.84,20.75,13.08,12.15,16.68,27.61,12.86
5,Gross Profit,34.89,19.57,3.46,23.54,19.61,20.4,14.93,26.15,19,6.35,8.61,35.79,24.43,27.39,63.14,36.92,32.18,47.79,57.01,28.61
6,"Selling, General & Admin",-21.2,5.57,7.9,7.74,7.52,9.03,8.32,5.84,6.77,6.16,5.8,7.26,5.91,6.57,6.09,4.45,5.03,5.19,6.29,3.54
7,Research & Development,-16.25,5.52,5.68,5.04,3.52,6.39,4.11,2.02,1.18,5.47,4.16,3.36,2.58,2.69,2.82,3.65,4.53,2.27,1.74,1.44
8,Other Operating Expenses,106.04,-1.59,0.85,-0.49,1,-0.23,0.18,-0.61,1.87,-1.77,-0.23,-0.32,5.55,-0.27,0.14,-5.47,0.52,-0.13,0.43,-0.12
9,Operating Expenses,60.19,10.73,18.89,14.99,14.66,12.41,16.93,8.94,8.3,7.72,10.77,11.94,11.36,8.18,13.38,3,8.16,7.33,10.68,7.2
