,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,165.91,123.11,48.14,157.91,-,121.88,301.8,141.96,157.36,97.91,92.87,184.95,122.86,32.21,45.31,32.72,-,29.86,-
1,Trading Asset Securities,-,385,465,515,435,-,465,280,440,429,496.1,459.1,394.1,434,39.1,14,3,-,36.03,-
2,Cash & Short-Term Investments,550.91,550.91,588.11,563.14,592.91,-,586.88,581.8,581.96,586.36,594.01,551.98,579.05,556.86,71.31,59.31,35.72,-,65.89,27.25
3,Cash Growth,-7.08%,-,0.21%,-3.21%,1.88%,-,-1.20%,5.40%,0.50%,5.30%,732.96%,830.72%,1521.07%,-,8.23%,117.61%,-,-,-,-
4,Accounts Receivable,-,175.63,163.65,208.57,176.47,-,146.03,144.79,126.89,156.73,150.93,242.47,227.73,229.1,214.31,177.06,172.02,-,130.69,-
5,Other Receivables,-,1.9,1.4,1.26,0.51,-,0.98,0.69,0.57,1.57,3.36,0.04,1.13,3,2.48,0.03,0.49,-,0.02,-
6,Receivables,-,177.53,165.05,209.83,176.98,-,147.01,145.48,127.46,158.3,154.28,242.51,228.86,232.1,216.79,177.08,172.51,-,130.71,-
7,Inventory,-,99.13,99.95,87.96,83.48,-,85.04,71.7,83.84,78.15,69,60.29,63.93,65.93,61.47,66.26,63.86,-,44.57,-
8,Other Current Assets,-,0.94,2.04,0.18,0.19,-,0.61,1.36,0.42,2.07,1.78,3.2,1.39,2.7,3.86,5.69,4.06,-,2.57,-
