,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,1018,1454,1565,1695,1911,2106,2481,2530,2525,2516,3208,3431,308.45,335.52,-,300.77,-
1,Short-Term Investments,-,-,620.88,-,131.54,-,-,-,94.65,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,190.98,191.39,140.86,100.51,270.26,250,-,-,290.02,300,300,-,-,-,-,-,-
3,Cash & Short-Term Investments,1209,1209,2266,1706,1927,2182,2356,2481,2625,2815,2816,3508,3431,308.45,335.52,300.77,300.77,-
4,Cash Growth,-37.22%,-44.56%,-3.82%,-31.23%,-26.60%,-22.50%,-16.32%,-29.27%,-23.50%,812.65%,739.20%,1066.34%,1040.77%,-,-,-,-,-
5,Accounts Receivable,-,103.29,89.58,54.73,67.81,89.07,71.68,83.71,142.2,204.6,318.86,241.48,260.04,272.28,180.36,-,95.96,-
6,Other Receivables,-,2.98,1.98,5.24,52.88,1.66,7.51,52.59,52.9,62.08,61.31,0.49,0.82,5.07,5.59,-,4.91,-
7,Receivables,-,106.28,91.56,59.97,120.7,90.74,79.19,136.3,195.1,266.68,380.17,241.97,260.86,277.35,185.95,-,100.87,-
8,Inventory,-,918.05,897.37,847.25,756.52,853.78,807.93,755.17,668.25,654.11,502.48,412.97,349.04,307.45,268.26,-,295.42,-
9,Prepaid Expenses,-,-,0.16,-,1.04,-,4.47,-,6.86,-,-,-,0,-,-,-,-,-
10,Other Current Assets,-,621.77,72.03,636.85,69.64,53.38,31.41,135.37,17.82,18.71,19.43,22.68,19.72,2.87,3.39,-,4.6,-
11,Total Current Assets,-,2856,3327,3250,2874,3180,3279,3508,3513,3755,3718,4186,4061,896.13,793.12,-,701.66,-
12,"Property, Plant & Equipment",-,135.33,128.43,131.15,136.67,132.35,133.45,136.68,141.6,131.6,104.55,75.25,78.16,73.26,69.07,-,41.09,-
13,Long-Term Investments,-,87.59,118.43,81.24,657.46,80.87,80.89,80.67,391.32,308.53,305.86,0.48,0.5,0.51,0.53,-,0.35,-
14,Other Intangible Assets,-,2.8,3.04,3.49,3.02,3.36,3.86,4.29,3.59,3.7,3.92,3.66,4.02,0.68,0.84,-,0.94,-
15,Long-Term Deferred Tax Assets,-,26.77,26.86,25.73,26.44,20.73,19.3,17.25,14.18,7.25,6.34,6.99,6.95,7.1,7.12,-,8.12,-
16,Long-Term Deferred Charges,-,2.49,2.62,2.52,2.88,2.45,2.79,3.11,1.25,0.3,0.36,0.56,0.78,0.85,1.05,-,1.19,-
17,Other Long-Term Assets,-,512.54,144.97,257.53,146.19,646,642.94,503.97,257.73,221.31,244.74,26.07,27.08,6.48,6.35,-,5.43,-
18,Total Assets,-,3623,3752,3752,3847,4065,4163,4254,4323,4427,4384,4299,4178,985,878.09,-,758.77,-
19,Accounts Payable,-,69.53,50.32,56.7,24.71,88.51,48.95,81.67,70.78,110.27,90.7,96.73,63.45,50.95,50.37,-,22.01,-
20,Accrued Expenses,-,30.05,42.8,14.88,57.73,21.56,35.54,10.87,43.48,20.63,59.38,8.92,55.12,48.46,32.67,-,25.66,-
21,Short-Term Debt,-,40.47,50.71,32.26,32.35,31.72,54.77,52.37,47.01,52.72,30.25,33.51,24.53,22.93,23.52,-,14.78,-
22,Current Portion of Long-Term Debt,-,-,-,10.34,4.96,10.7,4.95,6.39,5.94,10.82,6.41,9.28,2.34,2.93,3.63,-,11.01,-
23,Current Portion of Leases,-,9.16,5.04,-,5.64,-,6.48,-,6.45,-,5,-,2.33,1.74,1.76,-,-,-
24,Current Income Taxes Payable,-,3.22,-,2.58,-,2.37,-,1.86,2.19,14.95,27.34,31.08,16.45,9.81,7.3,-,0.11,-
25,Current Unearned Revenue,-,2.36,5.43,0.63,0.31,0.23,0.49,0.51,0.19,9.38,11.51,14.73,18.72,12.63,15.11,-,20.86,-
26,Other Current Liabilities,-,2.17,9.34,4.72,6.23,4.04,5.96,3.48,8.1,2.47,8.37,1.38,6.9,4.47,3.64,-,5.18,-
27,Total Current Liabilities,-,156.94,163.63,122.1,131.94,159.16,157.14,157.14,184.13,221.24,238.97,195.62,189.84,153.92,138,-,99.62,-
28,Long-Term Debt,-,4.82,4.68,-,-,-,-,4.77,4.97,4.47,4.64,4.72,10.59,11.26,12.25,-,11.66,-
29,Long-Term Leases,-,13.6,3.69,4.07,3.99,3.03,3.26,4.16,5.15,4.01,5.03,3.18,3.86,3.8,4.31,-,-,-
30,Long-Term Unearned Revenue,-,4.53,8.14,9.12,6.85,4.35,4.42,4.49,4.56,0.63,0.7,0.77,0.84,0.91,0.99,-,1.13,-
31,Long-Term Deferred Tax Liabilities,-,-,-,-,-,1.9,2.07,2.31,-,0.01,0.02,0.02,0.02,0.02,0.02,-,0.03,-
32,Other Long-Term Liabilities,-,1.54,1.63,1.56,1.59,0.42,0.43,0.63,0.66,0.29,0.3,0.35,0.35,-,-,-,-,-
33,Total Liabilities,-,191.3,192.22,146.68,153.99,177.18,175.46,181.21,206.88,240.12,258.66,213.42,213.12,180.12,166.31,-,121.44,-
34,Common Stock,-,442.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,331.69,331.69,-,331.69,-
35,Additional Paid-In Capital,-,3223,3219,3216,3214,3220,3215,3211,3210,3216,3213,3210,3208,254.83,254.83,-,254.83,-
36,Retained Earnings,-,-216.64,-177.42,-130.8,-86.3,73.64,144.83,241.32,275.67,361.54,305.09,280.16,170.04,76.35,-11.87,-,-91.76,-
37,Treasury Stock,-,-200.3,-100.09,-100.09,-64.82,-30,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,7.13,0.59,-1.99,0.22,-3.9,-2.69,-0.14,2.22,-2.84,-1.4,-1.14,0.11,1.68,4.05,-,6.64,-
39,Total Common Equity,3255,3255,3384,3425,3505,3702,3799,3895,3931,4017,3959,3931,3820,664.54,578.71,501.4,501.4,-
40,Minority Interest,-,176.34,175.18,179.8,188.27,185.88,188.01,178.14,185.4,170.11,166.12,154.34,145.05,140.33,133.07,-,135.93,-
41,Shareholders' Equity,3432,3432,3559,3605,3693,3888,3987,4073,4116,4187,4125,4085,3965,804.88,711.78,637.34,637.34,-
42,Total Liabilities & Equity,-,3623,3752,3752,3847,4065,4163,4254,4323,4427,4384,4299,4178,985,878.09,-,758.77,-
43,Total Debt,68.04,68.04,64.11,46.67,46.94,45.46,69.45,67.68,69.52,72.01,51.33,50.68,43.64,42.66,45.47,37.45,37.45,-
44,Net Cash (Debt),1141,1141,2202,1660,1880,2136,2287,2413,2555,2743,2764,3457,3387,265.79,290.05,263.32,263.32,-
45,Net Cash Growth,-39.28%,-46.57%,-3.70%,-31.24%,-26.44%,-22.12%,-17.28%,-30.19%,-24.56%,932.05%,853.06%,1212.99%,1186.45%,-,-,-,-,-
46,Net Cash Per Share,2.62,2.62,5.21,3.73,4.22,4.79,5.04,5.62,5.90,6.00,6.34,7.85,9.13,0.82,0.91,0.76,0.81,-
47,Filing Date Shares Outstanding,436.74,436.74,439.03,439.03,440.21,441.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,331.69,347.45,331.69,316.54
48,Total Common Shares Outstanding,434.85,436.74,439.03,439.03,440.21,441.25,442.25,442.25,442.25,442.25,442.25,442.25,442.25,331.69,331.69,347.45,331.69,316.54
49,Working Capital,-,2699,3164,3128,2743,3020,3122,3351,3329,3533,3479,3990,3871,742.21,655.12,-,602.04,-
50,Book Value Per Share,7.45,7.45,7.71,7.80,7.96,8.39,8.59,8.81,8.89,9.08,8.95,8.89,8.64,2.00,1.74,1.51,1.51,-
51,Tangible Book Value,3253,3253,3381,3422,3502,3699,3795,3890,3927,4013,3955,3927,3816,663.87,577.87,500.47,500.47,-
52,Tangible Book Value Per Share,7.45,7.45,7.70,7.79,7.96,8.38,8.58,8.80,8.88,9.07,8.94,8.88,8.63,2.00,1.74,1.51,1.51,-
53,Machinery,-,-,272.66,-,264.87,-,249.23,-,208.55,-,164.04,-,144.92,159.11,137.59,-,129.86,-
54,Construction In Progress,-,-,0.22,-,0.24,-,0.46,-,29.47,-,20.42,-,5.37,1.17,15.31,-,0.02,-
