,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,13722,10875,8969,8372,10255,15192,14179,15965,15337,11574,12635,16770,15470,19981,-,-,-,-,-
1,Market Cap Growth,-28.42%,-28.42%,-36.74%,-47.56%,-33.14%,31.27%,12.22%,-4.80%,-0.86%,-42.08%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12757,9910,6942,6893,8304,13242,12080,13730,12764,9001,10037,13467,15344,19855,-,-,-,-,-
3,Last Close Price,31.42,24.90,20.43,19.07,23.24,34.43,32.06,36.10,34.56,26.08,28.47,37.79,34.69,44.81,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,34.64,42.29,45.88,76.32,-,-,-,-,-
5,Forward PE,-,40.22,40.22,40.22,40.22,40.22,40.22,40.22,38.97,25.25,25.17,35.69,-,-,-,-,-,-,-
6,PS Ratio,21.30,16.97,14.79,15.02,19.99,28.63,24.90,23.76,16.57,10.10,9.74,12.04,11.99,17.62,-,-,-,-,-
7,PB Ratio,4.22,3.17,2.61,2.35,2.84,4.11,3.65,4.00,3.77,2.81,3.02,4.07,3.79,5.04,-,-,-,-,-
8,P/TBV Ratio,3.34,3.34,2.76,2.48,3.00,4.34,3.83,4.21,3.94,2.95,3.15,4.24,3.94,5.24,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,139.79,306.83,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,-138.79,-,89.06,170.02,-,-,-,-,-
11,EV/Sales Ratio,19.90,15.46,11.45,12.37,16.19,24.96,21.21,20.43,13.79,7.85,7.74,9.67,11.89,17.50,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-50.96,-,-,-,28.26,30.60,38.21,65.68,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-45.25,-,-,-,30.12,32.24,40.26,70.09,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,138.65,304.90,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.05,0.06,0.06,0.06,-
16,Debt / EBITDA Ratio,-,-,-,-,-,-,0.36,-,-,-,0.48,0.13,0.09,0.13,0.09,0.19,0.26,0.44,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,0.46,0.67,-,0.19,0.16,0.18,-
18,Asset Turnover,-,0.20,0.17,0.11,0.16,0.13,0.11,0.12,0.18,0.21,0.34,0.33,0.54,1.42,-,-,-,-,
19,Inventory Turnover,-,-,0.61,0.69,0.47,1.83,0.21,0.94,0.58,1.55,1.07,1.93,1.81,2.50,2.46,-,-,-,-
20,Quick Ratio,-,-,8.38,14.41,14.46,15.52,14.28,15.50,16.66,15.32,13.93,13.37,19.17,19.45,3.81,3.78,-,4.03,-
21,Current Ratio,-,-,18.20,20.33,26.62,21.79,19.98,20.87,22.32,19.08,16.97,15.56,21.40,21.39,5.82,5.75,-,7.04,-
22,Return on Equity (ROE),-4.35%,-4.97%,-5.01%,-5.29%,-16.71%,-7.08%,-3.78%,-3.37%,-8.82%,6.44%,11.67%,12.14%,16.98%,53.74%,29.15%,19.96%,-,-,
23,Return on Assets (ROA),-,-1.52%,-4.89%,-3.63%,-17.74%,1.48%,-8.05%,-2.20%,-6.74%,1.85%,5.31%,7.71%,7.53%,31.43%,-,-,-,-,
24,Return on Capital (ROIC),-1.98%,-1.57%,-5.04%,-3.73%,-18.29%,1.52%,-8.26%,-2.27%,-6.99%,1.93%,5.54%,8.02%,8.00%,36.49%,19.41%,12.16%,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-6.83%,-,-,-,7.92%,10.08%,9.29%,7.10%,26.40%,18.37%,-,7.21%,-
26,Earnings Yield,-1.27%,-1.60%,-3.24%,-3.85%,-3.09%,-2.02%,-1.64%,-0.65%,0.27%,1.60%,2.89%,2.36%,2.18%,1.31%,-,-,-,-,-
27,FCF Yield,-,-3.85%,-4.60%,-3.48%,-2.17%,-2.44%,-1.52%,-2.99%,-2.95%,-1.47%,-1.17%,0.72%,0.33%,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.48%,-,-,-,0.40%,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,77.94%,0.14%,0.49%,0.38%,0.71%,0.96%,-,-
30,Buyback Yield / Dilution,2.09%,2.36%,2.42%,6.88%,-3.60%,-2.85%,2.35%,-4.21%,2.47%,-16.67%,-41.49%,-36.88%,-26.77%,-14.32%,-2.06%,-,-,-,-
31,Total Shareholder Return,2.09%,2.36%,2.42%,6.88%,-3.60%,-2.85%,2.35%,-4.21%,2.47%,-16.19%,-41.49%,-36.88%,-26.77%,-13.92%,-2.06%,-,-,-,-
