,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,193.96,180.95,159.8,106.24,157.96,131.71,115.59,123.84,196.71,234.68,368.6,344.46,349.18,330.56,266.18,188.37,191.32,279.59
1,Other Revenue,-,-0.24,0.24,-,1.5,-0.22,0.22,-,1.56,-0.68,0.68,-,-,-0.19,0.19,-,1.56,0.01
2,Revenue,193.96,180.71,160.04,106.24,159.46,131.49,115.81,123.84,198.27,234,369.28,344.46,349.18,330.37,266.36,188.37,192.89,279.6
3,Revenue Growth (YoY),21.64%,37.43%,38.20%,-14.21%,-19.57%,-43.81%,-68.64%,-64.05%,-43.22%,-29.17%,38.64%,82.86%,81.03%,18.16%,-,-,-,-
4,Cost of Revenue,-382.54,138.85,150.28,93.4,367.41,43.72,183.99,103,255.65,154.02,220.99,172.53,204.85,176.98,176.99,133.78,153.2,221.98
5,Gross Profit,576.5,41.86,9.76,12.84,-207.96,87.77,-68.19,20.83,-57.38,79.98,148.28,171.93,144.33,153.39,89.37,54.59,39.69,57.62
6,"Selling, General & Admin",-72.37,26.64,23.08,22.65,13.85,24.4,18.77,22.74,15.78,20.55,19.23,17.45,25.24,18.89,15.36,15.43,11.64,16
7,Research & Development,-157.97,52.21,56.89,48.87,55.44,43.04,48.19,35.54,26.39,28.85,32.66,22.41,27.43,16.17,15.82,15.4,11.8,11.85
8,Other Operating Expenses,831.55,-10.84,-0.15,-0.95,0.32,-1.54,-0.22,-0.58,7.03,-6.25,1.3,-0.04,10.47,0.22,0.31,-8.09,2.62,0.02
