,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,79.1,99.4,93.37,175.06,85.54,105.94,91.02,197.14,112.76,140.14,120.18,270.91,109.42,153.19,52.67
1,Other Revenue,-0.13,0.13,-,0.15,-0.1,0.1,-,0.17,-0.09,0.09,-,0.35,-0.13,0.13,-
2,Revenue,78.98,99.52,93.37,175.21,85.44,106.04,91.02,197.3,112.67,140.23,120.18,271.26,109.29,153.32,52.67
3,Revenue Growth (YoY),-7.56%,-6.15%,2.59%,-11.20%,-24.17%,-24.38%,-24.27%,-27.26%,3.09%,-8.54%,128.16%,-,-,-,-
4,Cost of Revenue,50.29,60.53,67.06,116.21,54.56,70.3,58.99,135.62,74.06,92.78,80.78,182.15,69,130.83,-
5,Gross Profit,28.69,38.99,26.31,59,30.87,35.74,32.03,61.68,38.62,47.45,39.4,89.11,40.3,22.5,52.67
6,"Selling, General & Admin",16.23,16.88,17.11,25.12,18.48,15.72,17.14,19.54,23.16,15.8,17.78,18.41,19.02,27.46,-
7,Research & Development,4.56,5.03,6.67,7.05,7.14,6.81,5.75,8.16,7.04,6.72,7.84,7.97,7.72,10.99,-
8,Other Operating Expenses,-1.76,-0.02,-0.23,1,0.17,-0.92,0.52,3.16,0.04,-0.87,-0.07,4.37,-0.16,-47.89,46.94
9,Operating Expenses,27.95,29.65,21.03,51.3,26.82,28.75,20.92,49.13,30.16,27.01,20.12,41.75,29.51,-9.1,46.94
10,Operating Income,0.74,9.34,5.29,7.7,4.05,6.99,11.11,12.56,8.45,20.44,19.28,47.36,10.79,31.6,5.73
11,Interest Expense,-,-0.21,-,-0.16,-,-0.1,-,-0.98,-1.36,-0.42,-0.26,-0.09,-0.42,-2.66,-
12,Interest & Investment Income,2.97,2.83,2.69,2.02,2.77,5.13,3.05,5.03,0.69,2.03,0.44,1.99,-,2.23,-
13,Other Non Operating Income (Expenses),-0.09,-0.07,-,-0.61,0.06,-0.3,-0.01,-1.05,0.52,-0.51,-0.01,-0.59,0.17,-0.17,-0.05
14,EBT Excluding Unusual Items,3.62,11.89,7.98,8.95,6.88,11.73,14.15,15.56,8.3,21.54,19.45,48.68,10.54,30.99,5.68
15,Gain (Loss) on Sale of Investments,-,-,-,-0.5,-0.05,-0.77,-,0.13,-,-,-,0.39,-,-,-
16,Gain (Loss) on Sale of Assets,-0.01,-,-,-,-0.02,-,0,0.05,-,-,-,-,-,-,-
17,Asset Writedown,1.27,-0.47,0.47,0.37,-0.37,-0.32,0.32,2.58,-2.6,0.34,-0.34,0.7,-0.7,-0.09,-
18,Other Unusual Items,-1.74,-0.17,1.76,3.41,-0.35,0.35,-,7.84,-1.22,1.22,-,1.46,-0.03,0.03,-
19,Pretax Income,3.13,11.26,10.21,12.22,6.08,10.98,14.48,26.15,4.48,23.11,19.1,51.22,9.81,30.93,5.68
20,Income Tax Expense,0.24,1.65,1.11,0.63,2.16,0.67,2.36,3.5,-0.96,2.71,2.77,7.44,0.97,4.68,0.34
21,Net Income,2.89,9.61,9.1,11.59,3.92,10.31,12.12,22.65,5.44,20.39,16.34,43.78,8.84,26.25,5.34
22,Net Income to Common,2.89,9.61,9.1,11.59,3.92,10.31,12.12,22.65,5.44,20.39,16.34,43.78,8.84,26.25,5.34
23,Net Income Growth,-26.08%,-6.86%,-24.88%,-48.83%,-27.98%,-49.42%,-25.82%,-48.27%,-38.51%,-22.32%,205.84%,-,-,-,-
24,Shares Outstanding (Basic),77,80,83,83,79,79,81,81,74,60,61,60,60,57,53
25,Shares Outstanding (Diluted),77,80,83,83,79,79,81,81,74,60,61,60,60,68,53
26,Shares Change (YoY),-2.45%,0.62%,2.43%,2.64%,6.88%,32.59%,33.52%,35.63%,23.64%,-12.01%,13.27%,-,-,-,-
27,EPS (Basic),0.04,0.12,0.11,0.14,0.05,0.13,0.15,0.28,0.07,0.34,0.27,0.73,0.15,0.46,0.10
28,EPS (Diluted),0.04,0.12,0.11,0.14,0.05,0.13,0.15,0.28,0.07,0.34,0.27,0.73,0.15,0.39,0.10
29,EPS Growth,-24.22%,-7.44%,-26.67%,-50.15%,-32.62%,-61.85%,-44.44%,-61.86%,-50.27%,-11.71%,170.00%,-,-,-,-
30,Free Cash Flow,-18.15,4.4,-8.59,-0.47,-41.21,-14.01,15.82,-6.43,-24.03,1.07,-49.65,50.6,-22.5,-,-
31,Free Cash Flow Per Share,-0.23,0.06,-0.10,-0.01,-0.52,-0.18,0.20,-0.08,-0.32,0.02,-0.82,0.85,-0.37,-,-
32,Dividend Per Share,-,0.030,-,0.100,-,-,-,0.120,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,-16.58%,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,36.33%,39.18%,28.18%,33.67%,36.13%,33.71%,35.19%,31.26%,34.27%,33.84%,32.78%,32.85%,36.87%,14.67%,100.00%
35,Operating Margin,0.93%,9.39%,5.66%,4.39%,4.74%,6.60%,12.21%,6.36%,7.50%,14.58%,16.05%,17.46%,9.87%,20.61%,10.88%
36,Profit Margin,3.67%,9.65%,9.75%,6.61%,4.58%,9.73%,13.31%,11.48%,4.83%,14.54%,13.59%,16.14%,8.09%,17.12%,10.14%
37,Free Cash Flow Margin,-22.98%,4.42%,-9.20%,-0.27%,-48.24%,-13.22%,17.38%,-3.26%,-21.33%,0.76%,-41.31%,18.65%,-20.58%,-,-
38,EBITDA,2.03,10.7,6.58,9,5.25,8.38,12.3,13.75,9.29,21.61,20.13,48.2,11.19,32.2,6.13
39,EBITDA Margin,2.57%,10.76%,7.05%,5.13%,6.14%,7.91%,13.52%,6.97%,8.25%,15.41%,16.75%,17.77%,10.24%,21.00%,11.64%
40,D&A For EBITDA,1.3,1.36,1.3,1.3,1.19,1.39,1.19,1.19,0.84,1.17,0.84,0.84,0.4,0.6,0.4
41,EBIT,0.74,9.34,5.29,7.7,4.05,6.99,11.11,12.56,8.45,20.44,19.28,47.36,10.79,31.6,5.73
42,EBIT Margin,0.93%,9.39%,5.66%,4.39%,4.74%,6.60%,12.21%,6.36%,7.50%,14.58%,16.05%,17.46%,9.87%,20.61%,10.88%
43,Effective Tax Rate,7.63%,14.64%,10.85%,5.18%,35.59%,6.08%,16.32%,13.38%,-,11.75%,14.50%,14.53%,9.88%,15.13%,5.97%
44,Revenue as Reported,78.98,99.52,93.37,175.21,85.44,106.04,91.02,197.3,112.67,140.23,120.18,271.26,109.29,206,-
