,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1587,1493,1747,1661,2308,2154,2249,2328,1986,2427,-,-,-,-,-,-
1,Market Cap Growth,-30.68%,-30.68%,-22.33%,-28.65%,16.23%,-11.26%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1418,1299,1534,1386,2033,1833,1908,1852,1510,2280,-,-,-,-,-,-
3,Last Close Price,19.87,18.67,21.71,20.54,28.54,26.63,27.81,28.67,24.46,29.89,-,-,-,-,-,-
4,PE Ratio,48.40,44.99,51.05,47.57,60.85,43.96,44.52,38.43,30.64,28.24,-,-,-,-,-,-
5,PS Ratio,3.59,3.34,3.85,3.61,5.04,4.49,4.44,4.30,3.48,3.77,-,-,-,-,-,-
6,PB Ratio,2.04,1.92,2.23,2.14,2.98,2.82,2.96,3.07,2.66,3.36,-,-,-,-,-,-
7,P/TBV Ratio,1.96,1.96,2.28,2.19,3.05,2.89,3.03,3.14,2.72,3.44,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-38.08,-,-,-,-,-171.55,-,-,-,-,-,-,-,-
9,P/OCF Ratio,22.87,22.87,64.30,366.26,210.67,-,-,849.22,-31.51,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.17,2.91,3.38,3.01,4.44,3.82,3.76,3.42,2.65,3.54,-,-,-,-,-,-
11,EV/EBITDA Ratio,44.58,45.88,48.66,47.44,58.19,46.20,43.63,32.52,23.30,22.98,-,-,-,-,-,-
12,EV/EBIT Ratio,61.48,56.32,58.16,57.66,68.09,52.82,48.78,35.24,24.86,23.87,-,-,-,-,-,-
13,EV/FCF Ratio,-62.19,-,-33.45,-,-,-,-,-136.45,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.07,0.07,0.05,0.05,0.03,0.01,0.02,0.03,0.06,-,0.19,-,-,0.20
15,Debt / EBITDA Ratio,2.05,8.02,1.12,2.01,0.86,1.72,0.49,0.20,0.16,0.52,0.22,-,0.28,-,-,1.27
16,Debt / FCF Ratio,-,-,-1.21,-,-,-,-,-0.71,-,-,-1.00,-,2.07,-,-,-
17,Asset Turnover,0.26,0.35,0.33,0.61,0.31,0.39,0.35,0.74,0.51,0.76,0.60,-,-,-,-,
18,Inventory Turnover,3.21,1.93,2.71,3.07,5.72,3.13,4.04,3.32,5.02,1.96,-,-,-,-,-,-
19,Quick Ratio,1.71,1.71,1.98,2.24,2.20,2.18,2.29,2.57,2.70,2.45,1.26,-,1.08,-,-,-
20,Current Ratio,2.05,2.05,2.31,2.56,2.50,2.54,2.53,2.85,2.96,2.92,1.71,1.57,1.42,-,-,-
21,Return on Equity (ROE),1.48%,4.93%,4.70%,6.03%,2.06%,5.44%,6.44%,12.33%,4.11%,25.09%,21.30%,-,-,-,-,
22,Return on Assets (ROA),0.15%,2.03%,1.16%,1.69%,0.91%,1.62%,2.64%,2.96%,2.37%,6.94%,5.99%,-,-,-,-,
23,Return on Capital (ROIC),0.22%,2.80%,1.61%,2.38%,1.28%,2.26%,3.64%,4.19%,3.85%,15.24%,14.36%,-,-,-,-,
24,Return on Capital Employed (ROCE),2.74%,2.74%,3.15%,2.90%,3.66%,4.37%,5.02%,6.85%,8.03%,13.16%,28.91%,34.21%,31.50%,-,-,-
25,Earnings Yield,2.09%,2.22%,1.96%,2.10%,1.64%,2.27%,2.25%,2.60%,3.26%,3.54%,-,-,-,-,-,-
26,FCF Yield,-1.44%,-1.53%,-2.63%,-3.87%,-1.73%,-2.13%,-1.27%,-0.58%,-3.98%,-0.91%,-,-,-,-,-,-
27,Dividend Yield,0.30%,-,0.60%,-,0.35%,-,-,-,0.49%,-,-,-,-,-,-,-
28,Payout Ratio,29.22%,293.21%,-,18.64%,2.71%,7.39%,94.91%,0.53%,0.47%,2.89%,1.05%,2.29%,0.07%,2.74%,-,-
29,Buyback Yield / Dilution,-0.83%,2.45%,-0.62%,-2.43%,-2.64%,-6.88%,-32.59%,-33.52%,-35.63%,-23.64%,12.01%,-13.27%,-,-,-,-
30,Total Shareholder Return,-0.52%,2.45%,-0.02%,-2.43%,-2.29%,-6.88%,-32.59%,-33.52%,-35.14%,-23.64%,12.01%,-13.27%,-,-,-,-
