,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,213.77,178.21,124.65,313.49,54.19,118.04,220.62,225.09,257.09,167.19,-,238.33,-,-,-
1,Trading Asset Securities,19.95,71.26,140.76,0.52,257.69,222.72,129.92,188.37,238.8,-,-,20.39,-,-,-
2,Cash & Short-Term Investments,233.72,249.47,265.41,314,311.89,340.76,350.54,413.46,495.89,167.19,-,258.72,-,-,212.7
3,Cash Growth,-25.06%,-26.79%,-24.28%,-24.05%,-37.11%,103.82%,-,59.81%,-,-,-,-,-,-,-
4,Accounts Receivable,413.81,404.28,391.59,420.78,406.6,400.76,357.15,384.56,327.57,305.85,-,329.52,-,-,-
5,Other Receivables,7.95,8.89,7.39,7.67,8.6,8.27,8.59,8.04,7.69,5.93,-,5.31,-,-,-
6,Receivables,421.77,413.17,398.98,428.44,415.2,409.02,365.74,392.59,335.26,311.78,-,334.82,-,-,-
7,Inventory,112.45,96.1,82.75,91.74,70.83,68.64,70.72,71.5,144.66,157.83,-,174.63,-,-,-
8,Other Current Assets,18.13,15.11,10.96,10.94,46.63,12.11,7.77,4.79,12.81,9.81,683.51,11.18,-,-,-
9,Total Current Assets,786.06,773.85,758.1,845.13,844.55,830.53,794.77,882.35,988.62,646.6,683.51,779.35,-,-,-
10,"Property, Plant & Equipment",164.2,129.1,118.15,101.34,82.17,75.65,52.38,52.84,45.48,42.54,-,44.83,-,-,-
11,Long-Term Investments,-,236,-,172.65,-,169.85,-,87.22,-,-,-,-,-,-,-
12,Other Intangible Assets,16.23,16.43,16.6,16.8,16.63,16.82,17,16.55,16.7,16.35,-,16.57,-,-,-
13,Long-Term Accounts Receivable,2.3,2.27,2.22,3.41,3.37,3.33,3.3,4.45,4.4,4.36,-,4.24,-,-,-
14,Long-Term Deferred Tax Assets,14.39,13.33,12.11,11.77,8.32,8.42,7.87,9.13,6.87,6.5,-,7.04,-,-,-
15,Long-Term Deferred Charges,1.81,1.32,0.99,1.22,1.44,1.66,1.88,2.11,2.33,0.84,-,1.05,-,-,-
