,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,300965,284197,352916,314234,287644,383243,267603,320238,549952,164311,141690,364409,375859,526433,475080,392629,698533,580184,862348,669560,Upgrade
1,Short-Term Investments,643708,393616,436531,421370,407075,356085,348512,325000,218449,612683,952489,872225,697703,821427,788157,477510,459448,654399,592519,360000,Upgrade
2,Cash & Short-Term Investments,944673,677813,789447,735604,694719,739328,616115,645238,768402,776994,1094180,1236634,1073562,1347860,1263237,870139,1157981,1234583,1454867,1029560,Upgrade
3,Cash Growth,35.98%,-8.32%,28.13%,14.01%,-9.59%,-4.85%,-43.69%,-47.82%,-28.43%,-42.35%,-13.38%,42.12%,-7.29%,9.18%,-13.17%,-15.48%,71.05%,164.41%,157.92%,43.15%,Upgrade
4,Accounts Receivable,1139457,1165411,1178900,1245716,1164477,1331513,1403502,1397774,1380983,1458680,1426969,1417458,1366488,1495053,1422648,1286488,1263008,1272567,1313632,1466122,Upgrade
5,Other Receivables,13534,14767,17901,15737,20400,21080,12393,12782,13356,19056,16170,11925,13498,18852,10595,13000,9543,21434,19768,20314,Upgrade
6,Receivables,1152991,1180178,1196801,1261453,1184877,1352593,1415895,1410556,1394340,1477736,1443138,1429384,1379986,1513905,1433243,1299488,1272551,1294001,1333401,1486435,Upgrade
7,Inventory,1040054,1334554,993481,1224176,1373321,1308895,1240761,1305292,1431770,1711007,1521949,1223904,1246676,1299120,1069244,907791,1041011,1080666,1070878,1091442,Upgrade
8,Prepaid Expenses,2236,1314,1408,3138,2649,4030,2880,3922,1881,2094,1165,2703,2128,3283,4048,4417,1603,5658,3512,8649,Upgrade
9,Other Current Assets,85346,112150,92284,101627,100793,92594,98743,107249,89903,124386,121768,109355,80361,123926,93641,97277,77371,98375,121469,145856,Upgrade
10,Total Current Assets,3225300,3306009,3073421,3325998,3356359,3497440,3374393,3472257,3686296,4092217,4182200,4001979,3782713,4288093,3863411,3179112,3550517,3713283,3984126,3761942,Upgrade
11,"Property, Plant & Equipment",640909,660246,682292,703858,718046,730499,751765,757572,778225,796229,806037,824545,846036,857506,881948,910046,927522,921782,938513,942656,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,3658,2806,1698,3681,10360,18517,23143,26356,27654,29989,31646,31634,31375,29010,Upgrade
13,Other Intangible Assets,11472,7418,3684,3763,4063,3934,3365,3616,3867,3023,3196,3374,3553,3732,3911,4089,4269,4157,4332,4508,Upgrade
14,Long-Term Deferred Tax Assets,41.72,1060,1060,1060,1060,1350,1350,1999,1999,4235,4235,4235,4235,-,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,187723,176973,176660,167716,159859,148544,146582,153923,149172,152497,156422,164356,168237,165920,172129,180719,188104,178742,177572,173150,Upgrade
16,Total Assets,4065446,4151706,3937117,4202395,4239387,4381767,4281112,4392173,4621257,5051881,5162449,5017006,4827917,5341607,4949053,4303956,4702059,4849598,5135919,4911266,Upgrade
17,Accounts Payable,933942,922744,551960,712006,1411266,1190118,1139126,1101751,1381305,1500218,1918155,1903491,1720501,2055625,1900608,1288635,1365652,1324638,1452908,1661597,Upgrade
18,Accrued Expenses,91029,87829,85946,57796,89106,95565,82405,49211,99928,110153,138670,66749,105002,95526,99466,47059,66527,69662,84104,40438,Upgrade
19,Short-Term Debt,1718987,1864702,2032078,2076093,1365114,1718815,1716399,1872437,1770952,2049902,1730867,1556424,1548635,1780709,1559649,1589396,1835017,2041195,1953733,1682299,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,9967,9967,9967,35279,23036,Upgrade
21,Current Income Taxes Payable,2760,2564,2739,2264,25043,16858,12900,2344,28821,13652,10537,6230,11836,17657,24892,8769,6033,8859,16343,6469,Upgrade
22,Other Current Liabilities,51302,24277,25592,17349,27704,60241,52423,99775,106386,58836,75288,69224,67279,44370,32210,45583,120777,35386,100023,34655,Upgrade
23,Total Current Liabilities,2798020,2902116,2698315,2865509,2918232,3081596,3003254,3125517,3387393,3732761,3873516,3602118,3453253,3993886,3621825,2989409,3403973,3489708,3642389,3448494,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9466,39869,44852,91119,108758,Upgrade
25,Long-Term Deferred Tax Liabilities,15826,13941,10862,6379,5678,5708,5708,4965,5219,245.68,245.68,1168,1168,1629,1674,1685,1729,1403,1403,1413,Upgrade
26,Other Long-Term Liabilities,2000,2000,2000,2000,2000,2000,2000,-,-,-,-,-,-,-,-,-,-,-,-,8620,Upgrade
27,Total Liabilities,2815846,2918057,2711176,2873888,2925911,3089303,3010962,3130482,3392612,3733007,3873762,3603286,3454420,3995515,3623499,3000559,3445571,3535963,3734911,3567285,Upgrade
28,Common Stock,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,807988,Upgrade
29,Additional Paid-In Capital,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,3561,Upgrade
30,Retained Earnings,417107,400132,393050,495954,480655,460007,443481,431334,398098,488582,458885,583073,542450,515012,493446,471687,424455,481660,569285,512111,Upgrade
31,Treasury Stock,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,-12.73,Upgrade
32,Comprehensive Income & Other,20956,21980,21354,21017,21284,20920,15133,18820,19011,18756,18266,19111,19510,19544,20571,20173,20497,20438,20187,20333,Upgrade
33,Shareholders' Equity,1249599,1233649,1225941,1328507,1313476,1292463,1270151,1261691,1228645,1318875,1288687,1413721,1373497,1346092,1325553,1303396,1256488,1313635,1401008,1343981,Upgrade
34,Total Liabilities & Equity,4065446,4151706,3937117,4202395,4239387,4381767,4281112,4392173,4621257,5051881,5162449,5017006,4827917,5341607,4949053,4303956,4702059,4849598,5135919,4911266,Upgrade
35,Total Debt,1718987,1864702,2032078,2076093,1365114,1718815,1716399,1872437,1770952,2049902,1730867,1556424,1548635,1780709,1564649,1608829,1884853,2096014,2080130,1814093,Upgrade
36,Net Cash (Debt),-774314,-1186889,-1242631,-1340488,-670395,-979486,-1100284,-1227199,-1002551,-1272908,-636687,-319790,-475073,-432850,-301412,-738690,-726872,-861431,-625264,-784533,Upgrade
37,Net Cash Per Share,-9585.76,-14753.07,-15125.94,-16627.45,-8307.47,-12150.44,-13624.27,-15170.29,-12428.25,-15734.76,-7877.41,-3960.16,-5855.46,-5358.81,-3347.82,-9149.24,-9004.57,-10668.17,-7742.91,-9704.09,Upgrade
38,Filing Date Shares Outstanding,80.78,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.75,80.8,80.77,80.8,80.8,80.8,80.8,80.8,80.85,Upgrade
39,Total Common Shares Outstanding,80.78,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.75,80.8,80.77,80.8,80.8,80.8,80.8,80.8,80.85,Upgrade
40,Working Capital,427280,403893,375106,460489,438126,415844,371139,346740,298903,359456,308684,399861,329460,294208,241586,189703,146544,223575,341737,313449,Upgrade
41,Book Value Per Share,15469.64,15268.39,15172.99,16442.42,16256.38,15996.32,15720.16,15615.46,15206.47,16323.20,15949.58,17506.97,16999.24,16665.03,16405.86,16131.63,15551.06,16258.34,17339.73,16624.04,Upgrade
42,Tangible Book Value,1238127,1226230,1222257,1324744,1309413,1288530,1266786,1258075,1224779,1315852,1285492,1410346,1369944,1342360,1321643,1299307,1252219,1309478,1396676,1339473,Upgrade
43,Tangible Book Value Per Share,15327.62,15176.58,15127.40,16395.84,16206.10,15947.63,15678.51,15570.71,15158.61,16285.79,15910.03,17465.18,16955.26,16618.83,16357.46,16081.01,15498.23,16206.90,17286.11,16568.28,Upgrade
44,Buildings,-,884425,857470,857427,881652,885455,884634,872703,876199,874242,871259,871169,870988,868759,868783,865884,862053,779932,768611,766147,Upgrade
45,Machinery,-,877809,900666,900355,868847,840867,836351,824044,820951,815613,810994,807987,807647,800326,799940,796910,775434,723718,720295,722665,Upgrade
46,Construction In Progress,10737,13869,18174,17861,16161,33414,35330,36809,37317,37001,36085,32581,30929,26458,26458,34738,52165,150085,159823,148168,Upgrade
