,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,541,530,669,707,951,1489,2034,4249,-,-,-
1,Market Cap Growth,-25.00%,-25.00%,-29.64%,-52.53%,-53.23%,-64.96%,-,-,-,-,-
2,Enterprise Value,-29,-177,-137,-242,-234,-399,146,3551,-,-,-
3,Last Close Price,1.44,1.41,1.78,1.68,2.27,3.10,4.24,8.70,-,-,-
4,PE Ratio,4.31,4.12,4.68,4.07,3.48,3.80,4.15,8.70,-,-,-
5,PS Ratio,0.27,0.25,0.32,0.35,0.42,0.54,0.65,1.51,-,-,-
6,PB Ratio,0.23,0.23,0.29,0.30,0.40,0.59,0.84,1.95,-,-,-
7,P/TBV Ratio,0.23,0.23,0.29,0.30,0.40,0.59,0.85,1.95,-,-,-
8,P/FCF Ratio,-,-,-25.93,-,-,-,-,65.76,-,-,-
9,P/OCF Ratio,-,-,-71.95,-,-,-,-,40.79,-,-,-
10,EV/Sales Ratio,-,-,-,-,-,-,0.05,1.26,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,0.21,5.26,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,0.21,5.31,-,-,-
13,EV/FCF Ratio,0.34,-,-,-,-,-,-,54.95,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.01,0.02,0.02,0.41
15,Debt / FCF Ratio,-,-,-0.76,-,-,-,-,0.23,-,0.17,6.51
16,Return on Capital Employed (ROCE),9.05%,9.81%,9.84%,12.80%,16.97%,20.92%,28.82%,30.11%,53.95%,27.00%,24.16%
17,Earnings Yield,23.05%,24.27%,21.38%,24.60%,28.77%,26.29%,24.07%,11.50%,-,-,-
18,FCF Yield,-15.82%,-15.27%,-3.86%,-8.76%,-70.80%,-48.24%,4.95%,1.52%,-,-,-
19,Dividend Yield,0.00%,-,-,-,-,9.44%,-,-,-,-,-
20,Buyback Yield / Dilution,1.54%,-1.20%,4.37%,-0.71%,0.07%,-1.14%,-37.15%,-39.76%,-8.55%,-2.02%,-
21,Total Shareholder Return,1.54%,-1.20%,4.37%,-0.71%,0.07%,8.30%,-37.15%,-39.76%,-8.55%,-2.02%,-
