,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,562.68,678.63,767.67,851.48,991.67,929.25,1050,604.89,795.7,228.87
1,Short-Term Investments,-,-,-,-,-,1.4,-,-,-,-
2,Trading Asset Securities,-,-,-,-,33,537.57,532.84,-,4.8,-
3,Cash & Short-Term Investments,562.68,678.63,767.67,851.48,1025,1468,1583,604.89,800.5,228.87
4,Cash Growth,-26.70%,-20.30%,-25.08%,-42.01%,-35.25%,142.73%,97.70%,164.30%,-,-
5,Accounts Receivable,2016,2122,2079,2037,1723,1618,1276,907.57,633.46,493.97
6,Other Receivables,605.86,790.99,775.32,698.5,637.61,268.47,83.99,88.35,140.45,266.22
7,Receivables,2622,2913,2854,2735,2361,1887,1360,995.92,789.34,1242
8,Inventory,434.89,54.76,52.46,46.31,40.58,40.3,39.17,28.8,15.39,16.4
9,Prepaid Expenses,0.01,0.03,0,0.02,-,-,20.86,-,13.5,14.38
10,Restricted Cash,-,-,-,-,-,-,2.3,-,-,100
11,Other Current Assets,188.16,164.65,91.42,95.41,106.19,119.2,247.93,107.3,52.65,42.87
12,Total Current Assets,3807,3811,3765,3728,3533,3515,3253,1737,1671,1645
13,"Property, Plant & Equipment",38.29,39.36,21.79,49.42,19.64,20.99,20.86,15.57,14.12,13.35
14,Long-Term Investments,104.36,104.13,105.72,101.64,103.48,103.48,-,-,-,-
15,Other Intangible Assets,9.33,10.57,5.37,6.28,7.16,7.84,7.54,8.26,1.84,1.08
16,Long-Term Accounts Receivable,6.05,6.03,7.42,7.04,7.53,8.1,12.86,16.83,16.02,71.82
17,Long-Term Deferred Tax Assets,126.7,109.86,88.02,81.79,47.55,44.83,10.13,9.78,7.52,12.63
18,Long-Term Deferred Charges,-,14.03,-,13.72,-,11.46,-,3.89,-,-
19,Other Long-Term Assets,71.54,58.91,79.33,64.44,70.27,61.33,65.01,70.83,74.78,75.52
20,Total Assets,4164,4154,4073,4053,3788,3773,3369,1862,1786,1819
21,Accounts Payable,112.29,696.24,576.89,661.38,65.52,571.68,484.18,51.28,238.24,207.35
22,Accrued Expenses,804.74,353.19,297.88,431.1,721.16,277.04,200.31,437.94,268.47,497.62
23,Short-Term Debt,-,2,2,-,-,-,-,-,-,90
24,Current Portion of Long-Term Debt,0.2,1.11,-,3.61,-,-,-,-,-,-
25,Current Portion of Leases,1.91,3.5,2.42,20.69,2.85,3.83,1.4,2.76,2.38,8.91
26,Current Income Taxes Payable,61.74,75.95,43.84,64.65,72.83,65.16,48.78,42.68,23.66,16.09
27,Current Unearned Revenue,530.34,395.69,472.73,335.45,401.88,424.81,427.15,342.49,326.03,246.04
28,Other Current Liabilities,450.7,515.34,487.85,418.11,352.75,450.7,362.2,331.64,277.52,290.54
29,Total Current Liabilities,1962,2043,1884,1935,1617,1793,1524,1209,1136,1357
30,Long-Term Debt,-,-,-,1.11,-,-,-,-,-,-
31,Long-Term Leases,10.58,11.08,7.04,9.32,7.28,9.09,11.14,12.46,12.32,57.75
32,Long-Term Unearned Revenue,-,-,-,-,-,-,15.22,-,21.4,20.72
33,Long-Term Deferred Tax Liabilities,6.69,7.01,2.41,7.9,2.69,3.93,3.56,6.01,4.74,5.2
34,Other Long-Term Liabilities,-,-,-,0.03,-,-,-,-,-,-
35,Total Liabilities,1979,2061,1893,1953,1627,1806,1554,1227,1175,1440
36,Common Stock,376,376,376,376,376,376,376,282,282,60.31
37,Additional Paid-In Capital,906.05,906.05,956.19,956.19,1001,1002,965.01,117.16,81.03,-
38,Retained Earnings,804.67,713.57,758.92,681.34,708.69,519.67,374.08,183.23,173.76,209.37
39,Comprehensive Income & Other,78.58,78.58,78.58,76.88,73.02,69.51,99.87,52.4,74.12,109.29
40,Total Common Equity,2165,2074,2170,2090,2159,1967,1815,634.8,610.9,378.97
