,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,8988,5806,4241,3980,5154,6328,6915,7953,13781,19767,12112
1,Market Cap Growth,45.90%,45.90%,-17.72%,-37.11%,-25.47%,-20.43%,-49.82%,-59.77%,13.77%,79.27%,1.67%
2,PE Ratio,10.41,6.74,5.65,6.51,9.29,15.10,20.54,223.79,-,-,-
3,PS Ratio,0.98,0.59,0.55,0.62,1.01,1.29,1.52,2.06,4.22,11.18,5.04
4,PB Ratio,0.49,0.33,0.25,0.23,0.31,0.37,0.40,0.44,0.80,1.15,0.75
5,P/FCF Ratio,-,-,-1.05,-,-,-,-,-,1.56,1.36,0.75
6,P/OCF Ratio,-,-,-1.07,-,-,-,-,-,1.56,1.36,0.73
7,Debt / Equity Ratio,1.64,1.64,1.51,1.47,1.19,0.82,0.73,0.64,0.57,0.70,0.96
8,Debt / FCF Ratio,-,-,-6.47,-,-,-,-,-,1.12,0.83,0.95
9,Earnings Yield,9.59%,14.84%,17.69%,15.36%,10.76%,6.62%,4.87%,0.45%,-2.07%,-6.94%,-10.37%
10,Earnings Yield,9.59%,14.84%,17.69%,15.36%,10.76%,6.62%,4.87%,0.45%,-2.07%,-6.94%,-10.37%
11,FCF Yield,-26.45%,-40.94%,-94.94%,-240.32%,-131.74%,-37.01%,-20.08%,22.33%,64.02%,73.49%,133.87%
12,Buyback Yield / Dilution,-0.41%,-0.39%,-0.42%,-0.33%,-1.23%,2.22%,-4.40%,-8.67%,-0.69%,2.82%,2.93%
13,Total Shareholder Return,4.48%,-0.39%,-0.42%,-0.33%,-1.23%,2.22%,-4.40%,-8.67%,-0.69%,2.82%,2.93%
