,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Interest and Dividend Income,1036,957.39,889.64,699.77,640.42,576.83,586.44,605.63,858.35,1128
1,Total Interest Expense,48.68,51.35,45.69,41.34,43.26,40.91,29.93,27.25,6.74,17.9
2,Net Interest Income,987.25,906.05,843.95,658.42,597.15,535.92,556.51,578.38,851.62,1110
3,Other Revenue,4384,3510,2952,2144,2109,1876,1492,810.14,843.03,495.82
4,Revenue Before Loan Losses,5371,4417,3796,2803,2706,2411,2049,1389,1695,1606
5,Provision for Loan Losses,-121.34,657.77,396.08,332.65,452.39,337.91,239.97,46.4,323.7,1489
6,Revenue,5493,3759,3400,2470,2254,2074,1809,1342,1371,117.36
7,Revenue Growth (YoY),61.54%,52.16%,50.88%,19.13%,24.60%,54.50%,31.93%,1043.55%,-33.91%,-95.50%
8,Salaries & Employee Benefits,29,25,31,44,55,80,96,35,41,64
9,Cost of Services Provided,3885,3295,3053,2186,2070,1949,1991,1497,1575,1532
10,Other Operating Expenses,-39.45,-35.18,-63.01,-73.73,-78.18,-84.07,-110.17,-107.22,-129.72,-84.49
11,Total Operating Expenses,3875,3285,3021,2156,2046,1945,1977,1425,1487,1512
12,Operating Income,1618,474.12,379.08,314.32,207.09,128.62,-167.91,-82.49,-115.7,-1394
13,Earnings From Equity Investments,5.66,-21.27,8.47,26.27,4.72,10.52,-7.46,-7.99,-27.74,-0.83
14,Currency Exchange Gain (Loss),-14.81,-18.79,-5.4,-3.31,-3.62,-12.7,-4.97,-0.74,3.29,3.83
15,EBT Excluding Unusual Items,614.5,470.9,414.04,377.25,254.98,154.05,-103.92,-113.56,-118.77,-1376
16,Gain (Loss) on Sale of Investments,-65.81,-31.06,16.04,-98.5,3.42,-6.96,301.09,0.02,0.44,-
17,Other Unusual Items,-,100.99,-,-,-,-,-,-,-,-
18,Pretax Income,548.78,540.75,429.97,278.86,258.27,147.22,195.8,-112.17,-121.9,-1376
19,Income Tax Expense,148.52,131.07,141.4,12.46,11.36,23.32,32.25,22.43,-19.06,-323.12
20,Earnings From Continuing Ops.,400.26,409.68,288.56,266.4,246.91,123.9,163.55,-134.6,-102.84,-1053
21,Net Income,400.26,409.68,288.56,266.4,246.91,123.9,163.55,-134.6,-102.84,-1053
22,Net Income to Common,400.26,409.68,288.56,266.4,246.91,123.9,163.55,-134.6,-102.84,-1053
23,Net Income Growth,38.71%,53.79%,16.87%,115.01%,50.97%,-,-,-,-,-
24,Shares Outstanding (Basic),6465,6445,6434,6406,6394,6361,6345,6325,6309,6281
25,Shares Outstanding (Diluted),6753,6713,6727,6685,6704,6603,6856,6325,6309,6281
26,Shares Change (YoY),0.39%,0.42%,0.33%,1.23%,-2.22%,4.40%,8.67%,0.69%,-2.82%,-2.93%
27,EPS (Basic),0.06,0.06,0.04,0.04,0.04,0.02,0.03,-0.02,-0.02,-0.17
28,EPS (Diluted),0.06,0.06,0.04,0.04,0.04,0.02,0.02,-0.02,-0.02,-0.17
29,EPS Growth,39.57%,50.00%,19.82%,105.37%,60.93%,-,-,-,-,-
30,Free Cash Flow,-2830,596.35,-4343,-4338,-1946,-126.11,-1059,2506,4830,7402
31,Free Cash Flow Per Share,-0.42,0.09,-0.65,-0.65,-0.29,-0.02,-0.15,0.40,0.77,1.18
32,Operating Margin,29.46%,12.61%,11.15%,12.72%,9.19%,6.20%,-9.28%,-6.15%,-8.44%,-1188.17%
33,Profit Margin,7.29%,10.90%,8.49%,10.78%,10.96%,5.98%,9.04%,-10.03%,-7.50%,-897.13%
34,Free Cash Flow Margin,-51.53%,15.87%,-127.74%,-175.62%,-86.34%,-6.08%,-58.57%,186.71%,352.34%,6306.94%
35,Revenue as Reported,5420,4468,3842,2844,2749,2452,2079,1416,1701,1624
