,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,10.48,9.29,12.95,25.12,144.07,461.35,281.89,443.88,74.52,82.42,Upgrade
1,Short-Term Investments,14.35,16.41,15.59,14.88,18.29,17.29,15.04,12.99,10.7,7.3,Upgrade
2,Trading Asset Securities,-,-,-,-,-,12.23,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,24.83,25.7,28.54,40,162.36,490.87,296.92,456.87,85.22,89.71,Upgrade
4,Cash Growth,-13.01%,-35.76%,-82.42%,-91.85%,-45.32%,7.44%,248.43%,409.26%,66.54%,-27.39%,Upgrade
5,Accounts Receivable,1597,1793,2021,2154,2092,1994,1146,976.02,648.4,513.66,Upgrade
6,Other Receivables,80.72,189.15,126.1,61.01,69.57,150.52,157.3,106.49,104,154.81,Upgrade
7,Receivables,1677,1983,2147,2215,2162,2144,1303,1083,752.4,668.46,Upgrade
8,Inventory,113.54,138.5,147.92,143.18,166.48,211.42,185.29,89.46,97.07,89.67,Upgrade
9,Prepaid Expenses,193.29,163.32,231.04,80.87,87.72,57.27,44.68,36.02,42.65,38.66,Upgrade
10,Restricted Cash,27.47,24.72,24.51,55.25,157.13,187.72,207.96,219.61,177.82,124.37,Upgrade
11,Other Current Assets,3.49,3.61,10.66,18.09,19.13,20.01,38.9,28.35,14.08,11.17,Upgrade
12,Total Current Assets,2040,2338,2590,2552,2755,3112,2077,1913,1169,1022,Upgrade
13,"Property, Plant & Equipment",3504,3616,3630,3805,4136,4090,3629,2988,2313,2160,Upgrade
14,Long-Term Investments,223.11,233.26,236.97,250.6,276.77,293.52,272.65,269.27,235.85,236.36,Upgrade
15,Other Intangible Assets,30.25,33.21,4.07,4.35,4.09,4.35,3.54,4.57,4.5,3.62,Upgrade
16,Long-Term Deferred Tax Assets,112.87,113.67,76.42,77.32,52.38,61.75,47.45,39.07,38.77,44.97,Upgrade
17,Total Assets,5910,6334,6537,6690,7224,7561,6029,5213,3762,3467,Upgrade
18,Accounts Payable,1138,1284,1259,1379,1226,1293,636.01,549.02,331.51,247.91,Upgrade
19,Accrued Expenses,180.92,152.01,133.68,133.28,91.2,74.15,54.93,56.08,55.46,37.02,Upgrade
20,Short-Term Debt,1006,723.87,426.97,416.07,263.95,423.98,344.74,253.45,145.76,82.89,Upgrade
21,Current Portion of Long-Term Debt,330.42,162.35,224.89,500.66,513.99,414.18,179.97,164.52,333.76,268.76,Upgrade
22,Current Portion of Leases,-,2.02,3.03,1.4,12.54,13.75,21.95,13.74,9.61,10.97,Upgrade
23,Current Income Taxes Payable,39.38,41.11,44.02,41.28,38.68,51.11,21.4,46.75,27.24,31.18,Upgrade
24,Current Unearned Revenue,49.06,61.3,97.14,72.34,67.41,60.89,65.79,17.56,27.61,55.34,Upgrade
25,Other Current Liabilities,331.83,411.97,447.88,280.05,525.66,405.05,263.8,199.3,231.6,173.19,Upgrade
26,Total Current Liabilities,3076,2839,2637,2824,2739,2736,1589,1300,1163,907.25,Upgrade
27,Long-Term Debt,381.03,841.26,1080,854.36,1071,1341,1472,993.02,110.22,123.08,Upgrade
28,Long-Term Leases,-,2.9,2.76,-,99.3,105.47,47.48,31.54,11.77,3.01,Upgrade
29,Long-Term Unearned Revenue,1.7,1.54,1.51,1.56,1.63,2.67,2.63,2.71,1.52,1.71,Upgrade
30,Long-Term Deferred Tax Liabilities,14.76,14.96,13.44,14.1,17.5,14.32,13.37,13.61,11.94,12.92,Upgrade
31,Other Long-Term Liabilities,81.27,79.28,79.02,77.44,81.44,-,-,50.46,46.46,-,Upgrade
32,Total Liabilities,3555,3778,3813,3771,4011,4200,3124,2392,1344,1048,Upgrade
33,Common Stock,1240,1240,1241,1241,1241,1241,1121,1121,1121,1121,Upgrade
34,Additional Paid-In Capital,1132,1132,1132,1132,1132,1163,995.07,995.07,994.84,994.84,Upgrade
35,Retained Earnings,-574.46,-409.67,-193.65,-93.94,75.18,54.21,-51.87,-78.16,-228.51,-237,Upgrade
36,Comprehensive Income & Other,-103.6,-82.44,-138.15,-49.83,71.38,208.34,149.52,112.15,-97.21,-47.36,Upgrade
37,Total Common Equity,1695,1880,2041,2229,2520,2667,2214,2150,1790,1831,Upgrade
38,Minority Interest,660.65,675.16,683.51,689.57,693.96,694.72,691.66,671.57,627.18,587.6,Upgrade
39,Shareholders' Equity,2355,2556,2724,2918,3214,3361,2905,2822,2417,2419,Upgrade
40,Total Liabilities & Equity,5910,6334,6537,6690,7224,7561,6029,5213,3762,3467,Upgrade
41,Total Debt,1718,1732,1737,1772,1961,2298,2066,1456,611.11,488.7,Upgrade
42,Net Cash (Debt),-1693,-1707,-1709,-1732,-1799,-1808,-1769,-999.41,-525.89,-398.99,Upgrade
43,Net Cash Per Share,-0.55,-0.55,-0.55,-0.56,-0.58,-0.63,-0.63,-0.36,-0.19,-0.14,Upgrade
44,Filing Date Shares Outstanding,3101,3101,3101,3101,3102,3102,2802,2802,2802,2802,Upgrade
45,Total Common Shares Outstanding,3101,3101,3101,3101,3102,3102,2802,2802,2802,2802,Upgrade
46,Working Capital,-1036,-500.19,-46.83,-271.83,15.43,375.74,488.35,612.4,6.69,114.8,Upgrade
47,Book Value Per Share,0.55,0.61,0.66,0.72,0.81,0.86,0.79,0.77,0.64,0.65,Upgrade
48,Tangible Book Value,1664,1847,2037,2225,2516,2662,2210,2145,1786,1828,Upgrade
49,Tangible Book Value Per Share,0.54,0.60,0.66,0.72,0.81,0.86,0.79,0.77,0.64,0.65,Upgrade
50,Buildings,-,1458,-,1464,-,1423,-,1195,-,826.02,Upgrade
51,Machinery,-,581.51,-,617,-,620.28,-,464.67,-,311.09,Upgrade
52,Construction In Progress,-,1125,-,1160,-,1165,-,523.62,-,397.7,Upgrade
53,Leasehold Improvements,-,68.32,-,79.69,-,81.88,-,29.06,-,35.56,Upgrade
