,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,73,102,87,68,97,135,112,152,141,180,136,Upgrade
1,Market Cap Growth,51.43%,51.43%,-10.00%,-50.00%,-13.72%,-10.84%,-20.51%,-16.00%,3.71%,-22.52%,-59.30%,Upgrade
2,Enterprise Value,31,43,20,8,32,85,39,62,58,134,74,Upgrade
3,Last Close Price,0.04,0.05,0.04,0.04,0.05,0.07,0.06,0.08,0.08,0.10,0.08,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,6.72,-5.34,-,Upgrade
5,PS Ratio,0.21,0.29,0.27,0.23,0.35,0.50,0.40,0.58,0.57,0.63,0.39,Upgrade
6,PB Ratio,0.83,1.16,0.95,0.70,0.91,1.21,0.98,1.16,1.04,1.39,1.43,Upgrade
7,P/TBV Ratio,1.15,1.15,0.94,0.69,0.91,1.21,0.98,1.16,1.04,1.40,1.44,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-9.03,-,-,3.52,11.26,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-10.76,-,-,3.35,10.53,-,Upgrade
10,EV/Sales Ratio,0.09,0.12,0.06,0.03,0.12,0.32,0.14,0.24,0.23,0.47,0.21,Upgrade
11,EV/FCF Ratio,-1.37,-,-,-,-,-5.68,-,-,1.46,8.38,-,Upgrade
12,Debt / Equity Ratio,0.19,0.19,0.17,0.15,0.16,0.22,0.24,0.18,0.10,0.09,0.09,Upgrade
13,Debt / FCF Ratio,-,-,-,-,-,-1.61,-,-,0.35,0.76,-,Upgrade
14,Earnings Yield,-11.91%,-8.54%,-15.42%,-24.25%,-18.30%,-15.50%,-14.88%,-0.14%,14.87%,-18.73%,-34.77%,Upgrade
15,FCF Yield,-30.49%,-21.86%,-17.51%,-22.14%,-1.24%,-11.07%,-24.78%,7.86%,28.40%,8.88%,-2.81%,Upgrade
16,Buyback Yield / Dilution,-3.32%,-,-6.87%,-2.98%,-1.99%,-3.90%,1.83%,-6.36%,-7.68%,-1.26%,-3.82%,Upgrade
17,Total Shareholder Return,-3.32%,-,-6.87%,-2.98%,-1.99%,-3.90%,1.83%,-6.36%,-7.68%,-1.26%,-3.82%,Upgrade
