,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,-,79.46,536.08,279.37,354.36,259.53,207.89,2840,133.27,-,106.37,-,48.37,48.37,24.52,24.52,41.72,41.72,-,-
1,Short-Term Investments,-,-,-,-,712.52,-,705.87,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1615,1262,1656,1690,1784,1897,13.89,-,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1694,1694,1798,1936,2757,2044,2810,2854,133.27,-,106.37,134.58,48.37,48.37,24.52,24.52,41.72,41.72,-,48.02
4,Cash Growth,-38.53%,-17.09%,-36.03%,-32.17%,1968.47%,-,2542.18%,2020.36%,175.53%,-,333.88%,448.96%,15.95%,15.95%,-,-48.94%,-,-,-,-
5,Accounts Receivable,-,345.2,326.4,292.71,278.28,266.46,254.82,230.82,210.29,-,158.59,-,97.85,97.85,90.97,90.97,74.11,74.11,-,-
6,Other Receivables,-,6.51,21.58,7.58,18.13,5.49,21.7,4.08,4.73,-,3.18,-,3.91,3.91,4.61,4.61,2.27,2.27,-,-
7,Receivables,-,351.7,347.98,300.29,296.41,271.94,276.51,234.9,215.01,-,161.77,-,101.76,101.76,95.58,95.58,76.38,76.38,-,-
8,Inventory,-,265.12,253.12,221.3,194.5,193.57,193,188.49,161.15,-,129.06,-,50.65,50.65,49.98,49.98,40.73,40.73,-,-
