,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,6319,5379,5870,5252,5812,8026,10562,11793,15421,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-32.98%,-32.98%,-44.42%,-55.46%,-62.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4631,3691,4079,3324,3773,5987,7756,8944,15293,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,55.95,47.63,51.92,45.94,49.61,68.51,90.15,100.66,131.37,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,45.49,38.12,42.37,38.50,43.38,70.26,88.04,112.01,192.55,-,-,-,-,-,-,-,-,-,-,-,-
5,Forward PE,24.76,22.55,28.28,27.17,25.96,40.03,49.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.68,7.27,8.72,8.14,9.28,13.66,17.88,21.27,29.93,-,-,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.98,1.69,1.84,1.65,1.78,2.46,3.28,3.69,4.85,-,-,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.71,1.71,1.87,1.68,1.81,2.50,3.33,3.75,4.93,-,-,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-1753.05,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,236.87,-,971.74,-,366.40,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,6.26,4.99,6.06,5.15,6.02,10.19,13.13,16.13,29.68,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,26.86,21.32,51.23,49.03,53.33,93.16,76.96,86.52,176.74,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,29.18,23.26,62.62,61.43,65.11,-,86.62,96.35,198.79,-,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-1329.67,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-,0.03,0.03,0.36,0.36,0.17,0.17,0.19,0.19,-,0.17
16,Debt / EBITDA Ratio,0.04,0.02,0.07,0.05,0.08,0.22,0.09,0.03,0.08,0.04,-,0.12,0.38,-,-,-,-,1.33,1.33,-,2.46
