,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,227.67,179.6,182.43,149.79,157.62,152.97,162.89,110.54,157.3,119.1,121.37,79.98,25.93,25.93,28.99,28.99,26.07,26.07,20.65,20.65
1,Other Revenue,-,-0.58,0.58,-,3.36,-1.59,1.59,-,6.93,-3.83,3.83,-,1.86,1.86,2.53,2.53,6.83,6.83,1.68,1.68
2,Revenue,227.67,179.01,183.02,149.79,160.99,151.38,164.48,110.54,164.22,115.27,125.2,79.98,27.8,27.8,31.52,31.52,32.89,32.89,22.33,22.33
3,Revenue Growth (YoY),41.43%,18.25%,11.27%,35.51%,-1.97%,31.33%,31.37%,38.21%,490.83%,314.70%,297.17%,153.71%,-15.50%,-15.50%,41.21%,41.21%,-,-,-,-
4,Cost of Revenue,-280.42,99.37,99.85,81.2,90.09,90.7,97.53,69.06,88.92,71.49,80.26,46.33,17.16,17.16,21.82,21.82,16.8,16.8,12.8,12.8
5,Gross Profit,508.09,79.65,83.16,68.59,70.9,60.68,66.95,41.48,75.3,43.77,44.94,33.65,10.63,10.63,9.7,9.7,16.1,16.1,9.52,9.52
6,"Selling, General & Admin",-112.22,46.64,33.18,32.41,37.59,30.1,33.21,22.55,24,21.2,22.78,18.53,11.28,11.28,10.4,10.4,11.56,11.56,7.18,7.18
7,Research & Development,-59.92,18.77,20.73,20.42,19.67,20.5,14.02,12.04,6.99,12.01,12.87,12.79,-,-,-,-,-,-,-,-
8,Other Operating Expenses,597.66,-10.25,-1.49,-5.09,15.02,-2.1,-14.31,-7.97,6.55,-3.17,-3.23,-2.81,0.22,0.22,0.13,0.13,0.22,0.22,0.14,0.14
9,Operating Expenses,417.6,59.78,54.91,48.54,73.94,51.84,34.86,27.13,41.04,31.65,28.75,29.41,12.88,12.88,11.53,11.53,11.87,11.87,7.72,7.72
10,Operating Income,90.49,19.87,28.25,20.06,-3.04,8.84,32.09,14.35,34.26,12.12,16.2,4.24,-2.24,-2.24,-1.82,-1.82,4.23,4.23,1.81,1.81
11,Interest Expense,-26.86,-,-0.13,-,-0.24,-,-0.13,-,-0.5,-,-0.29,-,-0.46,-0.46,-0.34,-0.34,-0.37,-0.37,-0.42,-0.42
