,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,23.98,41.76,181.58,-,274.76,150.67,58.75,186.99,323.02,655.08,661.36,313,388.82,421.91,488.27,491.31,390.45,1045,746.27,892.08,Upgrade
1,Other Revenue,-0.09,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-0.02,0.02,-,1.59,Upgrade
2,Revenue,23.88,41.86,181.58,-,274.76,150.67,58.75,186.99,323.02,655.08,661.36,313,388.82,421.91,488.27,491.32,390.43,1045,746.27,893.67,Upgrade
3,Revenue Growth (YoY),-91.31%,-72.22%,209.09%,-,-14.94%,-77.00%,-91.12%,-40.26%,-16.92%,55.27%,35.45%,-36.29%,-0.41%,-59.62%,-34.57%,-45.02%,-28.53%,157.70%,284.03%,157.89%,Upgrade
4,Cost of Revenue,25.02,40.9,181.13,-,271.86,148.19,57.43,183.34,318.53,645.05,655.24,308.66,383.99,416.8,479.52,484.9,384.04,1034,736.67,881.71,Upgrade
5,Gross Profit,-1.14,0.96,0.45,-,2.9,2.48,1.32,3.65,4.49,10.03,6.12,4.34,4.83,5.11,8.75,6.42,6.4,11.19,9.61,11.96,Upgrade
6,"Selling, General & Admin",13.6,14.95,17.78,-,16.28,14.83,6.69,4.71,3.95,2.32,3.35,3.87,3.32,4.01,3.25,5.49,3.47,3.11,2.96,6.95,Upgrade
7,Other Operating Expenses,-0.02,-0.11,0.38,-,-2.75,0.09,0.03,-0.07,0.28,0.33,-0.05,4.56,0.12,-4.24,0.19,5.11,0.28,-4.46,0.31,4.69,Upgrade
8,Operating Expenses,42.11,14.79,17.66,-,13.51,14.37,6.59,-8.6,4.32,2.36,2.42,23.15,3.24,-0.48,4.03,9.45,4.3,-0.36,3.05,11.75,Upgrade
9,Operating Income,-43.25,-13.83,-17.22,-,-10.6,-11.9,-5.27,12.25,0.17,7.67,3.71,-18.81,1.59,5.6,4.71,-3.02,2.1,11.54,6.56,0.21,Upgrade
10,Interest Expense,-0.57,-0.56,-0.94,-,-0.4,-0.62,-,-0.2,-,-0.14,-0.02,-1.69,-0.58,-0.94,-0.43,-1.2,-0.98,-0.9,-0.89,-1.57,Upgrade
11,Interest & Investment Income,3.39,-,0.06,-,0.29,0.43,0.36,3.67,0.25,0.09,0.09,0.42,0.31,0.57,-,0.28,-,0.08,-,2.95,Upgrade
12,Earnings From Equity Investments,-,1.12,-1.12,-,-,0.88,-0.88,2.52,-1.03,-1.1,-0.39,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Non Operating Income (Expenses),-0.01,-0.14,-0.02,-,-0.12,0.56,-0.59,-0.82,-0.39,-0.66,-0.21,-54.47,-0.22,-0.69,0.06,-1.68,0.66,-0.32,0.6,0.16,Upgrade
14,EBT Excluding Unusual Items,-40.45,-13.41,-19.23,-,-10.84,-10.66,-6.38,17.42,-1.01,5.86,3.18,-74.54,1.1,4.54,4.35,-5.63,1.78,10.41,6.26,1.75,Upgrade
15,Gain (Loss) on Sale of Investments,3.02,-3.02,-,-,-1.01,-1.81,-,-3.95,-,-,-,-1.29,-,-,-,-,-,-,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,0.15,0.06,-,-,-0.02,0.02,-,0.38,-0,0.16,-,-,-,-,-,-,-,-,-,-0.03,Upgrade
17,Asset Writedown,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0.7,-0.7,-0.11,Upgrade
18,Other Unusual Items,-5.03,-0.89,0.02,-,-,-,-,0.41,0.22,2.31,-,4.53,-,-,-,19.47,-,-,-,7.99,Upgrade
19,Pretax Income,-42.31,-17.26,-19.22,-,-11.87,-12.44,-6.38,14.27,-0.79,8.33,3.18,-71.29,1.1,4.54,4.35,13.85,1.78,11.11,5.56,9.61,Upgrade
20,Income Tax Expense,-6.86,0.05,0.05,-,0.89,0.76,0.03,3.01,0.42,2.77,1.63,-17.54,0.69,1.5,1.29,0.93,0.89,3.37,1.82,2.18,Upgrade
21,Earnings From Continuing Operations,-35.45,-17.31,-19.26,-,-12.76,-13.21,-6.41,11.26,-1.21,5.56,1.55,-53.76,0.41,3.04,3.05,12.91,0.89,7.73,3.74,7.42,Upgrade
22,Minority Interest in Earnings,-0,0,-0.01,-,-,-0.13,0,-0.25,-0.13,-1.77,-0.57,-0.39,-0.58,-1.18,-0.79,-1.02,-0.99,-1.35,-0.59,-1.9,Upgrade
23,Net Income,-35.45,-17.31,-19.28,-,-12.76,-13.33,-6.41,11,-1.34,3.79,0.98,-54.15,-0.17,1.87,2.26,11.89,-0.1,6.38,3.15,5.53,Upgrade
24,Net Income to Common,-35.45,-17.31,-19.28,-,-12.76,-13.33,-6.41,11,-1.34,3.79,0.98,-54.15,-0.17,1.87,2.26,11.89,-0.1,6.38,3.15,5.53,Upgrade
25,Net Income Growth,-,-,-,-,-,-,-,-,-,103.04%,-56.70%,-,-,-70.75%,-28.23%,115.14%,-,0.44%,74.35%,-63.35%,Upgrade
26,Shares Outstanding (Basic),230,231,230,-,232,230,229,227,235,209,245,221,201,249,210,277,209,220,212,213,Upgrade
27,Shares Outstanding (Diluted),230,231,230,-,232,230,229,227,235,209,245,221,201,249,210,277,209,220,212,213,Upgrade
28,Shares Change (YoY),-0.90%,0.22%,0.27%,-,-0.93%,9.99%,-6.55%,2.87%,16.83%,-16.05%,16.91%,-20.22%,-3.87%,13.43%,-0.99%,29.78%,-1.84%,-8.16%,-2.88%,-1.82%,Upgrade
29,EPS (Basic),-0.15,-0.08,-0.08,-,-0.05,-0.06,-0.03,0.05,-0.01,0.02,0.00,-0.25,-0.00,0.01,0.01,0.04,-0.00,0.03,0.01,0.03,Upgrade
30,EPS (Diluted),-0.15,-0.08,-0.08,-,-0.05,-0.06,-0.03,0.05,-0.01,0.02,0.00,-0.25,-0.00,0.01,0.01,0.04,-0.00,0.03,0.01,0.03,Upgrade
31,EPS Growth,-,-,-,-,-,-,-,-,-,141.85%,-62.96%,-,-,-74.21%,-27.52%,66.85%,-,9.37%,79.52%,-62.91%,Upgrade
32,Free Cash Flow,-7.61,-10.23,-13.86,-,-17.35,38.69,39.04,44.48,-78.65,84.2,-36.73,-40.73,4.25,11.2,-60.83,123.77,-47.33,67.2,-50.34,45.61,Upgrade
33,Free Cash Flow Per Share,-0.03,-0.04,-0.06,-,-0.07,0.17,0.17,0.20,-0.34,0.40,-0.15,-0.18,0.02,0.04,-0.29,0.45,-0.23,0.31,-0.24,0.21,Upgrade
34,Gross Margin,-4.76%,2.30%,0.25%,-,1.06%,1.64%,2.24%,1.95%,1.39%,1.53%,0.93%,1.39%,1.24%,1.21%,1.79%,1.31%,1.64%,1.07%,1.29%,1.34%,Upgrade
35,Operating Margin,-181.11%,-33.04%,-9.48%,-,-3.86%,-7.90%,-8.97%,6.55%,0.05%,1.17%,0.56%,-6.01%,0.41%,1.33%,0.97%,-0.62%,0.54%,1.10%,0.88%,0.02%,Upgrade
36,Profit Margin,-148.44%,-41.35%,-10.62%,-,-4.64%,-8.85%,-10.91%,5.89%,-0.41%,0.58%,0.15%,-17.30%,-0.04%,0.44%,0.46%,2.42%,-0.03%,0.61%,0.42%,0.62%,Upgrade
37,Free Cash Flow Margin,-31.86%,-24.45%,-7.63%,-,-6.32%,25.68%,66.45%,23.79%,-24.35%,12.85%,-5.55%,-13.01%,1.09%,2.66%,-12.46%,25.19%,-12.12%,6.43%,-6.75%,5.10%,Upgrade
38,EBITDA,-42.96,-12.8,-16.92,-,-10.46,-11.77,-5.13,12.39,0.31,7.74,3.85,-18.67,1.72,5.73,4.84,-2.9,2.2,11.68,6.66,0.31,Upgrade
39,EBITDA Margin,-179.87%,-30.58%,-9.32%,-,-3.81%,-7.81%,-8.73%,6.62%,0.10%,1.18%,0.58%,-5.96%,0.44%,1.36%,0.99%,-0.59%,0.56%,1.12%,0.89%,0.03%,Upgrade
40,D&A For EBITDA,0.29,1.03,0.29,-,0.14,0.13,0.14,0.14,0.14,0.08,0.14,0.14,0.13,0.13,0.13,0.13,0.1,0.14,0.1,0.1,Upgrade
41,EBIT,-43.25,-13.83,-17.22,-,-10.6,-11.9,-5.27,12.25,0.17,7.67,3.71,-18.81,1.59,5.6,4.71,-3.02,2.1,11.54,6.56,0.21,Upgrade
42,EBIT Margin,-181.11%,-33.04%,-9.48%,-,-3.86%,-7.90%,-8.97%,6.55%,0.05%,1.17%,0.56%,-6.01%,0.41%,1.33%,0.97%,-0.62%,0.54%,1.10%,0.88%,0.02%,Upgrade
43,Effective Tax Rate,-,-,-,-,-,-,-,21.09%,-,33.28%,51.27%,-,62.83%,32.98%,29.71%,6.73%,50.13%,30.38%,32.69%,22.72%,Upgrade
44,Revenue as Reported,23.88,41.86,181.58,-,274.76,150.67,58.75,186.99,323.02,655.08,661.36,313,388.82,421.91,488.27,491.32,390.43,1045,746.27,893.67,Upgrade
