,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,1294,1483,1248,1753,2400,2370,2110,2798,3245,2538,3169,3671,3756,5649,8397,4105,3322,2631,1814,1789,1992,Upgrade
1,Market Cap Growth,-37.41%,-37.41%,-40.83%,-37.37%,-26.05%,-6.62%,-33.43%,-23.78%,-13.61%,-55.08%,-62.26%,-10.58%,13.06%,114.75%,363.04%,129.43%,66.81%,31.49%,-22.45%,-22.51%,5.99%,Upgrade
2,Enterprise Value,1323,1526,1297,1733,2381,2289,2093,2818,3265,2480,3196,3608,3693,5657,8413,4060,3398,2658,1904,1828,2073,Upgrade
3,Last Close Price,5.62,6.44,5.42,7.61,10.42,10.29,9.16,12.15,14.09,11.02,13.76,15.94,16.31,24.53,39.05,19.09,15.45,12.23,8.43,8.32,9.26,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,224.79,-,-63.96,-71.32,-,-,527.48,200.92,155.80,-,87.35,86.31,102.72,Upgrade
5,PS Ratio,2.26,6.00,2.51,2.89,-,3.53,2.93,2.29,1.78,1.30,1.57,2.06,2.33,3.16,4.69,1.70,1.24,0.86,0.56,0.69,0.98,Upgrade
6,PB Ratio,8.13,9.32,6.21,8.05,-,-,7.91,8.90,10.11,8.12,10.10,12.16,12.30,15.70,31.90,15.78,12.92,10.77,7.45,7.59,8.58,Upgrade
7,P/TBV Ratio,9.64,9.64,6.35,8.19,-,-,7.95,10.04,11.38,9.17,11.39,13.70,14.07,17.56,37.18,18.33,14.99,12.54,8.62,8.77,9.92,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,48.43,31.42,244.05,-,288.29,-,-,72.06,313.20,-,35.61,-,54.00,-,-15.68,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,48.10,31.41,243.72,-,283.51,-,-,71.46,305.05,-,35.13,-,53.34,-,-15.91,Upgrade
10,EV/Sales Ratio,2.28,6.17,2.60,2.86,-,3.41,2.91,2.30,1.79,1.27,1.58,2.02,2.29,3.16,4.70,1.68,1.27,0.86,0.59,0.71,1.02,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,134.45,-366.34,-596.40,-489.35,-,601.99,851.77,256.50,-,127.48,63.29,65.08,89.75,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,137.26,-341.29,-546.83,-455.85,-,637.23,896.52,264.83,-,130.25,64.19,65.81,90.89,Upgrade
13,EV/FCF Ratio,-15.70,-,-,-,-,-,48.04,31.64,245.57,-,290.74,-,-,72.15,313.80,-,36.42,-,56.68,-,-16.32,Upgrade
14,Debt / Equity Ratio,0.18,0.18,0.29,0.33,-,-,0.09,0.15,0.01,0.01,0.01,0.02,0.04,0.14,0.17,0.23,0.28,0.30,0.25,0.32,0.32,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,0.07,3.06,0.12,0.43,-,7.28,1.92,3.12,-,8.31,1.29,2.82,60.51,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,0.53,0.54,0.28,-,0.37,-,-,0.64,1.64,-,0.78,-,1.80,-,-0.59,Upgrade
17,Asset Turnover,0.29,0.44,-,-,-,1.57,0.57,1.86,3.12,5.57,5.31,2.25,2.88,3.76,3.74,3.14,2.84,8.29,5.87,7.57,Upgrade,
18,Inventory Turnover,-,49.31,80.60,-,-,-,-,-,-,-,-,-,-,-,-,-,43.35,62.36,-,-,118.68,Upgrade
19,Quick Ratio,1.22,1.22,1.49,1.47,-,-,2.88,3.51,3.02,2.33,2.01,1.36,1.78,1.62,1.42,1.39,0.96,0.86,1.30,0.86,0.92,Upgrade
