,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,0.7,14.93,22.04,-,-,103.78,99.66,60.62,17.95,96.6,12.33,60.15,149.86,72.82,79.11,102.6,30.27,65.27,15.47,66.99,Upgrade
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,0.7,14.93,22.04,-,-,103.78,99.66,60.62,17.95,96.6,12.33,60.15,149.86,72.82,79.11,152.6,30.27,65.27,15.47,66.99,Upgrade
3,Cash Growth,-,-85.62%,-77.88%,-,-,7.44%,708.56%,0.78%,-88.02%,32.66%,-84.42%,-60.58%,395.01%,11.56%,411.49%,127.79%,194.40%,287.97%,7.28%,-29.62%,Upgrade
4,Accounts Receivable,122.27,134.08,142.62,-,-,77.08,168.74,163.86,185.11,118.32,269.78,239.17,288.71,185.13,185.15,166.81,322.71,184.86,268.24,128.93,Upgrade
5,Other Receivables,3.26,6.67,8.56,-,-,8.57,9.55,13.14,2.77,2.13,2.06,1.72,1.68,1.95,2.65,2.93,4.16,5.68,3.23,3.4,Upgrade
6,Receivables,125.53,140.76,151.18,-,-,85.65,178.29,177,187.88,120.45,271.84,240.89,290.39,187.08,187.8,169.74,326.86,190.54,271.47,132.33,Upgrade
7,Inventory,2.03,2.03,2.03,-,-,9.35,-,26.47,-,-,-,-,-,-,-,47.64,41.84,7.43,-,55.41,Upgrade
8,Prepaid Expenses,-,-,-,-,-,0,-,-,-,0,-,0.01,-,0.05,-,0.47,-,-,-,-,Upgrade
9,Other Current Assets,25.06,35.46,54.42,-,-,66.76,59.16,77.69,132.85,141.15,168.45,113.48,150.46,174.14,174.01,210.37,249.24,166.45,270.09,183.15,Upgrade
10,Total Current Assets,153.32,193.17,229.68,-,-,265.54,337.11,341.78,338.68,358.21,452.62,414.53,590.72,434.09,440.91,580.82,648.22,429.69,557.03,437.88,Upgrade
11,"Property, Plant & Equipment",72.86,95.08,95.58,-,-,26.4,27.9,2.83,4.84,5.21,7.84,7.92,1.42,1.5,1.54,1.62,1.69,1.79,1.11,1.16,Upgrade
12,Long-Term Investments,24.48,24.48,25.44,-,-,27.28,28.21,29.08,32.52,33.55,28.32,28.71,30,-,-,-,-,-,-,-,Upgrade
13,Other Intangible Assets,5.33,4.41,3.62,-,-,1.21,1.22,1.25,1.3,1.35,1.39,1.44,1.49,1.42,1.46,1.5,1.54,1.02,1.05,1.08,Upgrade
14,Long-Term Deferred Tax Assets,33.36,32.16,33.86,-,-,18.3,18.45,18.9,20.15,20.12,20.22,20.44,2.27,2.32,2.38,2.23,1.56,1.6,1.89,1.95,Upgrade
15,Long-Term Deferred Charges,0.01,2.89,3.08,-,-,2.49,0.33,0.39,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,5.75,6.34,6.79,-,-,6.06,6.12,6.18,6.24,6.3,6.37,6.43,6.49,6.55,6.61,6.67,6.73,6.8,6.86,6.92,Upgrade
17,Total Assets,295.1,358.53,398.05,-,-,347.28,419.34,400.42,403.73,424.73,516.76,479.46,632.38,445.87,452.91,592.84,659.76,440.89,567.93,448.98,Upgrade
18,Accounts Payable,70.06,60.55,65.23,-,-,25.16,23.71,26.24,31.44,18.52,56.46,21.86,61.91,24.02,31.64,48.24,87.87,93.59,116.76,69.42,Upgrade
19,Accrued Expenses,3.4,10.26,3.77,-,-,10.45,8.9,10.64,7.72,8.62,0.7,12.22,7.59,8.11,7.5,9.84,7.69,9.21,0.88,9.84,Upgrade
20,Short-Term Debt,-,2,8.5,-,-,-,21.37,2,-,-,-,5.99,49.99,44,60.4,73.12,73.12,60.4,75,75,Upgrade
21,Current Portion of Long-Term Debt,4.21,0.58,14.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Current Portion of Leases,-,15.11,-,-,-,8.43,1.21,1.25,1.1,1.09,1.56,1.56,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,0.8,0,1.14,-,-,0.56,1.66,1.27,1.38,2.72,2.87,0.62,1.33,1.49,2.19,2.84,2.06,4.62,3.65,2.31,Upgrade
24,Current Unearned Revenue,5,5.08,8.4,-,-,13.21,11.39,24.68,29.52,53.52,82.35,67.13,83.51,49.24,60.91,155.43,97.9,15.94,114.75,45.71,Upgrade
