,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,6218,5350,5540,4289,5312,6394,6804,7035,7207,6570,6377,8223,9408,12498,-,-,-,-
1,Market Cap Growth,-16.33%,-16.33%,-18.58%,-39.03%,-26.29%,-2.67%,6.70%,-14.45%,-23.40%,-47.44%,-,-,-,-,-,-,-,-
2,Enterprise Value,3667,2799,2944,1673,2133,3214,3605,3779,3885,3248,3011,4687,5766,11893,-,-,-,-
3,Last Close Price,18.05,15.53,16.07,12.43,15.39,18.53,19.72,20.31,20.81,18.97,18.41,23.74,26.78,35.57,-,-,-,-
4,PE Ratio,257.86,-,957.53,686.64,1073.53,-,-4157.33,10090.87,725.80,-,57.60,36.56,31.80,39.03,-,-,-,-
5,PS Ratio,10.09,8.75,10.04,8.04,10.58,11.16,13.62,13.48,13.10,11.22,8.94,8.20,7.74,9.80,-,-,-,-
6,PB Ratio,1.48,1.28,1.32,1.02,1.27,1.53,1.62,1.68,1.71,1.57,1.51,1.95,2.18,2.95,-,-,-,-
7,P/TBV Ratio,1.30,1.30,1.35,1.04,1.30,1.56,1.65,1.71,1.75,1.60,1.54,1.99,2.23,3.02,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-51.25,-,-,-,-,-,-,-,29.00,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-95.61,-50.14,-,-,-,-,-,-,26.46,-,-,-,-
10,EV/Sales Ratio,6.00,4.58,5.33,3.14,4.25,5.61,7.22,7.24,7.06,5.55,4.22,4.68,4.75,9.33,-,-,-,-
11,EV/EBITDA Ratio,51.28,39.16,-41.78,-,-25.88,-,-,-,-69.58,-,39.22,-,16.37,28.44,-,-,-,-
12,EV/EBIT Ratio,209.89,160.20,-23.65,-,-,-,-,-,-35.04,-,146.47,-,19.52,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-25.77,-,-,-,-,-,-,-,27.59,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,0.02,0.02,0.02,0.02
15,Debt / EBITDA Ratio,0.03,0.01,0.03,-,0.09,-,-,-,-,-,-,-,-,-,0.05,0.06,0.05,0.14
16,Debt / FCF Ratio,-,-,-,-,-,-0.03,-,-,-,-,-,-,-,-,-,0.38,0.39,0.93
17,Asset Turnover,-,0.08,0.10,0.10,0.17,0.07,0.07,0.15,0.11,0.08,0.09,0.17,0.27,0.63,-,-,-,
18,Inventory Turnover,-,-,1.28,1.53,1.51,2.71,1.00,1.28,2.44,2.02,1.33,1.71,3.60,3.39,3.52,-,-,-
19,Quick Ratio,-,-,7.41,7.52,7.70,7.12,8.53,8.28,8.01,7.33,8.43,8.15,8.50,7.04,2.11,2.21,-,1.76
20,Current Ratio,-,-,8.20,8.31,8.41,7.68,9.26,8.93,8.51,7.83,9.05,8.71,8.89,7.37,2.48,2.60,-,2.23
21,Return on Equity (ROE),-0.35%,0.09%,1.19%,1.35%,-2.09%,0.13%,1.07%,1.63%,-2.99%,0.36%,1.92%,7.05%,1.59%,34.12%,29.46%,34.40%,-,
22,Return on Assets (ROA),-,0.28%,-1.45%,-0.22%,-4.78%,-0.75%,-1.01%,0.50%,-5.22%,0.58%,-1.24%,1.96%,-0.44%,13.93%,-,-,-,
23,Return on Capital (ROIC),2.70%,0.34%,-1.73%,-0.26%,-5.77%,-0.90%,-1.23%,0.61%,-6.39%,0.71%,-1.51%,2.42%,-0.62%,24.86%,23.78%,21.02%,-,
24,Return on Capital Employed (ROCE),-,-,-2.74%,-,-,-,-,-,-2.40%,-,0.44%,-,6.22%,-,18.78%,12.15%,-,-
25,Earnings Yield,0.38%,0.45%,0.10%,0.15%,0.09%,0.12%,-0.02%,0.01%,0.14%,1.04%,1.74%,2.74%,3.14%,2.56%,-,-,-,-
26,FCF Yield,-,-2.42%,-2.45%,-2.37%,-1.95%,-2.64%,-3.17%,-2.63%,-3.42%,4.69%,2.66%,2.85%,3.45%,-,-,-,-,
27,Dividend Yield,0.09%,-,-,0.19%,-,0.04%,-,-,-,0.40%,-,-,-,0.94%,-,-,-,-
28,Payout Ratio,0.00%,-,299.48%,-,-,-,1841.88%,-,-,-,-,564.79%,-,1.41%,0.24%,69.56%,0.18%,85.03%
29,Buyback Yield / Dilution,13.71%,43.97%,-30.24%,14.54%,-3.27%,-78.46%,17.96%,-7.09%,-0.10%,-27.66%,-34.73%,-30.95%,-33.95%,-24.47%,-,-,-,-
30,Total Shareholder Return,13.80%,43.97%,-30.24%,14.73%,-3.27%,-78.42%,17.96%,-7.09%,-0.10%,-27.26%,-34.73%,-30.95%,-33.95%,-23.53%,-,-,-,-
