,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,1036,1091,953.12,2409,1427,1318,1390,2545,3321,3366,3537,3642,634.98,619.07,-,606.53
1,Trading Asset Securities,-,1517,1508,1666,410,1753,1881,1865,800,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2553,2553,2599,2619,2819,3180,3199,3255,3345,3321,3366,3537,3642,634.98,619.07,606.53,606.53
3,Cash Growth,-9.41%,-19.70%,-18.76%,-19.54%,-15.75%,-4.27%,-4.96%,-7.95%,-8.14%,423.09%,443.73%,483.09%,500.47%,-,-,-,-
4,Accounts Receivable,-,714.71,700.09,704.72,707.25,712.98,756.77,796.56,717.04,708.51,711.24,710.38,646.67,939.86,746.47,-,608.75
5,Other Receivables,-,7.84,3.82,2.23,3.15,16.76,12.9,5.29,3.5,5.48,4.06,7.65,3.1,6.76,7.07,-,4.88
6,Receivables,-,722.55,703.91,706.95,710.41,729.73,769.67,801.85,720.55,714,715.3,718.03,649.78,946.62,753.54,-,613.62
7,Inventory,-,311.34,257.54,247.8,259.19,313.65,281.92,237.57,260.28,275.31,245.08,167.49,181.22,255.89,211.04,-,305.42
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,17.82,-,-,-,-,-,-
9,Other Current Assets,-,41.58,87.8,57.86,19.24,21.63,28.54,12.93,17.65,20.98,18.56,24.98,25.24,20.21,31.64,-,22.66
10,Total Current Assets,-,3629,3648,3632,3807,4245,4279,4308,4344,4332,4363,4447,4498,1858,1615,-,1548
11,"Property, Plant & Equipment",-,650.65,645.35,654.71,661.45,641.87,637.09,656.63,652.83,636.62,634.94,642.09,631.09,620.3,619.18,-,596.38
12,Long-Term Investments,-,584.54,580.23,575.98,452.03,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,-,31.67
13,Other Intangible Assets,-,81.23,82.45,83.63,84.67,84.6,85.67,86.07,86.46,88,88.58,91.98,92.54,93.26,94.03,-,95.58
14,Long-Term Deferred Tax Assets,-,35.62,35.23,36.12,36.12,31.88,29.99,31.92,34.88,19.03,19.52,26.49,26.49,22.71,19.75,-,19.45
15,Long-Term Deferred Charges,-,3.34,3.34,3.62,4.52,3.98,4.13,0.1,0.35,-,0.21,0.35,1.12,1.24,0.45,-,0.99
16,Other Long-Term Assets,-,4.43,5.74,4.88,5.46,8.7,11.32,11.26,11.51,15.75,15.42,8.22,10.71,19.17,15.95,-,18.78
17,Total Assets,-,4989,5000,4991,5052,5047,5079,5125,5162,5123,5153,5248,5292,2646,2396,-,2311
18,Accounts Payable,-,282.99,258.02,261.27,306.54,330.31,332.18,370.07,420.72,392.64,385.58,333.37,362.45,519.41,420.1,-,456.41
19,Accrued Expenses,-,21.45,26.9,5.76,16.06,13.51,23.79,13.55,29.25,13.47,21.76,14.24,58.78,59.66,50.27,-,51.65
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,-,25
21,Current Portion of Leases,-,1.58,1.56,-,1.53,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,-,-,8.76,11.69,8.73,6.81,0.53,13.29,5.49,-5.48,13.49,53.16,57.39,62.02,43.12,-,35.29
23,Current Unearned Revenue,-,55.37,57.14,57.64,58.16,18.82,19.86,19.73,8.48,5.62,6.63,10.32,45.5,36.58,40.2,-,31.58
24,Other Current Liabilities,-,80.88,86.58,95.45,104.82,88.84,103.02,89.76,90.62,72.65,73.6,89.2,85.89,42.73,38.66,-,92.79
25,Total Current Liabilities,-,442.27,438.96,431.8,495.85,458.28,479.38,506.41,554.57,478.89,501.06,500.28,610,750.39,622.35,-,692.72
26,Long-Term Leases,-,0.8,1.26,3.15,2.4,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,-,327.28,337.62,341.08,352.54,359.36,370.6,375.21,386.13,397.21,409.18,407.63,417.82,427.36,424.65,-,432.8
28,Long-Term Deferred Tax Liabilities,-,18.93,18.59,20.01,20.01,21.44,22.06,22.66,22.66,15.88,16.24,18.77,18.77,13.39,14.02,-,15.31
29,Other Long-Term Liabilities,-,10.26,-,10.51,0.09,10.76,0.31,10.99,0.58,11.24,0.84,11.53,1.13,1.31,1.38,-,1.68
