,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,269.4,103.85,116.81,121.34,200.88,85.6,85.46,191.85,85.14,106.01,115.78,227.34,249.7,403.93,319.27,287.8,320.44
1,Other Revenue,-,-1.96,1.96,-,8.96,-2.09,2.09,-,51.4,-,-,-,14.54,-9.06,9.06,-,0.61
2,Revenue,269.4,101.89,118.77,121.34,209.84,83.51,87.55,191.85,136.55,106.01,115.78,227.34,264.24,394.87,328.34,287.8,321.04
3,Revenue Growth (YoY),28.38%,22.01%,35.66%,-36.75%,53.67%,-21.23%,-24.38%,-15.61%,-48.32%,-73.15%,-64.74%,-21.00%,-17.69%,-,-,-,-
4,Cost of Revenue,-282.94,91.06,96.41,95.47,193.77,74.5,82.96,151.57,135.08,86.76,88.4,157.06,185.18,205.34,175.51,171.45,270.67
5,Gross Profit,552.34,10.83,22.36,25.87,16.07,9.01,4.6,40.28,1.47,19.25,27.37,70.29,79.06,189.53,152.83,116.35,50.37
6,"Selling, General & Admin",-85.33,26.09,31.2,28.03,31.77,32.55,25.42,25.63,49.14,28.83,19.32,22.37,57.59,30.48,22.8,25,30.31
7,Research & Development,-41.05,13.07,13.61,14.37,18.18,11.61,8.73,13.23,18.14,13.55,17.6,17.1,23.19,14.68,13.13,7.93,3.52
8,Other Operating Expenses,630.96,-33.99,9.06,-12.11,49.75,-19.77,-10.51,-8.86,37.14,-34.55,12.63,-10.55,-24.19,-5.76,-3.04,-16.06,17.73
9,Operating Expenses,507,5.21,51.43,30.29,112.68,24.19,25.23,29.99,108.92,7.27,53.09,28.92,86.13,49,32.19,16.87,54.96
10,Operating Income,45.34,5.63,-29.07,-4.42,-96.61,-15.18,-20.64,10.28,-107.44,11.98,-25.72,41.36,-7.07,140.53,120.64,99.48,-4.59
11,Interest Expense,-27.74,-0.03,-0.04,-0.04,-0.12,-,-,-,-,-0.07,-0.07,-,-0.16,-0.28,-0.18,-0.15,-0.28
12,Interest & Investment Income,0.11,8.36,10.64,8.74,27.25,28.74,9.23,7.53,22.74,14.04,15.7,14.35,10.3,8.04,3.38,0.71,1.04
