,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,256.84,301.91,460.19,451.82,367.72,361.91,558.69,196.51,222.24,201.37,301.8,239.3,203.94,97.84,104.47,188.12,-,-,-
1,Trading Asset Securities,160.14,-,-,60.06,60.15,60.2,-,-,-,-,-,50.09,50,-,-,-,-,-,-
2,Accounts Receivable,210.67,248.78,269.88,258.62,209.01,216.94,188.26,199.29,163.01,174.98,157.32,185.48,149.01,125.13,107.18,145.39,-,-,-
3,Other Receivables,0.35,0.68,0.23,0.13,0.2,5.4,0.07,0.1,0.21,0.19,5.62,10.92,0.05,0.1,0.1,0.18,-,-,-
4,Inventory,37.14,98.29,66.59,73.51,42.07,37.07,88.48,106.91,80.12,85.49,43.44,40.61,44.24,48.47,36.64,33,-,-,-
5,Other Current Assets,76.61,17.54,13.39,19.47,92.75,42.24,21.21,16.22,18.62,14.29,51.87,54.78,127.67,32.89,65.3,9.23,-,-,-
6,Total Current Assets,741.75,667.2,810.27,863.61,771.89,723.77,856.72,519.03,484.2,476.31,560.06,581.18,574.91,304.44,313.69,375.92,-,-,-
7,"Property, Plant & Equipment",991.9,993.27,790.95,809.91,744.17,761.9,717.92,719.85,689.92,681.06,691.89,686.56,661.27,558.1,562.04,449.93,-,-,-
8,Other Intangible Assets,67.14,68.05,51.81,52.64,53.26,54.08,54.9,55.68,56.56,56,56.93,57.87,55.5,34.8,35.34,35.89,-,-,-
9,Long-Term Deferred Tax Assets,14.03,14.06,13.78,13.02,10.9,11.04,10.06,10.75,3.76,4.34,4.09,4.51,4.5,4.91,5.01,5.95,-,-,-
10,Long-Term Deferred Charges,6.78,7.24,7.7,8.14,8.55,8.52,8.98,7.6,-,5.41,4.67,4.06,4.25,1.49,1.46,1.4,-,-,-
11,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,10.66,10.44,10.23,10.02,-,-,-
12,Other Long-Term Assets,1.16,3.4,54.46,3.54,45.23,22.79,38.05,37.28,49.48,30.66,16.49,30.53,23.19,47.51,27.84,67.34,-,-,-
13,Total Assets,1823,1753,1729,1751,1634,1582,1687,1350,1284,1254,1334,1365,1334,961.7,955.62,946.45,-,-,-
14,Accounts Payable,95.13,82.33,36.26,55.79,40.94,40.03,31.88,45.01,36.02,30.79,33.31,71.91,33.26,15.41,44.29,25.77,-,-,-
15,Accrued Expenses,10.62,11.22,4.27,19.3,9.01,10.32,3.63,25.9,7.81,7.84,3.3,12.81,6.71,6.44,5.51,11.11,-,-,-
16,Short-Term Debt,20.02,20.02,20.02,18.02,18.02,15.01,107.11,107.72,102.51,102.31,102.13,102.79,114.58,104.36,104.14,154.18,-,-,-
17,Current Unearned Revenue,4.39,4.96,5.66,4.35,4.54,5.5,6.37,4.38,5.37,4.29,4.66,5.19,5.52,5.76,4.76,4.98,-,-,-
