,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3136,2892,2896,3196,3680,3560,4305,3460,3436,3360,3624,4069,5110,5098,-,-,-,-,-,-
1,Market Cap Growth,-18.77%,-18.77%,-32.74%,-7.63%,7.12%,5.96%,18.78%,-14.96%,-32.76%,-34.09%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3098,2944,2785,3028,3591,3470,4175,3353,3329,3271,3431,3894,5024,5268,-,-,-,-,-,-
3,PE Ratio,21.21,18.84,17.20,19.51,24.76,33.52,47.45,34.24,29.64,26.06,29.15,34.27,44.95,40.09,-,-,-,-,-,-
4,PS Ratio,3.44,3.14,3.07,3.26,3.85,3.70,4.58,3.65,3.56,3.58,3.94,4.84,6.63,7.29,-,-,-,-,-,-
5,PB Ratio,2.46,2.26,2.31,2.49,2.92,2.98,3.72,2.93,3.07,3.06,3.39,3.49,4.48,4.61,-,-,-,-,-,-
6,P/FCF Ratio,85.74,79.06,-,-,32.31,2768.89,256.73,170.16,-,28.52,-47.91,-38.87,-34.94,-,-,-,-,-,-,-
7,P/OCF Ratio,8.80,8.80,13.03,14.23,15.96,30.73,28.86,25.99,-,12.00,22.39,23.70,44.48,-,-,-,-,-,-,-
8,EV/Sales Ratio,3.36,3.20,2.95,3.09,3.76,3.60,4.44,3.54,3.45,3.48,3.73,4.63,6.52,7.53,-,-,-,-,-,-
9,EV/EBITDA Ratio,12.42,11.49,10.31,11.74,15.08,15.79,22.88,17.84,16.45,17.93,18.97,21.72,29.42,24.89,-,-,-,-,-,-
10,EV/EBIT Ratio,17.26,16.27,14.32,16.31,21.71,23.67,36.24,27.88,23.68,25.84,27.06,29.24,39.65,31.29,-,-,-,-,-,-
11,EV/FCF Ratio,84.69,80.49,-,-,31.53,2698.89,249.00,164.88,-,27.77,-45.35,-37.21,-34.35,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.36,0.11,0.10,0.10,0.09,0.10,0.15,0.41,0.45,0.49,-,-,0.33
13,Debt / EBITDA Ratio,1.51,1.61,1.19,1.71,1.17,1.16,1.33,3.40,0.54,0.80,0.42,0.59,0.83,1.26,1.02,1.85,0.96,-,-,0.86
14,Debt / FCF Ratio,10.28,10.28,-,-,2.99,260.67,19.56,20.88,-,0.96,-1.48,-1.04,-0.79,-,92.12,-,-22.10,-,-,-
15,Quick Ratio,3.90,3.90,3.94,8.48,5.47,6.53,7.27,4.59,2.03,2.26,2.25,2.77,2.18,2.07,1.31,1.08,1.42,-,-,-
16,Current Ratio,4.61,4.61,4.77,9.41,6.13,7.92,8.16,5.27,2.66,2.84,2.85,3.34,2.61,2.95,1.79,1.59,1.60,-,-,-
17,Asset Turnover,0.46,0.51,0.50,0.64,0.57,0.64,0.51,0.85,0.65,0.83,0.63,0.76,0.64,0.79,0.60,-,-,-,-,
18,Return on Equity (ROE),7.80%,12.33%,7.87%,20.65%,13.34%,11.81%,3.46%,7.71%,8.92%,16.16%,8.71%,12.30%,8.91%,24.95%,13.29%,-,-,-,-,
19,Return on Assets (ROA),5.66%,7.51%,4.75%,8.14%,8.39%,6.66%,2.11%,6.88%,4.45%,9.38%,6.15%,4.11%,4.97%,14.33%,7.02%,-,-,-,-,
20,Return on Capital (ROIC),6.22%,8.08%,5.11%,8.80%,8.95%,7.04%,2.26%,7.40%,4.73%,9.89%,6.56%,4.39%,5.20%,15.18%,7.52%,-,-,-,-,
21,Return on Capital Employed (ROCE),10.80%,10.89%,12.05%,11.30%,10.28%,9.54%,7.71%,7.89%,12.17%,11.37%,11.67%,11.42%,11.10%,14.78%,24.95%,23.93%,27.25%,-,-,-
22,Earnings Yield,4.90%,5.31%,5.82%,5.13%,4.04%,2.98%,2.11%,2.92%,3.37%,3.84%,3.43%,2.92%,2.22%,2.49%,-,-,-,-,-,-
23,Earnings Yield,4.90%,5.31%,5.82%,5.13%,4.04%,2.98%,2.11%,2.92%,3.37%,3.84%,3.43%,2.92%,2.22%,2.49%,-,-,-,-,-,-
24,FCF Yield,1.17%,1.26%,-1.88%,1.85%,3.09%,0.04%,0.39%,0.59%,0.93%,3.51%,-2.09%,-2.57%,-2.86%,-3.88%,-,-,-,-,-,-
25,Dividend Yield,2.43%,-,-,-,2.01%,-,-,-,1.82%,-,-,-,2.97%,-,-,-,-,-,-,-
26,Payout Ratio,48.16%,1.02%,183.54%,4.98%,0.20%,0.36%,173.43%,15.99%,6.58%,3.06%,312.01%,4.52%,3.80%,8.87%,5.44%,11.83%,7.05%,3.99%,133.46%,133.46%
27,Buyback Yield / Dilution,-2.12%,-5.25%,19.21%,-24.47%,-5.42%,2.18%,-32.06%,18.61%,-7.85%,1.42%,-23.68%,-25.06%,-21.55%,-31.97%,10.93%,-1.68%,-,-,-,-
28,Total Shareholder Return,0.30%,-5.25%,19.21%,-24.47%,-3.41%,2.18%,-32.06%,18.61%,-6.03%,1.42%,-23.68%,-25.06%,-18.58%,-31.97%,10.93%,-1.68%,-,-,-,-
