,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,206.55,223.27,218.79,270.47,229.31,259.52,194.3,263.52,207.48,265.5,211.7,249.24,188.22,186.07,141.51,176.44,147.92,119.78,119.78
1,Other Revenue,-0.89,0.89,-,2.13,-1.24,1.24,-,16.79,-2.34,2.34,-,5.81,-3.31,3.31,-,7.07,-2.8,1.4,1.4
2,Revenue,205.66,224.16,218.79,272.6,228.07,260.76,194.3,280.32,205.13,267.85,211.7,255.05,184.92,189.37,141.51,183.5,145.12,121.18,121.18
3,Revenue Growth (YoY),-9.83%,-14.03%,12.61%,-2.75%,11.18%,-2.65%,-8.22%,9.91%,10.93%,41.44%,49.60%,38.99%,27.43%,56.27%,16.77%,-,-,-,-
4,"Selling, General & Admin",9.73,8.9,11.06,10.57,9.05,8.68,8.31,9.56,8.62,7.15,8.02,8.84,11.72,7.3,8.83,9.81,8.44,8.6,8.6
5,Provision for Bad Debts,-0.81,-0.09,-1.98,2.4,-1.27,3.73,-0.79,2.07,-0.4,-0.28,-1.27,1.86,0.57,-0.77,-,1.63,0.11,-0.74,-0.74
6,Other Operating Expenses,149.77,157.49,163.83,192.74,164.86,202.56,170.89,229.92,171.98,208.81,167.8,221.75,149.79,127.87,105.99,108.18,84.59,74.26,74.26
7,Total Operating Expenses,165.15,171.84,185.74,217.49,174.1,217.23,181.46,244.08,182.52,219.3,178.51,232.84,162.08,134.41,114.82,119.62,93.15,82.12,82.12
8,Operating Income,40.51,52.32,33.05,55.11,53.97,43.52,12.84,36.24,22.61,48.55,33.19,22.21,22.83,54.97,26.69,63.89,51.96,39.07,39.07
9,Interest Expense,-5.28,-5.12,-5.12,-2.89,-2.34,-2.93,-0.94,-0.94,-0.94,-0.92,-1.01,-2.46,0.72,-2.92,-1.33,-5.64,1.91,-2.6,-2.6
10,Interest Income,1.16,1.56,3.66,1.7,2.87,2.31,1.55,1.19,1.17,1.73,1.84,1.75,1.89,0.91,0.96,2.73,-,1.42,1.42
11,Net Interest Expense,-4.12,-3.57,-1.45,-1.19,0.53,-0.61,0.61,0.25,0.23,0.81,0.83,-0.7,2.61,-2,-0.37,-2.91,1.91,-1.18,-1.18
12,Other Non-Operating Income (Expenses),0.02,-0.06,-0.01,-0,-1.82,0.05,-0.01,-17.91,7.34,10.83,-0.26,-1.53,0.75,0.98,-0.73,-5.87,-1.92,3.85,3.85
13,EBT Excluding Unusual Items,36.41,48.69,31.59,53.91,52.68,42.96,13.45,18.57,30.18,60.18,33.75,19.97,26.2,53.95,25.59,55.1,51.95,41.73,41.73
14,Gain (Loss) on Sale of Investments,0.14,-,-,-0.09,-0.05,0.2,-,-,-,-,-,0.09,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-1.26,-,-,0.04,-0,0,-,-,-,-,-,-0.06,-,-,-,-,0,-0.03,-0.03
16,Asset Writedown,0.03,-0.03,0.03,-0.03,-,-,-,-,-,-,-,-,-,-1.14,1.14,-0,-,-,-
17,Other Unusual Items,-0.75,0.91,1.47,29.57,-0.06,0.06,-,0.17,0.04,-0.04,-,26.14,0,-0,-,8.79,0.01,-0,-0
18,Pretax Income,34.58,49.57,33.09,83.41,52.58,43.22,13.45,18.74,30.23,60.14,33.75,46.14,26.2,52.8,26.73,63.89,51.97,41.7,41.7
19,Income Tax Expense,9.91,10.47,8.04,20,13.33,8.69,3.5,-2.63,6.08,15,8.67,11.63,6.61,13.28,6.67,15.9,5.08,10.46,10.46
20,Earnings From Continuing Ops.,24.67,39.1,25.05,63.41,39.25,34.53,9.95,21.37,24.15,45.14,25.09,34.51,19.59,39.52,20.06,47.99,46.88,31.23,31.23
21,Minority Interest in Earnings,0.12,0.29,0.37,0.52,0.41,0.29,0.26,0.15,0.03,-,-,-,-,-,-,-,-,-,-
22,Net Income,24.79,39.39,25.42,63.93,39.66,34.82,10.21,21.52,24.18,45.14,25.09,34.51,19.59,39.52,20.06,47.99,46.88,31.23,31.23
23,Net Income to Common,24.79,39.39,25.42,63.93,39.66,34.82,10.21,21.52,24.18,45.14,25.09,34.51,19.59,39.52,20.06,47.99,46.88,31.23,31.23
24,Net Income Growth,-37.50%,13.12%,148.94%,197.14%,64.00%,-22.87%,-59.30%,-37.65%,23.42%,14.21%,25.06%,-28.08%,-58.21%,26.54%,-35.78%,-,-,-,-
25,Shares Outstanding (Basic),412,386,424,397,391,478,340,419,400,362,418,388,406,293,334,320,307,329,329
26,Shares Outstanding (Diluted),412,386,424,442,391,478,340,419,400,362,418,388,406,293,334,320,307,329,329
27,Shares Change (YoY),5.25%,-19.21%,24.47%,5.42%,-2.18%,32.06%,-18.61%,7.85%,-1.42%,23.68%,25.06%,21.55%,31.97%,-10.93%,1.68%,-,-,-,-
28,EPS (Basic),0.06,0.10,0.06,0.16,0.10,0.07,0.03,0.05,0.06,0.12,0.06,0.09,0.05,0.13,0.06,0.15,0.15,0.10,0.10
29,EPS (Diluted),0.06,0.10,0.06,0.14,0.10,0.07,0.03,0.05,0.06,0.12,0.06,0.09,0.05,0.13,0.06,0.15,0.15,0.10,0.10
30,EPS Growth,-40.62%,40.03%,100.00%,181.87%,67.65%,-41.60%,-50.00%,-42.19%,25.19%,-7.65%,0%,-40.83%,-68.33%,42.06%,-36.84%,-,-,-,-
31,Free Cash Flow,94.4,-85.75,-52.97,80.9,3.51,27.67,1.82,-31.71,18.99,31.23,13.52,54.05,-174.45,2.22,-28.07,2.42,26.34,-20.96,-20.96
