,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1277,1834,1739,1842,1873,2002,2878,3502,4629,4307,3562
1,Market Cap Growth,-0.43%,-0.43%,-7.18%,-8.00%,-34.91%,-42.82%,-37.83%,-18.69%,29.94%,-,-
2,Enterprise Value,1583,2069,1828,1768,1744,1617,2288,2530,3506,3016,3386
3,Last Close Price,1.17,1.68,1.68,1.78,1.81,1.99,2.86,3.48,4.60,4.28,3.54
4,PS Ratio,851.79,851.79,359.34,337.99,410.95,50.11,87.95,-,305.45,-,-
5,PB Ratio,4.29,6.16,5.34,4.20,3.25,3.01,3.45,3.62,3.95,3.55,2.81
6,P/TBV Ratio,6.19,6.19,5.37,4.22,3.27,3.02,3.46,3.62,3.95,3.55,2.81
7,EV/Sales Ratio,960.91,960.91,-,324.47,-,40.46,69.93,-,231.33,-,-
8,Debt / Equity Ratio,1.73,1.73,1.53,0.99,0.70,0.52,0.40,0.25,0.10,0.08,0.05
9,Earnings Yield,-16.79%,-11.70%,-15.40%,-16.10%,-17.15%,-18.58%,-12.29%,-5.36%,-3.15%,-7.92%,-8.68%
10,FCF Yield,-17.82%,-12.41%,-15.03%,-19.42%,-24.94%,-23.12%,-14.73%,-10.02%,-5.58%,-7.60%,-8.32%
11,Buyback Yield / Dilution,-3.77%,-5.26%,-2.26%,-3.02%,-0.78%,1.36%,1.81%,0.45%,-15.10%,-25.92%,-
12,Total Shareholder Return,-3.77%,-5.26%,-2.26%,-3.02%,-0.78%,1.36%,1.81%,0.45%,-15.10%,-25.92%,-
