,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,284.1,370.88,437.33,410.09,591.3,597.82,468.97,456.42,614.35,292.6,-,153.49,-,-,-,259.41,259.41
1,Trading Asset Securities,64.79,67.02,3.1,2.34,2.01,2.66,4.76,4.9,3,15,-,10.95,-,-,-,-,-
2,Cash & Short-Term Investments,348.89,437.9,440.43,412.43,593.31,600.48,473.73,461.32,617.35,307.6,164.45,164.45,-,-,247.24,259.41,259.41
3,Cash Growth,-41.20%,-27.08%,-7.03%,-10.60%,-3.89%,95.21%,188.08%,180.53%,-,-,-33.49%,-36.61%,-,-,-,-,-
4,Accounts Receivable,131.5,258.71,206.57,100.09,73.44,216.64,192.36,70.31,162.44,189.26,-,125.18,-,-,-,92.09,92.09
5,Other Receivables,9.8,4.58,4.23,2.69,3.19,4.06,1.56,2.88,3.47,5.6,-,2.42,-,-,-,4.31,4.31
6,Receivables,141.3,263.29,210.79,102.78,76.62,220.7,193.92,73.18,165.91,194.86,-,127.6,-,-,-,96.39,96.39
7,Inventory,375.74,344.21,293.33,286.23,249.7,270.61,302.08,329.17,329.67,339.88,-,378.57,-,-,-,146.53,146.53
8,Other Current Assets,74.83,70.5,68.86,50.43,48.87,23.17,34.53,43.8,90.29,57.85,-,87.03,-,-,-,21.32,21.32
9,Total Current Assets,940.77,1116,1013,851.88,968.51,1115,1004,907.47,1203,900.18,-,757.64,-,-,-,523.66,523.66
10,"Property, Plant & Equipment",451.27,385.52,388.72,393.52,379.48,381.68,375.01,371.18,323.03,334.34,-,301.54,-,-,-,159.6,159.6
11,Long-Term Investments,6.02,6.04,5.98,5.93,6.65,6.7,7.78,6.66,6.52,6.61,-,5.68,-,-,-,24.3,24.3
12,Other Intangible Assets,72.13,71.52,72.38,72.51,67.03,67.74,68.97,69.2,61.79,61.92,-,63.74,-,-,-,40.65,40.65
13,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,0.12,-,-,-,-,-
14,Long-Term Deferred Tax Assets,40.65,28.09,27.07,23.62,22.55,24.53,19.56,18.02,19.78,12.94,-,12.3,-,-,-,8.69,8.69
15,Long-Term Deferred Charges,5.96,2.67,2.04,2.23,2.82,2.88,2.08,2.32,1.52,1.04,-,1.57,-,-,-,2.06,2.06
16,Other Long-Term Assets,9.05,11.22,2.76,3.23,15.23,14.85,14.38,14.87,22.59,23.5,-,29.91,-,-,-,9.45,9.45
17,Total Assets,1526,1621,1512,1353,1462,1613,1492,1390,1638,1341,-,1173,-,-,-,768.39,768.39
18,Accounts Payable,289.36,420.81,260.47,163.42,227.96,269.7,235.86,166.1,400.87,521.35,-,372.93,-,-,-,238.97,238.97
19,Accrued Expenses,18.88,24.84,22.33,35.93,15.99,23.76,18.96,41.73,16.78,15.56,-,44.46,-,-,-,14.41,14.41
20,Short-Term Debt,-,-,50,-,30.33,124,64.37,13.95,27.56,-,-,30.04,-,-,-,-,-
21,Current Portion of Leases,10.09,3.43,2.46,3.74,1.95,3.06,0.89,1.38,1.25,1.87,-,1.78,-,-,-,-,-
22,Current Income Taxes Payable,5.58,1.04,4.97,0.01,9.05,6.79,0.64,0.91,5.9,19.44,-,3.84,-,-,-,8.78,8.78
23,Current Unearned Revenue,10.02,6.07,13.86,17.94,15.12,10.35,9.24,14.14,15.88,19.82,-,26.11,-,-,-,-,-
24,Other Current Liabilities,3.56,7.26,12.04,6.69,14.06,18.57,13.66,23.17,50.34,12.71,-,3.92,-,-,-,17.91,17.91
25,Total Current Liabilities,337.49,463.46,366.14,227.73,314.48,456.24,343.61,261.39,518.59,590.76,-,483.09,-,-,-,280.07,280.07
26,Long-Term Leases,43.54,7.13,8.88,8.43,10.78,10.6,7.94,7.55,0.11,0.67,-,1.73,-,-,-,-,-
27,Long-Term Unearned Revenue,23.07,18.83,19.63,18.35,19.12,19.84,18.53,19.25,19.49,14.15,-,14.76,-,-,-,5.13,5.13
28,Long-Term Deferred Tax Liabilities,-,-,-,-,0.37,0.4,0.65,0.72,0.68,0.07,-,2.4,-,-,-,-,-
29,Other Long-Term Liabilities,8.07,7.8,7.91,7.91,7.55,7.55,7.18,7.55,9.2,8.84,-,7.96,-,-,-,30.29,30.29
30,Total Liabilities,412.18,497.21,402.56,262.43,352.29,494.64,377.91,296.46,548.07,614.49,-,509.94,-,-,-,315.5,315.5
31,Common Stock,110,110,110,110,110,110,110,110,110,82.5,-,82.5,-,-,-,82.5,82.5
32,Additional Paid-In Capital,541.25,541.25,541.25,541.25,547.37,547.37,550.72,550.72,550.72,203.28,-,203.28,-,-,-,209.53,209.53
33,Retained Earnings,466.41,477.58,463.74,442.49,459.42,467.44,457.71,436.59,431.57,441.15,-,377.4,-,-,-,160.33,160.33
34,Comprehensive Income & Other,-4.42,-5.53,-5.64,-3.76,-2.65,-2.77,-0.41,-1.64,-1,-0.79,-,-0.03,-,-,-,0.03,0.03
35,Total Common Equity,1113,1123,1109,1090,1114,1122,1118,1096,1091,726.14,663.14,663.14,-,-,555.03,452.39,452.39
36,Minority Interest,0.43,0.44,0.44,0.52,-4.17,-3.34,-3.9,-2.4,-0.94,-0.09,-,-0.58,-,-,-,0.51,0.51
37,Shareholders' Equity,1114,1124,1110,1091,1110,1119,1114,1093,1090,726.05,662.57,662.57,-,-,554.38,452.9,452.9
38,Total Liabilities & Equity,1526,1621,1512,1353,1462,1613,1492,1390,1638,1341,-,1173,-,-,-,768.39,768.39
39,Total Debt,53.63,10.57,61.34,12.18,43.06,137.66,73.2,22.88,28.92,2.53,33.54,33.54,-,-,-,-,-
40,Net Cash (Debt),295.26,427.33,379.09,400.25,550.26,462.82,400.53,438.43,588.43,305.07,130.9,130.9,-,-,247.24,259.41,259.41
41,Net Cash Growth,-46.34%,-7.67%,-5.35%,-8.71%,-6.49%,51.71%,205.98%,234.93%,-,-,-47.05%,-49.54%,-,-,-,-,-
42,Net Cash Per Share,2.74,3.97,3.39,3.25,5.13,4.11,3.72,4.35,6.37,3.64,1.60,1.56,-,-,2.99,3.15,3.15
43,Filing Date Shares Outstanding,110,110,110,110,110,110,110,110,110,82.5,81.68,82.5,81.88,82.06,82.67,82.35,82.35
44,Total Common Shares Outstanding,110,110,110,110,110,110,110,110,110,82.5,81.68,82.5,81.88,82.06,82.67,82.35,82.35
45,Working Capital,603.27,652.44,647.27,624.15,654.03,658.72,660.64,646.09,684.62,309.42,-,274.55,-,-,-,243.58,243.58
46,Book Value Per Share,10.12,10.21,10.08,9.91,10.13,10.20,10.16,9.96,9.92,8.80,8.04,8.04,-,-,6.73,5.49,5.49
47,Tangible Book Value,1041,1052,1037,1017,1047,1054,1049,1026,1030,664.22,599.41,599.41,-,-,489.22,411.75,411.75
48,Tangible Book Value Per Share,9.46,9.56,9.43,9.25,9.52,9.58,9.54,9.33,9.36,8.05,7.27,7.27,-,-,5.93,5.00,5.00
49,Buildings,-,28.08,-,286.46,-,263.8,-,262.15,-,-,-,250.21,-,-,-,193.92,193.92
50,Machinery,-,604.19,-,335.39,-,289.15,-,268.93,-,-,-,195.07,-,-,-,122.63,122.63
51,Construction In Progress,-,77.75,-,68.68,-,104.75,-,99.7,-,-,-,86.92,-,-,-,11.62,11.62
