,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Operating Revenue,270.41,353.53,357.75,142.95,199.75,335.66,351.49,198.91,270.41,450.47,388.02,220.38,305.59,386.33,316.89,258.41,258.41
1,Other Revenue,-44.05,44.05,-,61.28,-32.93,32.93,-,74.36,-43.61,43.61,-,80.23,-39.36,21.29,19.68,-,-
2,Revenue,226.36,397.59,357.75,204.22,166.82,368.59,351.49,273.27,226.8,494.08,388.02,300.61,266.23,407.63,336.57,258.41,258.41
3,Revenue Growth (YoY),35.69%,7.87%,1.78%,-25.27%,-26.45%,-25.40%,-9.41%,-9.09%,-14.81%,21.21%,15.29%,16.33%,3.02%,-,-,-,-
4,Cost of Revenue,174.02,282.73,264.9,173.79,113.62,273.39,265.43,211.31,173.58,382.49,329.26,246.61,222.46,316.76,263.34,180.59,180.59
5,Gross Profit,52.34,114.85,92.84,30.44,53.2,95.2,86.06,61.96,53.22,111.59,58.76,54,43.77,90.86,73.22,77.82,77.82
6,"Selling, General & Admin",75.39,69.39,49.69,58.55,48.06,57.25,46.71,59.91,32.94,48.56,24.47,38.76,15.84,24.18,23.85,29.2,29.2
7,Research & Development,8.51,13.43,12.09,6.59,12.4,15,11.38,11.71,13.66,14.54,9.53,8.6,13.06,11.53,9.59,-,-
8,Other Operating Expenses,0.75,3.7,-0.15,8.8,0.34,-1.58,2.07,9.58,-1.78,-1.59,-4.15,6.88,-1.14,1.12,0.47,2.72,2.72
9,Operating Expenses,78.06,89.51,61.46,77.5,44.89,85.4,60.46,73.36,39.79,58.9,40.14,53.89,20.72,43.39,40.05,31.92,31.92
10,Operating Income,-25.73,25.34,31.38,-47.06,8.31,9.8,25.6,-11.4,13.43,52.69,18.62,0.11,23.04,47.47,33.18,45.9,45.9
11,Interest Expense,-1.17,-0.42,-0.89,-0.53,-0.75,-1.15,-0.33,-0.56,-0.05,-0.74,-0.55,-0.9,-0.16,-0.28,-0.14,-,-
12,Interest & Investment Income,2.12,3,3.18,6.09,4.91,3.01,5.18,2.84,1.4,-,0.66,-,7.52,2.83,2.06,0.49,0.49
13,Currency Exchange Gain (Loss),-2.19,2.19,-,9.73,-17.1,17.1,-,32.86,-26.05,26.05,-,-9.9,-,-,-,-1.78,-1.78
14,Other Non Operating Income (Expenses),-0.42,-0.61,-0.39,-9.47,9,4.82,-6.35,-38.73,38.39,-0.27,-0.36,3.16,-0.04,-4.39,-1.9,-0.12,-0.12
15,EBT Excluding Unusual Items,-27.38,29.5,33.27,-41.24,4.37,33.58,24.09,-15.01,27.11,77.73,18.37,-7.53,30.37,45.63,33.19,44.49,44.49
16,Gain (Loss) on Sale of Investments,4.14,-1.21,-8.99,6.77,-8.92,-18.31,1.44,10.97,-44.05,-28.93,7.27,5.87,1.96,1.25,1.56,-,-
17,Gain (Loss) on Sale of Assets,-0.74,-,-,0.31,0.07,-0.08,0.02,-0.02,0.13,0.11,-0.02,1.28,0.07,0.21,0.1,0,0
