,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,3581,2731,2180,2156,2681,2406,2588,2783,3176,3284,-,-,-,-,-,-,-,-
1,Market Cap Growth,13.53%,13.53%,-15.77%,-22.53%,-15.59%,-26.73%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3286,2304,1802,1602,2126,1940,2184,2194,2586,2978,-,-,-,-,-,-,-,-
3,Last Close Price,32.55,24.83,19.82,19.53,24.28,21.79,23.45,25.10,28.64,29.61,-,-,-,-,-,-,-,-
4,PE Ratio,249.55,-,122.24,138.83,-,-,69.40,43.59,53.65,-,-,-,-,-,-,-,-,-
5,Forward PE,62.60,26.28,20.97,21.99,33.04,21.71,25.58,16.80,20.37,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.09,2.30,1.94,1.96,2.46,2.07,2.12,2.07,2.30,2.33,-,-,-,-,-,-,-,-
7,PB Ratio,3.22,2.45,1.94,1.94,2.46,2.17,2.31,2.50,2.90,3.01,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.62,2.62,2.07,2.08,2.63,2.30,2.45,2.65,3.09,3.19,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,35.31,43.34,-,66.57,-16.01,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,22.66,19.08,-,21.34,-49.97,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.77,1.94,1.60,1.46,1.95,1.67,1.79,1.63,1.87,2.11,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,83.08,-,27.63,33.74,-,26.27,31.17,21.41,-,29.11,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,100.28,661.90,-,60.05,58.36,27.31,-,35.10,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-21.66,-,29.18,32.20,-,53.67,-13.51,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.01,0.06,0.01,0.04,0.12,0.07,0.02,0.03,0.00,0.05,0.05,-,-,-,-,-
16,Debt / EBITDA Ratio,1.36,-,0.06,0.36,-,0.59,1.50,0.51,5.48,0.50,0.01,0.32,0.88,-,-,-,-,-
17,Debt / FCF Ratio,-,-,0.17,1.23,-,1.19,-0.85,-,-,-,0.05,-,-,-,-,-,-,-
18,Asset Turnover,0.58,1.02,1.00,0.58,0.43,0.95,0.98,0.72,0.61,-,-,-,-,-,-,1.35,-,
19,Inventory Turnover,2.86,1.93,3.55,3.66,2.59,1.75,3.82,3.36,2.57,2.07,-,-,-,-,-,-,4.93,-
20,Quick Ratio,1.45,1.45,1.51,1.78,2.26,2.13,1.80,1.94,2.04,1.51,0.85,-,0.60,-,-,-,1.27,1.27
21,Current Ratio,2.79,2.79,2.41,2.77,3.74,3.08,2.44,2.92,3.47,2.32,1.52,-,1.57,-,-,-,1.87,1.87
22,Return on Equity (ROE),-3.99%,7.70%,7.69%,-6.70%,-3.19%,6.01%,7.65%,1.29%,-4.57%,25.67%,10.73%,-,-,-,-,32.68%,-,
23,Return on Assets (ROA),-4.09%,4.04%,5.48%,-8.36%,1.35%,1.58%,4.44%,-1.88%,2.25%,-,-,-,-,-,-,14.93%,-,
24,Return on Capital (ROIC),-5.59%,5.50%,6.90%,-10.43%,1.72%,2.00%,5.56%,-2.55%,3.63%,18.49%,6.69%,-,-,-,-,25.34%,-,
25,Return on Capital Employed (ROCE),-,-,1.55%,0.21%,-,2.81%,3.23%,6.99%,-,7.58%,12.60%,-,15.06%,-,-,-,18.80%,9.40%
26,Earnings Yield,0.41%,0.54%,0.82%,0.72%,0.63%,1.62%,1.44%,2.29%,1.86%,2.34%,-,-,-,-,-,-,-,-
27,FCF Yield,-4.24%,-5.55%,2.83%,2.31%,0.14%,1.50%,-6.25%,-1.85%,-1.88%,-0.59%,-,-,-,-,-,-,-,-
28,Dividend Yield,0.22%,-,-,-,0.29%,-,-,-,0.35%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,63.36%,-,32.57%,3.21%,-,-,61.82%,0.51%,6.75%,-,-,2.64%,0.07%,0.22%,-,-,-,-
30,Buyback Yield / Dilution,-5.20%,-0.50%,4.42%,-3.80%,-22.43%,-16.01%,-34.17%,-31.88%,-20.33%,-12.81%,-2.25%,1.20%,-1.66%,0.57%,-,-,-,-
31,Total Shareholder Return,-4.98%,-0.50%,4.42%,-3.80%,-22.14%,-16.01%,-34.17%,-31.88%,-19.98%,-12.81%,-2.25%,1.20%,-1.66%,0.57%,-,-,-,-
