,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,596.31,550.14,511.62,573.23,491.38,586.32,640.79,547.25,56.6,55.05,Upgrade
1,Other Revenue,-,-,-,-,-,-,-,-,-,-17.27,Upgrade
2,Revenue,596.31,550.14,511.62,573.23,491.38,586.32,640.79,547.25,56.6,37.78,Upgrade
3,Revenue Growth (YoY),16.55%,-4.03%,4.12%,-2.23%,-23.32%,7.14%,1032.08%,1348.64%,-27.17%,-67.09%,Upgrade
4,Cost of Revenue,251.15,222.06,297.58,229.79,129.37,159.5,163.21,151.6,12.6,33.91,Upgrade
5,Gross Profit,345.16,328.08,214.03,343.44,362.01,426.82,477.58,395.66,44,3.86,Upgrade
6,"Selling, General & Admin",88.38,91.83,101.19,80.01,95.94,84.25,102.76,84.06,34.96,51.56,Upgrade
7,Other Operating Expenses,41.89,10.61,71.49,13.96,105.32,20.85,150.15,20.7,8.39,-26.42,Upgrade
8,Operating Expenses,136.89,121.3,181.54,114.59,201.25,117.88,252.91,120.53,43.35,27.41,Upgrade
9,Operating Income,208.28,206.78,32.49,228.85,160.76,308.94,224.68,275.12,0.65,-23.55,Upgrade
10,Interest Expense,-166.59,-197.17,-202.86,-189.33,-182.42,-200.29,-219.04,-182.62,-8.5,-7.73,Upgrade
11,Interest & Investment Income,6.47,2.26,3.81,1.71,3.15,3.96,4.01,4.67,14.96,35.51,Upgrade
12,Earnings From Equity Investments,-5.97,-,-,-,0.09,0.57,0.5,-36.06,-64.44,45.03,Upgrade
13,Currency Exchange Gain (Loss),-1.23,8.55,15.23,-4.27,-,-,-,-,-,-9.44,Upgrade
14,Other Non Operating Income (Expenses),100.35,106.83,135.26,76.58,9.03,123.3,88.69,297.11,-48.69,6.12,Upgrade
15,EBT Excluding Unusual Items,141.31,127.24,-16.08,113.54,-9.38,236.48,98.83,358.22,-106.02,45.94,Upgrade
16,Gain (Loss) on Sale of Investments,-11.79,-10.69,-35.35,-14.2,-140.6,-14.92,60.35,-50.96,4.04,89.41,Upgrade
17,Gain (Loss) on Sale of Assets,-,-1.42,3.56,0.02,31.14,0.88,35.29,1.25,-,-,Upgrade
18,Asset Writedown,-167.28,-610.12,-347.56,-279.81,3.73,-17.67,-133.13,-403.47,-1.3,-30.61,Upgrade
19,Other Unusual Items,-,-,-,-,-,-,18.06,60.79,-,-,Upgrade
20,Pretax Income,-37.77,-494.99,-395.42,-180.45,-115.11,204.77,79.4,-34.18,-103.28,104.74,Upgrade
21,Income Tax Expense,15.38,7.62,16.06,10.65,23.58,22.89,22.67,95.48,0.3,-5.75,Upgrade
22,Earnings From Continuing Operations,-53.15,-502.61,-411.49,-191.1,-138.69,181.88,56.74,-129.66,-103.58,110.49,Upgrade
23,Minority Interest in Earnings,22.84,225.97,32.24,42.35,-8.3,-210.53,-36.2,23.25,-23.05,-23.46,Upgrade
24,Net Income,-30.31,-276.64,-379.25,-148.75,-146.99,-28.65,20.54,-106.41,-126.62,87.03,Upgrade
25,Preferred Dividends & Other Adjustments,0.23,-,0.23,-,0.23,-,0.23,-,0.23,0.45,Upgrade
26,Net Income to Common,-30.54,-276.64,-379.47,-148.75,-147.21,-28.65,20.31,-106.41,-126.85,86.58,Upgrade
27,Shares Outstanding (Basic),636,636,636,636,636,636,636,634,505,451,Upgrade
28,Shares Outstanding (Diluted),636,636,636,636,636,636,1013,634,505,451,Upgrade
29,Shares Change (YoY),-,-,-,-,-37.24%,0.19%,100.56%,40.53%,11.87%,-46.86%,Upgrade
30,EPS (Basic),-0.05,-0.44,-0.60,-0.23,-0.23,-0.05,0.03,-0.17,-0.25,0.19,Upgrade
31,EPS (Diluted),-0.05,-0.44,-0.60,-0.24,-0.23,-0.05,0.02,-0.17,-0.25,0.19,Upgrade
32,Free Cash Flow,175.1,362.56,252.83,794.93,-155.72,362.98,21.49,235.6,-323.99,-270.58,Upgrade
33,Free Cash Flow Per Share,0.28,0.57,0.40,1.25,-0.25,0.57,0.02,0.37,-0.64,-0.60,Upgrade
34,Operating Margin,34.93%,37.59%,6.35%,39.92%,32.72%,52.69%,35.06%,50.27%,1.15%,-62.33%,Upgrade
35,Profit Margin,-5.12%,-50.28%,-74.17%,-25.95%,-29.96%,-4.89%,3.17%,-19.44%,-224.10%,229.19%,Upgrade
36,Free Cash Flow Margin,29.36%,65.90%,49.42%,138.68%,-31.69%,61.91%,3.35%,43.05%,-572.40%,-716.25%,Upgrade
37,EBITDA,214.89,201.01,41.35,224.39,169.06,304.34,232.36,274.04,3.74,-22.19,Upgrade
38,D&A For EBITDA,6.62,-5.77,8.86,-4.46,8.29,-4.6,7.69,-1.09,3.09,1.36,Upgrade
39,EBIT,208.28,206.78,32.49,228.85,160.76,308.94,224.68,275.12,0.65,-23.55,Upgrade
