,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,3958,4617,5630,4435,2959,1413,-
1,Trading Asset Securities,-,-,44.7,12.18,76.1,-,-
2,Cash & Short-Term Investments,3958,4617,5674,4447,3035,1413,-
3,Cash Growth,-30.25%,3.82%,86.94%,214.65%,-,-,-
4,Accounts Receivable,2105,1027,1587,1145,1866,1025,-
5,Other Receivables,704.41,1157,1577,1340,409.58,248.78,-
6,Receivables,2810,2184,3164,2485,2276,1274,-
7,Inventory,2635,2189,1785,1151,1228,974.57,-
8,Other Current Assets,2616,1290,1240,741.96,1020,981.7,-
9,Total Current Assets,12019,10279,11863,8825,7559,4644,-
10,"Property, Plant & Equipment",20325,17654,12454,9749,7483,5874,-
11,Long-Term Investments,1768,1616,1440,640.64,556.56,582.56,-
12,Goodwill,218.04,218.04,218.04,218.04,218.04,218.04,-
13,Other Intangible Assets,267.21,447.08,493.25,516.55,519.03,527.52,-
14,Long-Term Accounts Receivable,-,15.45,-,16.25,-,-,-
15,Long-Term Deferred Tax Assets,110.03,96.67,115.99,66.55,65.78,43.18,-
16,Other Long-Term Assets,175.09,353.68,1562,809.16,717.6,392.19,-
17,Total Assets,34882,30680,28146,20840,17119,12281,-
18,Accounts Payable,1766,1911,1307,1097,1005,728.41,-
19,Accrued Expenses,-,189.29,-,126.43,245.9,150.97,-
20,Short-Term Debt,-,3976,-,2040,2502,1152,-
21,Current Portion of Long-Term Debt,7348,716.06,4601,307.27,79.6,4.38,-
22,Current Portion of Leases,18.62,18.22,9.86,11.85,13.56,8.64,-
23,Current Income Taxes Payable,15.47,71.58,39.34,193.02,188.25,230.55,-
24,Current Unearned Revenue,298.86,313.47,280.05,25.63,152.15,296.92,-
25,Other Current Liabilities,2411,2089,2152,1051,1170,924.77,-
26,Total Current Liabilities,11858,9286,8388,4853,5357,3496,-
27,Long-Term Debt,7723,7817,7035,3885,3902,3596,-
28,Long-Term Leases,42.83,48.49,53.51,47.09,52.69,2.23,-
29,Long-Term Unearned Revenue,4.01,4.01,4.29,4.57,-,-,-
30,Long-Term Deferred Tax Liabilities,29.14,4.03,5.17,4.65,13.42,4.92,-
31,Total Liabilities,19695,17194,15512,8813,9338,7108,-
32,Common Stock,1556,1556,1556,1556,1318,1318,-
33,Additional Paid-In Capital,3807,3807,3807,3807,759.54,759.54,-
34,Retained Earnings,3601,3329,2613,2746,2364,1017,-
35,Comprehensive Income & Other,574.37,494.11,638.44,367.84,234.52,43.76,-
36,Total Common Equity,9538,9186,8615,8476,4676,3138,-
37,Minority Interest,5650,4300,4019,3551,3105,2035,-
38,Shareholders' Equity,15188,13485,12634,12028,7782,5174,-
39,Total Liabilities & Equity,34882,30680,28146,20840,17119,12281,-
40,Total Debt,15132,12576,11699,6291,6550,4762,-
41,Net Cash (Debt),-11174,-7960,-6024,-1845,-3515,-3349,-
42,Net Cash Per Share,-7.18,-5.12,-3.87,-1.36,-2.67,-4.22,-
43,Filing Date Shares Outstanding,1556,1556,1556,1556,1318,650.33,506.19
44,Total Common Shares Outstanding,1556,1556,1556,1556,1318,650.33,506.19
45,Working Capital,161.28,993.28,3474,3971,2202,1147,-
46,Book Value Per Share,6.13,5.90,5.54,5.45,3.55,4.83,-
47,Tangible Book Value,9053,8520,7903,7742,3939,2393,-
48,Tangible Book Value Per Share,5.82,5.48,5.08,4.98,2.99,3.68,-
49,Buildings,-,4262,-,2738,2488,2373,-
50,Machinery,-,6114,-,3534,3243,2995,-
51,Construction In Progress,-,8059,-,4221,2276,887.51,-
52,Leasehold Improvements,-,17.24,-,12.88,4.64,0.73,-
