,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,10878,11775,9284,8311,9978,8361,4088
1,Revenue Growth (YoY),17.17%,41.68%,-6.96%,-0.59%,144.07%,-,-
2,Cost of Revenue,9051,9961,7717,6902,6894,7198,3735
3,Gross Profit,1827,1815,1567,1410,3084,1163,352.89
4,"Selling, General & Admin",553.63,549.71,478.54,364.06,523.36,291.57,133.69
5,Other Operating Expenses,165.72,30.58,175.28,230.15,95.5,79.16,12.78
6,Operating Expenses,723.4,583.66,664.57,589.77,621.4,373.42,148.05
7,Operating Income,1104,1231,902.84,819.87,2463,789.62,204.84
8,Interest Expense,-263.87,-302.38,-232.47,-145.91,-108.52,-53.86,-25.47
9,Interest & Investment Income,-,82.25,-,38.43,-,7.95,6.98
10,Earnings From Equity Investments,123.82,223.14,10.1,9.55,-54.71,151.98,-52.98
11,Currency Exchange Gain (Loss),-77.2,-97.44,-152.54,-47.4,-15.83,45.72,-5.09
12,Other Non Operating Income (Expenses),106.52,-11.17,108.29,117.92,108.78,37.74,49.13
13,EBT Excluding Unusual Items,993.32,1125,636.22,792.45,2393,979.15,177.41
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,31.28,-31.28
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,8.49,-8.49
16,Other Unusual Items,-,-,-,-,-,282.57,-
17,Pretax Income,993.32,1125,636.22,792.45,2393,1301,137.65
18,Income Tax Expense,22.93,65.83,-25.81,53.96,102.9,130.48,48.69
19,Earnings From Continuing Operations,970.38,1059,662.02,738.49,2290,1171,88.96
20,Minority Interest in Earnings,-383.45,-346.49,-323.64,-353.37,-939.5,-157.55,-2.9
21,Net Income,586.93,712.98,338.39,385.12,1350,1013,86.05
22,Net Income to Common,586.93,712.98,338.39,385.12,1350,1013,86.05
23,Net Income Growth,73.45%,85.13%,-74.94%,-62.00%,1468.94%,-,-
24,Shares Outstanding (Basic),1556,1556,1556,1357,1318,794,506
25,Shares Outstanding (Diluted),1556,1556,1556,1357,1318,794,506
26,Shares Change (YoY),-,14.63%,18.07%,70.85%,160.33%,-,-
27,EPS (Basic),0.38,0.46,0.22,0.28,1.02,1.28,0.17
28,EPS (Diluted),0.38,0.46,0.22,0.28,1.02,1.28,0.17
29,EPS Growth,73.45%,61.50%,-78.77%,-77.76%,502.68%,-,-
30,Free Cash Flow,-3363,-798.63,-2833,-1852,-32.78,967.69,-466.32
31,Free Cash Flow Per Share,-2.16,-0.51,-1.82,-1.36,-0.02,1.22,-0.92
32,Operating Margin,10.15%,10.45%,9.72%,9.86%,24.68%,9.44%,5.01%
33,Profit Margin,5.40%,6.05%,3.64%,4.63%,13.53%,12.12%,2.10%
34,Free Cash Flow Margin,-30.92%,-6.78%,-30.52%,-22.28%,-0.33%,11.57%,-11.41%
35,EBITDA,1514,1574,1199,1054,2681,840.6,234.59
36,D&A For EBITDA,410.05,343.38,296.32,234.41,217.92,50.98,29.76
37,EBIT,1104,1231,902.84,819.87,2463,789.62,204.84
