,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,15155,9616,9522,17084,25517,-,-,-
1,Market Cap Growth,-43.72%,-43.72%,-62.68%,-,-,-,-,-
2,Enterprise Value,33232,23122,20375,23184,33272,-,-,-
3,Last Close Price,9.74,6.18,5.92,10.63,15.54,-,-,-
4,PE Ratio,10.85,6.88,8.22,21.85,13.01,-,-,-
5,Forward PE,11.02,3.60,3.84,5.16,-,-,-,-
6,PS Ratio,0.62,0.40,0.41,0.90,1.23,-,-,-
7,PB Ratio,1.48,0.59,0.64,1.25,1.88,-,-,-
8,P/TBV Ratio,0.99,0.99,1.01,2.00,2.92,-,-,-
9,P/OCF Ratio,3.79,-,3.36,34.61,11.29,-,-,-
10,EV/Sales Ratio,1.37,0.95,0.88,1.22,1.61,-,-,-
11,EV/EBITDA Ratio,8.95,6.97,6.67,9.52,7.88,-,-,-
12,EV/EBIT Ratio,11.53,9.22,8.67,12.45,8.97,-,-,-
13,Debt / Equity Ratio,1.00,1.00,0.93,0.93,0.52,0.84,0.92,-
14,Debt / FCF Ratio,-,-,-,-,-,-,9.50,-
15,Return on Capital Employed (ROCE),10.14%,10.14%,9.97%,8.72%,20.53%,27.65%,11.32%,-
16,Earnings Yield,9.22%,14.53%,12.16%,4.58%,7.69%,-,-,-
17,FCF Yield,-29.51%,-46.51%,-42.02%,-29.63%,-8.35%,-,-,-
18,Buyback Yield / Dilution,-6.82%,-,-14.63%,-18.07%,-70.85%,-160.33%,-,-
19,Total Shareholder Return,-4.56%,-,-14.63%,-18.07%,-70.85%,-160.33%,-,-
