,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,102.31,147.95,136.48,197.58,142.95,154.85,156.1,158.77,139.97,188.68,Upgrade
1,Revenue Growth (YoY),-25.04%,-25.12%,-4.53%,27.59%,-8.42%,-2.47%,11.52%,-15.85%,42.37%,50.68%,Upgrade
2,Cost of Revenue,28.04,39.08,37.62,43.77,43.07,39.08,49.22,25.92,57.91,73.75,Upgrade
3,Gross Profit,74.27,108.86,98.87,153.81,99.88,115.77,106.88,132.85,82.06,114.93,Upgrade
4,"Selling, General & Admin",48.71,65.28,62.81,66.03,54.13,63.08,54.43,61.77,41.98,50.6,Upgrade
5,Operating Expenses,48.71,65.28,62.81,66.03,54.13,63.08,54.43,61.77,41.98,50.6,Upgrade
6,Operating Income,25.56,43.59,36.06,87.78,45.75,52.7,52.45,71.08,40.08,64.33,Upgrade
7,Interest Expense,-0.3,-0.05,-0.62,-0.22,-0.78,-1.12,-2.26,-1.09,-1.91,-1.8,Upgrade
8,Interest & Investment Income,2.57,3.98,3.55,2.46,1.2,1.61,1.69,1.42,1.07,0.42,Upgrade
9,Other Non Operating Income (Expenses),0.57,0.23,0.79,9.05,0.58,1.75,1.17,1.46,1.66,-0.02,Upgrade
10,EBT Excluding Unusual Items,28.4,47.74,39.77,99.06,46.75,54.94,53.04,72.87,40.9,62.93,Upgrade
11,Gain (Loss) on Sale of Assets,-,-0.05,-,0.04,0,-,0.02,0.28,0.12,0.05,Upgrade
12,Other Unusual Items,0.66,0.26,-,0.19,-,-,-,-,-,0.03,Upgrade
13,Pretax Income,29.06,47.95,39.77,99.29,46.75,54.94,53.06,73.15,41.01,63.01,Upgrade
14,Income Tax Expense,10.83,16.73,12.59,27.29,13.24,18.64,18.08,21.84,11.03,16.89,Upgrade
15,Earnings From Continuing Operations,18.24,31.22,27.18,72,33.51,36.3,34.98,51.31,29.98,46.12,Upgrade
16,Minority Interest in Earnings,-0.85,0.59,-1.17,-0.5,-0.09,1.44,0.4,-0.04,-0.96,0.8,Upgrade
17,Net Income,17.38,31.81,26.01,71.5,33.42,37.74,35.38,51.27,29.03,46.92,Upgrade
18,Net Income to Common,17.38,31.81,26.01,71.5,33.42,37.74,35.38,51.27,29.03,46.92,Upgrade
19,Net Income Growth,-33.18%,-55.51%,-22.17%,89.44%,-5.54%,-26.38%,21.90%,9.28%,331.55%,493.71%,Upgrade
20,Shares Outstanding (Basic),2221,2221,2221,2221,2221,2221,2221,2210,1481,827,Upgrade
21,Shares Outstanding (Diluted),2221,2221,2221,2221,2221,2221,2221,2210,1481,827,Upgrade
22,Shares Change (YoY),-,-,-,-,-,0.53%,50.02%,167.36%,99.95%,11.61%,Upgrade
23,EPS (Basic),0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.06,Upgrade
24,EPS (Diluted),0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.06,Upgrade
25,EPS Growth,-33.19%,-55.51%,-22.17%,89.44%,-5.54%,-26.77%,-18.74%,-59.13%,115.83%,432.18%,Upgrade
26,Free Cash Flow,12.87,49.29,36.64,124.5,57.98,3,60.69,50.37,51.79,35.08,Upgrade
27,Free Cash Flow Per Share,0.01,0.02,0.02,0.06,0.03,0.00,0.03,0.02,0.03,0.04,Upgrade
28,Dividend Per Share,0.005,0.013,0.008,0.015,0.005,0.009,0.009,0.010,0.008,-,Upgrade
29,Dividend Growth,-37.50%,-13.33%,60.00%,66.67%,-44.44%,-10.00%,12.50%,-,-,-,Upgrade
30,Operating Margin,24.98%,29.46%,26.42%,44.43%,32.00%,34.03%,33.60%,44.77%,28.63%,34.10%,Upgrade
31,Profit Margin,16.99%,21.50%,19.06%,36.19%,23.38%,24.37%,22.67%,32.29%,20.74%,24.87%,Upgrade
32,Free Cash Flow Margin,12.58%,33.31%,26.85%,63.01%,40.56%,1.94%,38.88%,31.72%,37.00%,18.59%,Upgrade
33,EBITDA,34.59,52.94,45.08,97.83,56.21,63.34,63.62,81.68,50.31,76.31,Upgrade
34,D&A For EBITDA,9.03,9.35,9.02,10.05,10.46,10.64,11.17,10.59,10.23,11.98,Upgrade
35,EBIT,25.56,43.59,36.06,87.78,45.75,52.7,52.45,71.08,40.08,64.33,Upgrade
