,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,99,93,78,80,420,445,448,3639,2904,2642,1801,Upgrade
1,Market Cap Growth,16.53%,16.53%,-81.46%,-82.08%,-6.27%,-87.77%,-84.58%,37.72%,61.25%,98.64%,37.61%,Upgrade
2,Enterprise Value,291,268,380,369,589,603,692,3859,3160,2961,1957,Upgrade
3,Last Close Price,0.13,0.12,0.10,0.18,0.96,1.02,1.23,9.98,7.94,7.65,5.26,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,170.50,-,279.33,-,Upgrade
5,PS Ratio,0.19,0.20,0.14,0.25,-,1.25,-,9.78,-,5.29,-,Upgrade
6,PB Ratio,0.10,0.10,0.08,0.08,0.44,0.48,0.47,3.89,3.16,3.40,2.45,Upgrade
7,P/TBV Ratio,0.12,0.12,0.10,0.10,0.54,0.61,0.63,5.32,4.39,5.50,4.47,Upgrade
8,P/FCF Ratio,0.95,0.89,0.86,-,-,-,-,-,-,36.62,-,Upgrade
9,P/OCF Ratio,0.84,0.84,0.80,-,-,-,-,-,-,36.62,-,Upgrade
10,EV/Sales Ratio,0.63,0.58,0.67,1.18,-,1.70,-,10.37,-,5.93,-,Upgrade
11,EV/EBITDA Ratio,8.57,9.33,5.68,7.81,-,16.56,-,101.79,-,80.62,-,Upgrade
12,EV/EBIT Ratio,33.83,-,8.15,9.90,-,23.63,-,157.89,-,126.70,-,Upgrade
13,EV/FCF Ratio,2.78,2.56,4.19,-,-,-,-,-,-,41.03,-,Upgrade
14,Debt / Equity Ratio,0.35,0.35,0.35,0.39,0.39,0.36,0.36,0.39,0.39,0.40,0.46,Upgrade
15,Debt / FCF Ratio,3.18,3.18,3.73,-,-,-,-,-,-,4.35,-,Upgrade
16,Return on Capital Employed (ROCE),0.75%,-,3.96%,3.20%,-,2.16%,-,1.96%,-,2.40%,-,Upgrade
17,Earnings Yield,-52.59%,-56.02%,-40.40%,-4.73%,-,-11.55%,-,0.59%,-,0.36%,-,Upgrade
18,FCF Yield,105.73%,112.61%,116.53%,-10.95%,-,-6.03%,-,-0.17%,-,2.73%,-,Upgrade
19,Buyback Yield / Dilution,-60.49%,-80.00%,-,-2.71%,-,-16.81%,-,-6.39%,-,-31.81%,-,Upgrade
20,Total Shareholder Return,-60.49%,-80.00%,-,-2.71%,-,-16.81%,-,-6.39%,-,-31.81%,-,Upgrade
