,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,351.83,329.75,362.01,353.16,366.09,328.38,348.81,321.76,381.34,352.16,336.54,315.46,297.01,273.59,260.12,38.14,-,91.66,-
1,Cash & Short-Term Investments,351.83,329.75,362.01,353.16,366.09,328.38,348.81,321.76,381.34,352.16,336.54,315.46,297.01,273.59,260.12,38.14,-,91.66,62
2,Cash Growth,-3.89%,0.42%,3.79%,9.76%,-4.00%,-6.75%,3.65%,2.00%,28.40%,28.72%,29.38%,727.21%,-,198.49%,319.57%,-,-,-,-
3,Accounts Receivable,45.46,44.44,35.79,27.83,36.76,35.54,38.7,25.54,34.42,33.44,33.91,19.08,34.08,29.43,27.98,17.89,-,33.69,-
4,Other Receivables,2.56,0,2.25,2.06,2.15,1.74,1.99,1.21,1.83,2.14,2.52,2.42,2.74,0.64,2.64,1.7,-,2.16,-
5,Receivables,48.02,44.44,38.05,29.89,38.91,37.28,40.69,26.75,36.25,35.58,36.43,21.5,36.81,30.07,30.63,19.59,-,35.86,-
6,Inventory,1.55,1.71,0.93,0.5,1.83,1.66,0.66,0.75,0.83,0.18,0.34,0.7,0.52,0.96,0.36,0.3,-,0.98,-
7,Other Current Assets,19.75,12.23,38.54,15.18,19.69,18.11,30.95,18.82,17.5,9.51,19.33,11.98,22.8,17.24,15.02,19.39,-,17.24,-
8,Total Current Assets,421.15,388.14,439.53,398.72,426.52,385.44,421.11,368.08,435.93,397.44,392.65,349.65,357.14,321.85,306.13,77.41,-,145.74,-
9,"Property, Plant & Equipment",650.48,649.24,615.1,629.6,598.86,605.8,605.54,622.95,568.33,564,561.74,571.16,558.08,561.57,569.49,567.78,-,556.23,-
10,Other Intangible Assets,36.09,36.33,36.61,36.77,36.35,36.59,36.88,37.12,37.39,37.65,37.93,38.19,38.27,38.52,38.8,39.08,-,39.32,-
11,Long-Term Deferred Tax Assets,1.26,1.28,1.32,1.32,1.46,1.51,1.58,1.5,1.81,1.8,1.9,1.84,2.02,4.24,2.83,2.83,-,2.08,-
12,Long-Term Deferred Charges,2.95,3.52,4.09,4.67,5.18,5.73,6.03,6.58,7.02,7.65,8.21,8.76,9.33,9.38,9.92,8.6,-,6.61,-
13,Other Long-Term Assets,27.68,28,30.17,31.12,31.43,31.75,32.88,33.2,30.93,31.25,31.57,31.64,34.39,34.72,34.04,34.36,-,50.97,-
14,Total Assets,1140,1107,1127,1102,1100,1067,1104,1069,1081,1040,1034,1001,999.23,970.28,961.21,730.07,-,800.95,-
