,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4063,4187,3601,4063,4097,4858,4937,4348,4026,3828,3986,4507,5235,4850,6336,-,-,-,-,-
1,Market Cap Growth,-13.80%,-13.80%,-27.06%,-6.56%,1.77%,26.90%,23.84%,-3.51%,-23.10%,-21.07%,-37.08%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3761,3907,3285,3743,3777,4574,4632,4009,3687,3517,3692,4251,4980,4622,6142,-,-,-,-,-
3,Last Close Price,15.39,15.86,13.64,15.06,15.19,18.01,18.30,15.85,14.67,13.82,14.39,16.15,18.76,17.38,22.71,-,-,-,-,-
4,PE Ratio,37.81,38.96,33.11,37.41,37.91,44.03,44.05,40.06,37.37,38.41,42.43,48.61,60.09,50.29,70.57,-,-,-,-,-
5,PS Ratio,11.36,11.71,10.17,11.67,11.88,14.14,14.38,12.84,11.94,11.55,12.26,14.11,16.94,15.96,21.78,-,-,-,-,-
6,PB Ratio,4.34,4.29,3.82,4.14,4.31,5.18,5.46,4.59,4.39,4.05,4.38,4.97,5.97,5.57,7.53,-,-,-,-,-
7,P/TBV Ratio,4.66,4.66,4.15,4.47,4.66,5.59,5.91,4.94,4.74,4.37,4.74,5.39,6.48,6.05,8.20,-,-,-,-,-
8,P/FCF Ratio,72.82,75.05,50.66,46.17,-,53.87,60.69,61.64,-,48.25,51.66,38.06,-,35.73,45.72,-,-,-,-,-
9,P/OCF Ratio,22.68,22.68,19.31,21.17,21.75,25.98,26.34,23.36,21.71,23.54,25.77,24.53,29.82,23.77,31.44,-,-,-,-,-
10,EV/Sales Ratio,10.52,10.93,9.28,10.75,10.96,13.31,13.49,11.84,10.94,10.61,11.35,13.31,16.11,15.21,21.11,-,-,-,-,-
11,EV/EBITDA Ratio,20.08,21.29,17.99,20.45,20.62,24.85,24.79,21.82,20.16,19.77,21.62,24.60,29.66,25.28,34.67,-,-,-,-,-
12,EV/EBIT Ratio,32.12,32.82,27.60,31.44,31.46,37.53,37.27,32.99,30.65,30.61,34.50,39.75,49.20,40.03,55.94,-,-,-,-,-
13,EV/FCF Ratio,67.41,70.02,46.21,42.53,-,50.72,56.94,56.83,-,44.33,47.84,35.90,-,34.05,44.32,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.05,-,0.13,0.08
15,Debt / EBITDA Ratio,0.05,0.05,0.05,0.05,0.11,0.06,0.05,0.06,0.08,0.04,0.04,0.05,0.11,0.05,0.07,0.21,0.22,-,0.43,0.61
16,Debt / FCF Ratio,0.18,0.18,0.14,0.12,-,0.13,0.15,0.18,-,0.11,0.12,0.08,-,0.07,0.11,0.49,0.54,-,5.64,-
17,Asset Turnover,0.33,0.34,0.30,0.31,0.33,0.33,0.30,0.32,0.34,0.33,0.31,0.32,0.34,0.33,0.32,-,-,-,-,
18,Inventory Turnover,80.45,80.14,99.85,165.33,140.48,65.98,101.68,156.42,192.80,224.77,432.92,214.02,236.78,156.66,181.06,308.48,-,-,-,-
19,Quick Ratio,6.09,6.09,5.88,8.84,7.53,7.41,6.59,7.85,6.90,10.43,11.45,11.49,11.54,10.23,9.18,5.29,1.08,-,0.82,-
20,Current Ratio,6.41,6.41,6.09,9.71,7.84,7.80,6.95,8.49,7.29,10.88,11.74,12.10,11.97,10.95,9.73,5.57,1.44,-,0.93,-
21,Return on Equity (ROE),13.44%,15.20%,12.76%,5.14%,14.74%,15.63%,13.20%,5.78%,15.25%,14.22%,13.22%,2.56%,13.99%,15.08%,12.58%,-,-,13.55%,-,
22,Return on Assets (ROA),8.55%,8.93%,7.57%,1.59%,8.86%,9.19%,7.99%,2.05%,9.62%,8.95%,8.23%,0.86%,8.36%,9.59%,8.21%,-,-,-,-,
23,Return on Capital (ROIC),9.90%,10.25%,8.63%,1.83%,10.29%,10.63%,9.21%,2.34%,10.89%,10.11%,9.30%,0.97%,9.47%,10.61%,8.97%,-,-,10.25%,-,
24,Return on Capital Employed (ROCE),10.90%,11.08%,11.41%,11.01%,11.42%,11.66%,12.29%,11.52%,11.80%,11.03%,10.64%,10.68%,10.41%,11.94%,11.72%,11.06%,11.31%,-,4.89%,-
25,Earnings Yield,2.64%,2.57%,3.02%,2.67%,2.64%,2.27%,2.27%,2.50%,2.68%,2.60%,2.36%,2.06%,1.66%,1.99%,1.42%,-,-,-,-,-
26,FCF Yield,1.37%,1.33%,1.97%,2.17%,2.52%,1.86%,1.65%,1.62%,1.67%,2.07%,1.94%,2.63%,2.11%,2.80%,2.19%,-,-,-,-,-
27,Dividend Yield,1.90%,-,-,-,1.91%,-,-,-,3.07%,1.81%,-,-,0.53%,-,-,-,-,-,-,-
28,Payout Ratio,62.28%,-,198.61%,-,-,-,206.71%,15.21%,245.10%,-,76.59%,-,3.74%,-,128.03%,3.33%,332.88%,2.36%,43.36%,21.09%
29,Buyback Yield / Dilution,-0.03%,-0.04%,0.00%,-0.02%,-0.08%,0.02%,0.03%,-0.01%,0.02%,0.05%,-30.44%,-1.71%,-33.32%,-33.45%,4.76%,-41.38%,-,-,-,-
30,Total Shareholder Return,1.87%,-0.04%,0.00%,-0.02%,1.83%,0.02%,0.03%,-0.01%,3.09%,1.86%,-30.44%,-1.71%,-32.78%,-33.45%,4.76%,-41.38%,-,-,-,-
