,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,89864,77251,18286,28867,94220,47446,11409,30100,86302,46503,22696,23702,71798,46792,17152,49167,78619,44114,22877,42905,Upgrade
1,Revenue Growth (YoY),-4.62%,62.82%,60.28%,-4.10%,9.17%,2.03%,-49.73%,26.99%,20.20%,-0.62%,32.32%,-51.79%,-8.68%,6.07%,-25.03%,14.60%,66.22%,-25.79%,9.01%,27.07%,Upgrade
2,Cost of Revenue,64573,63563,14740,26177,82971,46860,14729,29198,80039,40115,23090,18969,58359,44301,11112,42234,76442,40972,22165,39419,Upgrade
3,Gross Profit,25291,13688,3546,2690,11248,586.4,-3320,901.55,6263,6388,-393.91,4733,13439,2490,6040,6933,2177,3141,712.02,3486,Upgrade
4,"Selling, General & Admin",6689,4645,2934,2036,8489,5400,4801,1861,6417,5504,3428,2331,7332,7938,1562,3116,7719,3242,3304,1862,Upgrade
5,Operating Expenses,6689,4645,2934,2036,8489,5400,4801,1861,6417,5504,3428,2331,7332,7938,1562,3116,7719,3242,3304,1862,Upgrade
6,Operating Income,18603,9043,611.89,654.47,2759,-4814,-8122,-959.64,-154.13,883.4,-3822,2402,6107,-5448,4478,3817,-5542,-100.81,-2592,1624,Upgrade
7,Interest Expense,-3183,-4082,-1673,-3016,-2784,-4771,-5130,-2813,-3056,-4466,-3909,-2528,-3737,-3669,-4375,-4174,-4349,-4285,-3925,-4210,Upgrade
8,Interest & Investment Income,-,16028,4.11,125.77,10375,10793,15563,8.26,1696,4005,9028,5.05,13812,8923,-,2726,15111,4768,2306,3482,Upgrade
