,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1132748,1238472,1489186,1401587,1543558,1661364,1600951,1540538,1603972,1661364,1721777,1691571,1591889,1600951,1987596,1872811,1691571,1540538,1200713,1239982,1138790,Upgrade
1,Market Cap Growth,-25.45%,-25.45%,-6.98%,-9.02%,-3.77%,0%,-7.02%,-8.93%,0.76%,3.77%,-13.37%,-9.68%,-5.89%,3.92%,65.53%,51.04%,48.54%,35.28%,-14.52%,8.03%,-8.27%,Upgrade
2,Enterprise Value,1257439,1391243,1664117,1568307,1762721,1839438,1800227,1730806,1828793,1879675,1939077,1894899,1839566,1836533,2020750,1902410,1725697,1569311,1232752,1272391,1168680,Upgrade
3,Last Close Price,37500.00,41000.00,49300.00,46400.00,51100.00,55000.00,53000.00,50700.00,52787.65,54676.47,56664.71,55670.59,52390.00,52688.24,65412.94,61635.29,55670.59,50700.00,39516.18,40808.53,37478.24,Upgrade
4,PE Ratio,17.27,18.89,76.68,93.57,90.97,97.85,226.51,245.05,266.11,266.89,173.29,173.11,203.65,177.20,-14371.85,4473.35,1025.27,-,136.18,149.44,143.40,Upgrade
5,PS Ratio,5.29,5.78,6.81,7.42,8.48,9.07,9.13,8.84,8.64,9.27,10.45,10.25,9.98,8.66,10.37,9.91,8.68,8.17,7.64,7.19,6.67,Upgrade
6,PB Ratio,1.87,2.04,2.71,2.58,2.79,3.01,2.97,2.82,2.92,3.03,3.18,3.13,2.89,2.91,3.74,3.53,3.14,2.87,2.26,2.34,2.13,Upgrade
7,P/TBV Ratio,2.04,2.04,2.72,2.59,2.80,3.01,2.97,2.82,2.93,3.04,3.18,3.13,2.89,2.91,3.75,3.53,3.15,2.87,2.26,2.34,2.13,Upgrade
8,P/FCF Ratio,27.00,-,63.44,-,-293.79,-,-,-,-179.71,-,-,-,-7.89,-,-,-,-,-,-,-,-,Upgrade
