,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,1755,1565,1529,1748,1883,2406,2596,-,-,-,-,-,-,-
1,Market Cap Growth,-34.97%,-34.97%,-41.11%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1660,1470,1421,1564,1071,1595,2327,-,-,-,-,-,-,-
3,Last Close Price,31.40,28.00,27.30,31.21,33.51,42.83,46.20,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,42.87,33.16,-,-,-,-,-,-,-
5,PS Ratio,3.47,3.09,2.09,2.04,1.72,2.15,2.29,-,-,-,-,-,-,-
6,PB Ratio,1.68,1.43,1.40,1.64,1.71,2.15,2.36,-,-,-,-,-,-,-
7,P/TBV Ratio,1.70,1.70,1.66,1.69,1.77,2.23,2.44,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-4.31,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-6.18,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.28,2.90,1.95,1.83,0.98,1.43,2.05,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,35.33,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,37.17,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-4.01,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.27,0.27,0.27,0.17,0.14,0.11,0.07,0.14,0.10,0.10,-,0.15,0.23,0.23
15,Debt / EBITDA Ratio,-,-,-,-,-,2.42,2.01,0.25,-,0.24,-,0.29,5.37,0.33
16,Debt / FCF Ratio,-,-,-0.84,-,-,-,-,-,1.36,-1.13,-,0.92,-,1.37
17,Asset Turnover,-,0.29,0.34,0.26,0.52,0.48,0.82,0.34,-,-,-,-,-,
18,Inventory Turnover,-,-,1.20,1.19,0.80,1.38,1.00,1.20,0.49,-,-,-,-,-
19,Quick Ratio,-,-,1.08,1.12,1.02,1.00,1.09,0.52,0.42,0.41,-,0.40,-,0.56
20,Current Ratio,-,-,1.72,2.04,2.06,2.00,1.77,1.17,1.13,1.16,-,1.14,-,1.23
21,Return on Equity (ROE),-20.63%,-8.64%,-10.03%,-6.61%,5.44%,3.49%,47.58%,-5.19%,-,-,55.28%,-8.79%,-,
22,Return on Assets (ROA),-,-0.27%,-6.04%,-2.08%,-0.15%,1.00%,5.06%,-0.57%,-,-,-,-,-,
23,Return on Capital (ROIC),-14.97%,-0.40%,-9.18%,-3.33%,-0.29%,2.84%,27.56%,-3.25%,-,-,26.14%,-0.39%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,5.34%,20.05%,-,22.50%,-,23.70%,-,14.23%
25,Earnings Yield,-7.14%,-8.00%,-3.48%,-1.35%,2.20%,2.33%,3.02%,-,-,-,-,-,-,-
26,FCF Yield,-,-23.21%,-28.50%,-23.74%,-13.50%,-4.67%,-,-,-,-,-,-,-,
27,Dividend Yield,0.32%,-,-,-,-,0.23%,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,0.10%,2.92%,-,-,-,1.90%,31.39%,-,88.33%
29,Buyback Yield / Dilution,-16.68%,1.75%,-9.96%,-34.98%,-31.42%,-35.67%,-20.59%,0.88%,-1.03%,0.94%,-,-,-,-
30,Total Shareholder Return,-16.36%,1.75%,-9.96%,-34.98%,-31.42%,-35.44%,-20.59%,0.88%,-1.03%,0.94%,-,-,-,-
