,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,72.53,144.3,158.26,131.12,296,268.81,395.81,157.67,311.47,133.79,189.34,78.52,164.1
1,Other Revenue,-,-1.89,1.89,-,0.42,-0.18,0.18,-,0.9,-0.7,0.64,0.07,0.05
2,Revenue,72.53,142.41,160.16,131.12,296.42,268.63,395.99,157.67,312.37,133.09,189.98,78.59,164.15
3,Revenue Growth (YoY),-75.53%,-46.99%,-59.56%,-16.84%,-5.11%,101.83%,108.44%,100.64%,90.30%,-,-,-,-
4,Cost of Revenue,260.71,131.94,146.38,115.25,257.87,234.18,320.54,136.25,254.49,86.1,135.34,58.2,115.87
5,Gross Profit,-188.18,10.47,13.78,15.88,38.55,34.45,75.46,21.42,57.88,46.99,54.64,20.38,48.28
6,"Selling, General & Admin",-56.21,18.06,20.08,18.07,14.91,17.73,16.65,15.61,23.09,20.6,17.3,12.95,14.43
7,Research & Development,-39.3,13.13,12.41,13.76,13.21,14.91,14.88,13.59,13.15,12.12,9.8,8.67,7.29
8,Other Operating Expenses,0.05,-2.3,1.55,0.7,6.51,-1.93,-1.02,-4.53,4.11,-7.78,-4.18,0.72,-2.15
9,Operating Expenses,-104.86,12.58,59.77,32.5,39.95,25.56,36.12,25.7,39.23,24.6,25.16,20.81,14.74
10,Operating Income,-83.33,-2.11,-45.99,-16.63,-1.4,8.89,39.34,-4.28,18.65,22.39,29.48,-0.43,33.53
11,Interest Expense,-6.62,-1.6,-1.14,-1.16,-1.06,-0.23,-0.25,-0.23,-0.33,-0.38,-0.81,-0.58,-1
12,Interest & Investment Income,3.9,1.47,2.16,3,3.28,3.58,0.75,0.72,0.1,0.5,2.28,0.63,0.58
13,Currency Exchange Gain (Loss),-,-0,0,-,-0,0,-0,-,0,-0,0,0,-
14,Other Non Operating Income (Expenses),0.64,-1.11,0.62,-0.24,-1.14,-0.42,-0.2,-0.16,0.85,-1.03,-0.12,-0.05,-0.35
15,EBT Excluding Unusual Items,-85.41,-3.36,-44.35,-15.03,-0.32,11.81,39.64,-3.96,19.28,21.48,30.83,-0.42,32.76
16,Gain (Loss) on Sale of Investments,-2.65,0.83,0.76,1.06,0.31,-,-,-,-,-,0.05,-0.05,-
17,Gain (Loss) on Sale of Assets,-0.01,0.01,0.01,-0.01,-0.01,-,-,-,-0,0.16,0.03,-,0.02
18,Asset Writedown,23.96,-23.95,10.2,-10.2,5.78,-5.77,2.58,-2.59,11.45,-11.45,6.52,-6.52,-0.02
19,Other Unusual Items,-,-1.61,0.81,0.8,16.02,-0.45,0.45,-,10.52,-0.28,-0.05,0.33,0.26
20,Pretax Income,-64.11,-28.08,-32.57,-23.38,21.79,5.59,42.68,-6.54,41.25,9.91,37.38,-6.67,33.02
21,Income Tax Expense,-7.72,-4.72,-5.4,-5.05,6.7,-0.69,4.77,-2.65,4.12,0.3,4.63,-1.79,5.1
22,Earnings From Continuing Operations,-56.4,-23.35,-27.18,-18.33,15.08,6.28,37.91,-3.9,37.13,9.61,32.76,-4.88,27.92
23,Minority Interest in Earnings,-0.45,0.21,0.23,0.01,0.16,0.15,0.19,0.26,0.26,0.16,0.22,0.35,0.95
24,Net Income,-56.85,-23.14,-26.94,-18.32,15.24,6.43,38.1,-3.64,37.39,9.77,32.98,-4.53,28.87
25,Net Income to Common,-56.85,-23.14,-26.94,-18.32,15.24,6.43,38.1,-3.64,37.39,9.77,32.98,-4.53,28.87
26,Net Income Growth,-,-,-,-,-59.23%,-34.22%,15.53%,-,29.50%,-,-,-,-
27,Shares Outstanding (Basic),55,56,56,56,56,51,41,42,42,43,42,42,42
28,Shares Outstanding (Diluted),55,56,56,56,56,51,41,42,42,43,42,42,42
29,Shares Change (YoY),-1.75%,9.96%,34.98%,31.42%,35.67%,20.59%,-0.88%,1.03%,-0.94%,-,-,-,-
30,EPS (Basic),-1.03,-0.41,-0.48,-0.33,0.27,0.13,0.92,-0.09,0.90,0.23,0.79,-0.11,0.69
31,EPS (Diluted),-1.03,-0.41,-0.48,-0.33,0.27,0.13,0.92,-0.09,0.90,0.23,0.79,-0.11,0.69
