,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,216.01,201.94,221.32,240.55,729.86,314.91,267.03,188.91,-,205.79,-,234.56
1,Trading Asset Securities,-,224.73,90.55,110.61,170.31,160,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,440.73,440.73,292.49,331.93,410.86,889.86,314.91,267.03,188.91,-,205.79,234.56,234.56
3,Cash Growth,7.27%,-50.47%,-7.12%,24.31%,117.49%,-,53.03%,13.84%,-19.46%,-,-,-,-
4,Accounts Receivable,-,614.27,570.77,513.73,496.52,404.47,488.07,404.62,415.78,-,320.4,-,204.92
5,Other Receivables,-,16.03,14.69,5.43,16.28,144.94,9.79,9.88,6.58,-,19.22,-,47.28
6,Receivables,-,630.3,585.46,519.16,512.8,549.4,497.86,414.5,422.36,-,339.62,-,252.2
7,Inventory,-,441.7,440.19,543.46,609.08,881.62,994.2,1138,1093,-,927.19,-,564.97
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,1.49,-,0.54
9,Other Current Assets,-,189.05,282.61,321.88,319.08,28.56,28.27,17.43,17.78,-,77.29,-,20.91
10,Total Current Assets,-,1702,1601,1716,1852,2349,1835,1837,1722,-,1551,-,1073
11,"Property, Plant & Equipment",-,238.13,203.48,169.42,151.31,98.66,60.96,40.65,26.35,-,28.11,-,26.43
12,Long-Term Investments,-,8,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,-,75.77,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,50.82,37.84,38.33,38.17,37.34,37.2,37.41,37.62,-,37.92,-,0.29
15,Long-Term Deferred Tax Assets,-,27.88,21.97,15.77,11.32,10.1,9.45,11.98,9.59,-,5.24,-,5.41
16,Long-Term Deferred Charges,-,3.38,1.5,1.57,1.68,1.98,2.2,1.54,1.8,-,1.54,-,1.21
17,Other Long-Term Assets,-,0.93,0,-,-,-,-,9.43,0.04,-,0.75,-,0.63
18,Total Assets,-,2107,1866,1942,2054,2498,1945,1938,1798,-,1625,-,1107
19,Accounts Payable,-,387.36,309.1,382.2,422.37,749.9,895.46,851.68,767.68,-,650.67,-,382.2
20,Accrued Expenses,-,12.93,31.02,13.81,32.01,16.48,39.3,27.98,32.66,-,19.29,-,15.22
21,Short-Term Debt,-,274.74,171.27,138.56,113.12,4,-,1.95,11.36,-,15.11,-,28.11
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.01,-,-,-,-,-
23,Current Portion of Leases,-,8.9,6.99,5.98,8.21,9.57,10.85,12.47,12.19,-,12.05,-,9.88
24,Current Income Taxes Payable,-,6.55,-0.17,13.66,5.57,6.98,2.4,4.69,6.15,-,-,-,5.75
25,Current Unearned Revenue,-,214.78,247.75,263.33,321.48,501.42,605.44,701.68,624.89,-,608.36,-,385.96
26,Other Current Liabilities,-,84.61,17.44,14.55,23.49,37.43,12.09,20.24,31.15,-,55.31,-,44.43
27,Total Current Liabilities,-,989.87,783.42,832.09,926.25,1326,1566,1621,1486,-,1361,-,871.55
28,Long-Term Debt,-,-,-,-,-,58.65,28.44,9.49,-,-,-,-,-
29,Long-Term Leases,-,14.81,8.73,5.44,6.48,7.94,8.03,4.95,5.65,-,10.99,-,13.74
30,Long-Term Unearned Revenue,-,2,2,2,2,2,2,1,1,-,1,-,-
31,Long-Term Deferred Tax Liabilities,-,6.66,2.82,2.01,2.62,2.62,2.7,3.03,3.28,-,-,-,-
32,Total Liabilities,-,1013,796.96,841.54,937.35,1397,1607,1639,1496,-,1373,-,885.29
33,Common Stock,-,56,56,40,40,40,30,30,30,-,30,-,30
34,Additional Paid-In Capital,-,901.25,899.89,914.53,913.16,911.8,165.93,164.57,163.21,-,160.48,-,158.06
35,Retained Earnings,-,91.71,114.85,147.39,165.72,150.5,144.04,105.94,109.58,-,62.42,-,33.97
36,Treasury Stock,-,-2.71,-,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,1046,1046,1071,1102,1119,1102,339.98,300.51,302.78,-,252.9,222.03,222.03
38,Minority Interest,-,47.1,-2.17,-1.94,-1.93,-1.77,-1.62,-1.43,-1.17,-,-0.75,-,-0.18
39,Shareholders' Equity,1093,1093,1069,1100,1117,1101,338.36,299.09,301.62,-,252.15,221.85,221.85
40,Total Liabilities & Equity,-,2107,1866,1942,2054,2498,1945,1938,1798,-,1625,-,1107
41,Total Debt,298.45,298.45,187,149.98,127.81,80.15,47.31,28.87,29.2,-,38.15,51.73,51.73
42,Net Cash (Debt),142.29,142.29,105.49,181.95,283.05,809.71,267.6,238.16,159.71,-,167.64,182.84,182.84
43,Net Cash Growth,-49.73%,-82.43%,-60.58%,-23.60%,77.22%,-,59.63%,30.26%,-12.65%,-,-,-,-
44,Net Cash Per Share,2.57,2.52,1.88,3.26,5.01,15.78,6.45,5.61,3.84,-,4.00,4.35,4.35
45,Filing Date Shares Outstanding,55.46,55.89,56,56,56,56,42,42,42,42,42,42,42
46,Total Common Shares Outstanding,55.89,55.89,56,56,56,56,42,42,42,42,42,42,42
47,Working Capital,-,711.92,817.33,884.34,925.56,1024,269.71,216.55,236.15,-,190.59,-,201.63
48,Book Value Per Share,18.72,18.72,19.12,19.68,19.98,19.68,8.09,7.16,7.21,-,6.02,5.29,5.29
49,Tangible Book Value,919.67,919.67,1033,1064,1081,1065,302.77,263.1,265.17,-,214.98,221.74,221.74
50,Tangible Book Value Per Share,16.46,16.46,18.44,18.99,19.30,19.02,7.21,6.26,6.31,-,5.12,5.28,5.28
51,Machinery,-,-,15.89,-,16.11,-,13.7,11.06,10.96,-,9.26,-,7.12
52,Construction In Progress,-,-,181.28,-,128.41,-,35.71,18.75,3.5,-,0.79,-,-
