,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,29,29,30,24,32,26,47,39,178,58,88
1,Market Cap Growth,18.82%,18.82%,-6.72%,-5.85%,-31.57%,-33.67%,-73.65%,-32.88%,102.73%,-44.70%,-46.34%
2,Enterprise Value,128,196,147,155,129,183,251,222,403,258,312
3,Last Close Price,0.08,0.10,0.13,0.10,0.13,0.13,0.23,0.20,0.89,0.29,0.44
4,PE Ratio,-,-4.05,-,-,1.61,-0.93,-,-1.17,-,-0.99,-
5,PS Ratio,0.04,0.06,0.05,0.04,0.05,0.05,0.10,0.09,0.48,0.12,0.15
6,PB Ratio,0.67,0.81,1.10,0.61,0.68,0.72,1.75,0.57,3.13,1.02,1.55
7,P/TBV Ratio,2.10,2.10,5.56,1.35,1.30,2.10,14.36,0.91,5.70,1.92,2.93
8,P/FCF Ratio,1.12,1.14,-,-2.42,-,0.24,2.76,-,-17.23,-,-2.40
9,P/OCF Ratio,1.12,1.12,-,-3.02,-,0.23,2.41,-,-20.39,-,-3.90
10,EV/Sales Ratio,0.24,0.38,0.26,0.25,0.21,0.33,0.55,0.52,1.08,0.55,0.53
11,EV/EBITDA Ratio,9.25,16.34,-,7.06,3.61,-6.24,-,-7.90,-,-6.09,-
12,EV/EBIT Ratio,16.60,26.54,-,9.12,4.20,-5.29,-,-6.65,-,-5.15,-
13,EV/FCF Ratio,4.98,7.66,-,-15.28,-,1.66,14.77,-,-38.90,-,-8.51
14,Debt / Equity Ratio,3.40,3.40,7.10,3.27,3.21,3.58,7.20,3.76,4.33,5.12,4.36
15,Debt / FCF Ratio,4.75,4.75,-,-13.02,-,1.17,11.36,-,-23.82,-,-6.73
16,Return on Capital Employed (ROCE),16.00%,15.39%,-,32.65%,51.58%,-77.14%,-,-33.91%,-,-50.47%,-
17,Earnings Yield,-25.07%,-24.72%,-61.20%,2.61%,61.96%,-107.11%,-82.65%,-85.45%,-18.64%,-101.40%,-66.63%
18,FCF Yield,89.33%,88.09%,-62.20%,-41.36%,113.40%,421.89%,36.20%,-44.34%,-5.80%,12.16%,-41.72%
19,Buyback Yield / Dilution,-5.44%,-5.03%,-5.88%,-20.00%,-13.33%,-,-,-,-,-,-2.60%
20,Total Shareholder Return,-5.44%,-5.03%,-5.88%,-20.00%,-13.33%,-,-,-,-,-,-2.60%
