,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,350.45,452.66,364.55,376.48,416.91,324.57,314,316.32,319.56,305.66,326.99,277.48,320.41,357.94,380.27,384.63,363.25,302.69,302.69
1,Other Revenue,-,-,-,1.37,-1.02,1.02,-,2.17,-1.11,1.11,-,-,-1.65,1.65,-,0.98,-0.41,0.21,0.21
2,Revenue,350.45,452.66,364.55,377.85,415.88,325.59,314,318.49,318.45,306.77,326.99,277.48,318.76,359.6,380.27,385.61,362.83,302.9,302.9
3,Revenue Growth (YoY),-15.73%,39.03%,16.10%,18.64%,30.60%,6.14%,-3.97%,14.78%,-0.10%,-14.69%,-14.01%,-28.04%,-12.15%,18.72%,25.54%,-,-,-,-
4,Cost of Revenue,288.48,368.79,313.93,320.57,362.04,288.32,279.25,287.6,299.97,281.49,279.11,242.08,290.23,281.88,285.25,289.43,259.22,231.46,231.46
5,Gross Profit,61.96,83.87,50.61,57.28,53.84,37.27,34.75,30.9,18.48,25.28,47.88,35.41,28.53,77.72,95.02,96.18,103.61,71.43,71.43
6,"Selling, General & Admin",14.03,14.4,12.86,19.13,12.29,12.97,12.86,12.01,12.84,11.79,11.45,11.38,16.26,9.88,18.13,16.78,17.08,15.37,15.37
7,Research & Development,15.04,20.8,13.68,16.26,15.03,14.59,12.59,14.27,12.53,12.76,14.31,13.2,13.34,14.44,15.47,16.19,14.15,11.06,11.06
8,Other Operating Expenses,0.2,1.93,-0.63,-4.86,0.86,2.86,0.33,22.01,0.52,-0.21,-13.97,6.57,0.56,-1.13,1,6.54,0.62,0.64,0.64
9,Operating Expenses,27.55,39.53,26.71,28.6,31.53,29.54,27.97,46.64,26.22,23.88,13.54,34.91,25.71,26.56,33.5,37.39,32.37,27.56,27.56
10,Operating Income,34.41,44.34,23.9,28.68,22.32,7.73,6.78,-15.74,-7.74,1.4,34.34,0.5,2.82,51.16,61.52,58.78,71.24,43.87,43.87
11,Interest Expense,-1.66,-0.76,-1.42,-1.35,-2.76,-2.9,-3.06,-2.17,-2.61,-2.8,-1.41,-0.56,-2.77,-6.27,-6.79,-7.77,-8.31,-8.13,-8.13
12,Interest & Investment Income,0.01,0.81,0.11,0.04,0.07,0.55,0.05,0.01,0.02,1.16,0.01,0.02,0.12,0.74,0.02,0.03,0.02,0.37,0.37
13,Currency Exchange Gain (Loss),-0.57,0.57,-,0.54,-0.47,0.47,-,1.16,-0.35,0.35,-,-0.42,0.21,-0.21,-,-0.78,-0.19,0.1,0.1
14,Other Non Operating Income (Expenses),1.51,-0.87,0.43,-0.65,0.61,0.19,-0.5,-0.98,0.91,0.05,-0.15,6.83,-7.01,5.34,-0.43,0.49,-0.43,-0.15,-0.15
