,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3898,3983,2602,1769,2217,2141,1873,2081,1658,1752,2248,2578,3057,3674,-,-,-,-,-,-
1,Market Cap Growth,86.03%,86.03%,38.92%,-14.99%,33.72%,22.20%,-16.68%,-19.28%,-45.76%,-52.31%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3868,3945,2559,1872,2320,2291,2044,2199,1776,1927,2363,2561,3040,4094,-,-,-,-,-,-
3,Last Close Price,38.98,39.60,25.60,17.41,21.81,21.07,18.43,20.28,16.16,17.07,21.90,24.21,28.71,34.50,-,-,-,-,-,-
4,PE Ratio,31.71,32.68,24.78,26.79,46.89,62.41,187.76,-,57.85,-,59.51,33.29,32.09,-,-,-,-,-,-,-
5,PS Ratio,2.50,2.58,1.62,1.19,1.55,1.56,1.47,1.65,1.30,1.42,1.83,2.01,2.29,2.54,-,-,-,-,-,-
6,PB Ratio,2.38,2.43,1.59,1.11,1.41,1.39,1.22,1.35,1.08,1.15,1.46,1.60,1.93,2.34,-,-,-,-,-,-
7,P/TBV Ratio,2.58,2.58,1.69,1.18,1.50,1.47,1.30,1.44,1.15,1.22,1.56,1.69,2.05,2.48,-,-,-,-,-,-
8,P/FCF Ratio,24.72,25.26,-,7.74,23.48,30.35,36.15,-,-513.71,-21.31,-11.50,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,22.57,22.57,-,7.51,21.96,60.98,71.63,-,-,-120.67,-22.12,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.50,2.55,1.59,1.26,1.62,1.67,1.60,1.75,1.40,1.57,1.92,2.00,2.28,2.83,-,-,-,-,-,-
11,EV/EBITDA Ratio,13.05,13.38,9.09,7.61,10.19,12.58,13.74,15.57,10.73,10.80,12.94,11.22,12.20,13.60,-,-,-,-,-,-
12,EV/EBIT Ratio,30.10,30.04,21.46,22.66,35.42,108.65,-227.81,-143.74,-,-,60.50,28.83,26.21,23.49,-,-,-,-,-,-
13,EV/FCF Ratio,24.54,25.02,-,8.19,24.57,32.48,39.44,-,-550.34,-23.45,-12.09,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,0.02,0.06,0.09,0.13,0.14,0.10,0.10,0.13,0.08,0.04,0.01,0.42,0.43,0.43,-,-,0.53
15,Debt / EBITDA Ratio,-,-,-,0.10,0.36,0.58,1.01,1.13,1.62,1.31,1.20,0.48,0.46,0.08,1.28,1.14,1.18,-,-,1.50
