,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,192870452,174148595,170489523,164501255,167495389,112015844,118355076,113782666,99713712,90920616,114310252,124813021,173965828,175545740,174141374,184708558,141598212,110404546,79103163,68427736,52502099,Upgrade
1,Market Cap Growth,55.47%,55.47%,44.05%,44.57%,67.98%,23.20%,3.54%,-8.84%,-42.68%,-48.21%,-34.36%,-32.43%,22.86%,59.00%,120.14%,169.93%,169.70%,33.94%,-3.11%,-3.83%,-41.35%,Upgrade
2,Last Close Price,27300.00,24650.00,24200.00,23350.00,23057.44,15420.12,16317.20,15686.82,13747.18,12534.91,15759.56,17238.53,24027.26,24245.47,24051.51,25554.73,19590.34,15274.65,10958.95,9479.98,7273.64,Upgrade
3,PE Ratio,8.96,8.09,7.56,7.68,8.51,6.24,6.93,6.41,5.22,4.52,5.40,6.17,9.10,9.74,10.02,11.45,9.94,8.97,6.96,6.32,5.04,Upgrade
4,PS Ratio,4.49,4.06,3.98,3.95,4.36,3.10,3.34,3.20,2.65,2.36,2.90,3.28,4.82,5.10,5.38,6.01,5.15,4.46,3.35,3.11,2.47,Upgrade
5,PB Ratio,1.33,1.18,1.18,1.19,1.21,0.85,0.93,0.93,0.85,0.80,1.04,1.19,1.76,1.89,1.97,2.20,1.79,1.48,1.12,1.01,0.81,Upgrade
6,P/FCF Ratio,-,-,-4.92,-3.52,-,-,-,-1.79,-,-,-,-2.29,-,-,-,-,-,-,-,-7.33,-,Upgrade
7,P/OCF Ratio,-,-,-5.09,-3.60,-,-,-,-1.83,-,-,-,-2.32,-,-,-,-,-,-,-,-7.66,-,Upgrade
8,Debt / Equity Ratio,1.38,1.38,1.36,1.50,1.41,1.46,1.32,1.33,1.28,1.30,1.40,1.16,1.12,1.08,1.06,0.89,0.77,0.73,0.69,0.75,0.70,Upgrade
9,Debt / FCF Ratio,-,-,-5.65,-4.45,-,-,-,-2.56,-,-,-,-2.22,-,-,-,-,-,-,-,-5.42,-,Upgrade
10,Return on Equity (ROE),9.36%,16.38%,18.15%,18.63%,13.86%,14.96%,14.98%,15.69%,12.80%,20.03%,23.17%,23.44%,20.73%,20.58%,23.59%,23.30%,22.08%,18.43%,17.51%,15.83%,Upgrade,
11,Return on Assets (ROA),1.44%,2.52%,2.80%,2.89%,2.20%,2.47%,2.47%,2.55%,2.09%,3.32%,3.80%,3.79%,3.39%,3.39%,3.98%,3.97%,3.81%,3.19%,2.93%,2.58%,Upgrade,
12,Earnings Yield,11.16%,12.36%,13.25%,13.05%,11.78%,16.07%,14.46%,15.64%,19.20%,22.16%,18.56%,16.23%,11.01%,10.28%,9.99%,8.75%,10.07%,11.16%,14.41%,15.87%,19.90%,Upgrade
13,FCF Yield,-8.84%,-9.79%,-20.34%,-28.44%,-28.38%,-63.42%,-46.19%,-55.85%,-63.54%,-48.84%,-56.92%,-43.69%,-44.49%,-51.49%,-52.19%,-51.91%,-49.42%,-39.07%,-30.02%,-13.64%,-75.39%,Upgrade
14,Dividend Yield,2.69%,-,-,-,-,4.86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Payout Ratio,24.21%,-,1.22%,82.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,-0.42%,-0.28%,-0.15%,-0.15%,-0.15%,-0.15%,-,-0.18%,-0.18%,-0.18%,-0.18%,-0.17%,-0.17%,-0.17%,-0.31%,-0.14%,-0.14%,-0.14%,-0.10%,-0.10%,-0.10%,Upgrade
17,Total Shareholder Return,2.28%,-0.28%,-0.15%,-0.15%,-0.15%,4.71%,-,-0.18%,-0.18%,-0.18%,-0.18%,-0.17%,-0.17%,-0.17%,-0.31%,-0.14%,-0.14%,-0.14%,-0.10%,-0.10%,-0.10%,Upgrade
