,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,15064961,15168282,15348981,14507238,14444980,14532716,13997858,13732205,12250039,11251381,10563140,10688076,9510371,9120277,8721445,8151158,7678930,7687905,6629533,7005544,Upgrade
1,Interest Paid on Deposits,6463144,6239606,5871055,6007694,6847777,7260556,7702981,7205325,5430628,3685920,2769300,2577013,2265768,2377788,2133645,2027437,2210191,2553225,2691107,2796180,Upgrade
2,Net Interest Income,8601817,8928676,9477926,8499544,7597203,7272160,6294877,6526880,6819411,7565461,7793840,8111063,7244603,6742489,6587800,6123721,5468739,5134680,3938426,4209364,Upgrade
3,Net Interest Income Growth (YoY),13.22%,22.78%,50.57%,30.22%,11.41%,-3.88%,-19.23%,-19.53%,-5.87%,12.21%,18.31%,32.45%,32.47%,31.31%,67.27%,45.48%,40.07%,37.85%,23.13%,22.71%,Upgrade
4,Income From Trading Activities,2001,-527,750166,-23405,279761,-5587,82907,29267,-117652,174430,441306,-314376,303233,290629,616355,746496,528551,331538,884979,73326,Upgrade
5,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,731027,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Gain (Loss) on Sale of Investments,249851,389242,-,1073030,-,634737,-,-30632,-,-,-,-,-,-,-,-489,-,-,-557197,557197,Upgrade
7,Other Non-Interest Income,700930,2436944,3191604,2712598,3140490,2517183,2947387,2043432,2649175,2495606,2699234,2209693,2611141,1746031,2001808,2061985,1868826,2120759,1550598,1268902,Upgrade
8,Total Non-Interest Income,952782,2825659,3941770,3762223,3420251,3146333,3030294,2773094,2531523,2670036,3140540,1895317,2914374,2036660,2618163,2807992,2397377,2452297,1878380,1899425,Upgrade
9,Non-Interest Income Growth (YoY),-72.14%,-10.19%,30.08%,35.67%,35.11%,17.84%,-3.51%,46.31%,-13.14%,31.10%,19.95%,-32.50%,21.57%,-16.95%,39.38%,47.83%,-11.96%,50.09%,25.89%,97.57%,Upgrade
10,Revenues Before Loan Losses,9554599,11754335,13419696,12261767,11017454,10418493,9325171,9299974,9350934,10235497,10934380,10006380,10158977,8779149,9205963,8931713,7866116,7586977,5816806,6108789,Upgrade
11,Provision for Loan Losses,117844,1109265,1644213,1210972,1634295,944972,807271,534530,691259,609268,417381,218386,627184,588931,597671,850817,366266,1033718,439031,772020,Upgrade
12,Revenue,9436755,10645070,11775483,11050795,9383159,9473521,8517900,8765444,8659675,9626229,10516999,9787994,9531793,8190218,8608292,8080896,7499850,6553259,5377775,5336769,Upgrade
13,Revenue Growth (YoY),0.57%,12.37%,38.24%,26.07%,8.35%,-1.59%,-19.01%,-10.45%,-9.15%,17.53%,22.17%,21.13%,27.09%,24.98%,60.07%,51.42%,18.77%,31.25%,16.44%,26.33%,Upgrade
14,Salaries and Employee Benefits,-,-,-,1704561,1674027,-,-,1699366,1610373,-,-,1650030,1623413,-,-,3174417,1406828,-,1155400,1283730,Upgrade
15,Occupancy Expenses,-,-,-,542574,112752,-,-,452354,-52796,-,-,379866,-41605,-,-,617822,343815,-,83454,258605,Upgrade
16,Federal Deposit Insurance,-,-,-,120446,115952,-,-,90284,84471,-,-,84517,80836,-,-,151519,71002,-,66200,61483,Upgrade
17,"Selling, General & Administrative",-,-,-,591790,1238218,-,-,524197,1682281,-,-,627128,1617697,-,-,832817,437914,-,373024,409837,Upgrade
18,Other Non-Interest Expense,4740723,3430902,3948974,289765,469140,3630731,2868890,375885,589123,2911150,3195863,261123,111556,2627889,2590526,-2213981,151434,2579393,82854,202384,Upgrade
19,Total Non-Interest Expense,4740723,3430902,3948974,3249136,3610089,3630731,2868890,3142086,3913452,2911150,3195863,3002664,3391897,2627889,2590526,2562594,2410993,2579393,1760932,2216039,Upgrade
20,EBT Excluding Unusual Items,4696032,7214168,7826509,7801659,5773070,5842790,5649010,5623358,4746223,6715079,7321136,6785330,6139896,5562329,6017766,5518302,5088857,3973866,3616843,3120730,Upgrade
21,Pretax Income,4696032,7214168,7826509,7801659,5773070,5842790,5649010,5623358,4746223,6715079,7321136,6785330,6139896,5562329,6017766,5518302,5088857,3973866,3616843,3120730,Upgrade
22,Income Tax Expense,1275921,1421146,1556541,1524656,1291455,1174085,1145561,1086261,1174136,1347539,1438881,1170786,1439443,1130274,1211109,1042085,1081306,793599,727848,615076,Upgrade
23,Earnings From Continuing Operations,3420111,5793022,6269968,6277003,4481615,4668705,4503449,4537097,3572087,5367540,5882255,5614544,4700453,4432055,4806657,4476217,4007551,3180267,2888995,2505654,Upgrade
24,Minority Interest in Earnings,-49046,-55517,-76607,-56006,-42706,-55762,-48394,-40202,-27815,-69574,-78730,-109930,-93658,-94455,-95531,-79488,-54349,-81249,-72116,-49762,Upgrade
