,Fiscal Quarter,H2 2019,H1 2019,H2 2018,H1 2018,H2 2017,H1 2017,H2 2016,H1 2016,H1 2015,H2 2014,+2 Quarters
,Period Ending,"Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014",+2 Quarters
0,Revenue,518921,305623,307962,407298,263618,146503,288497,190364,164510,205489,Upgrade
1,Revenue Growth (YoY),68.50%,-24.96%,16.82%,178.01%,-8.62%,-23.04%,75.37%,-7.36%,-11.07%,21.07%,Upgrade
2,Cost of Revenue,346505,239048,198985,340065,196594,106336,215504,156937,127973,170909,Upgrade
3,Gross Profit,172416,66575,108977,67233,67024,40167,72993,33426,36537,34580,Upgrade
4,"Selling, General & Admin",29584,19454,26568,20116,18026,18058,19009,13722,14019,14615,Upgrade
5,Operating Expenses,29584,19454,26568,20116,18026,18058,19009,13722,14019,14615,Upgrade
6,Operating Income,142832,47121,82410,47117,48997,22109,53984,19704,22518,19965,Upgrade
7,Interest Expense,-11941,-6177,-8551,-9353,-9935,-8312,-4691,-4313,-8940,-4728,Upgrade
8,Interest & Investment Income,964.36,6280,2691,5478,37540,3865,2054,1172,2363,1018,Upgrade
9,Earnings From Equity Investments,-877.46,119.99,76.01,135.76,270.02,9.16,-126.73,212.42,-320.62,224.36,Upgrade
10,Currency Exchange Gain (Loss),-27.15,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),-999.57,-85.95,50.51,-3.77,-1557,338.25,-2346,651.92,-263.14,-1013,Upgrade
12,EBT Excluding Unusual Items,129951,47257,76676,43373,75315,18010,48874,17428,15357,15467,Upgrade
13,Gain (Loss) on Sale of Investments,-0.15,-0.06,0.17,-0.01,2345,-,846.83,-,-,-315.77,Upgrade
14,Gain (Loss) on Sale of Assets,6473,-,-,10653,462.74,-,-,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,-7.15,-,-29.53,-,-,-,Upgrade
16,Pretax Income,136424,47257,76677,54026,78115,18010,49691,17428,15357,15151,Upgrade
17,Income Tax Expense,28741,8935,14787,9942,13858,1201,5980,1796,3611,2979,Upgrade
18,Earnings From Continuing Operations,107683,38322,61889,44084,64257,16809,43711,15632,11746,12172,Upgrade
19,Minority Interest in Earnings,-938.06,-384.06,-815.19,-513.9,-421.94,-365.05,-307.09,-944.77,-12097,-976.61,Upgrade
20,Net Income,106744,37938,61074,43570,63835,16444,43404,14687,-350.98,11196,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,11569,-,-,-,6462,-,-,-,Upgrade
22,Net Income to Common,106744,37938,49505,43570,63835,16444,36942,14687,-350.98,11196,Upgrade
23,Net Income Growth,74.78%,-12.92%,-4.33%,164.96%,47.07%,11.96%,-,31.18%,-,-30.81%,Upgrade
24,Shares Outstanding (Basic),150,132,141,141,-,-,-,-,150,159,Upgrade
25,Shares Outstanding (Diluted),150,132,141,141,-,-,-,-,150,159,Upgrade
26,Shares Change (YoY),6.13%,-6.73%,-,-,-,-,-,-,-1.51%,3.97%,Upgrade
27,EPS (Basic),712.75,288.23,350.80,308.74,-,-,-,-,-2.33,70.55,Upgrade
28,EPS (Diluted),712.75,288.23,350.80,308.74,-,-,-,-,-2.33,70.55,Upgrade
29,EPS Growth,103.18%,-6.64%,-,-,-,-,-,-,-,-33.46%,Upgrade
30,Free Cash Flow,43763,26907,-94954,-109576,106252,12825,-3005,-78457,-24187,28159,Upgrade
31,Free Cash Flow Per Share,292.21,204.42,-672.86,-776.47,-,-,-,-,-160.76,177.44,Upgrade
32,Operating Margin,27.52%,15.42%,26.76%,11.57%,18.59%,15.09%,18.71%,10.35%,13.69%,9.72%,Upgrade
33,Profit Margin,20.57%,12.41%,16.07%,10.70%,24.22%,11.22%,12.80%,7.72%,-0.21%,5.45%,Upgrade
34,Free Cash Flow Margin,8.43%,8.80%,-30.83%,-26.90%,40.31%,8.75%,-1.04%,-41.21%,-14.70%,13.70%,Upgrade
35,EBITDA,146238,50369,85614,50169,52059,24928,56591,22197,24879,22104,Upgrade
36,D&A For EBITDA,3406,3249,3204,3052,3062,2819,2607,2493,2362,2139,Upgrade
37,EBIT,142832,47121,82410,47117,48997,22109,53984,19704,22518,19965,Upgrade
38,Revenue as Reported,518921,305623,307962,407298,263618,146503,288497,190364,164510,205489,Upgrade
