,Fiscal Quarter,H2 2019,H1 2019,H2 2018,H1 2018,H2 2017,H1 2017,H2 2016,H1 2016,H1 2015,H2 2014,+2 Quarters
,Period Ending,"Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014",+2 Quarters
0,Cash & Equivalents,53906,126720,83927,-,93365,14907,27591,-,10920,30646,Upgrade
1,Short-Term Investments,31.6,12,1046,-,292,71268,283,-,6632,2731,Upgrade
2,Trading Asset Securities,9544,9544,4194,-,4194,0.22,3458,-,2958,-,Upgrade
3,Cash & Short-Term Investments,63481,136276,89168,-,97851,86176,31332,-,20510,33377,Upgrade
4,Cash Growth,-28.81%,-,-8.87%,-,212.30%,-,52.76%,-,78.70%,15.72%,Upgrade
5,Accounts Receivable,324180,265395,224700,-,221608,89132,203960,-,72257,102814,Upgrade
6,Other Receivables,8286,1156,5260,-,5207,63414,59963,-,9785,10616,Upgrade
7,Receivables,332465,266551,229960,-,226815,152546,263923,-,82042,113430,Upgrade
8,Inventory,936718,761406,650472,-,991584,1030179,913101,-,844101,871226,Upgrade
9,Prepaid Expenses,758.72,2697,1466,-,983.39,1398,1348,-,-,-,Upgrade
10,Other Current Assets,197086,401382,328762,-,68721,155739,103954,-,24328,31778,Upgrade
11,Total Current Assets,1530510,1568312,1299828,-,1385954,1426038,1313658,-,970981,1049811,Upgrade
12,"Property, Plant & Equipment",312256,312818,242505,-,42759,43020,40166,-,34538,37025,Upgrade
13,Long-Term Investments,21742,22619,26329,-,24438,25567,24807,-,76018,75741,Upgrade
14,Other Intangible Assets,517323,2337,2352,-,2380,2395,7091,-,6862,6862,Upgrade
15,Long-Term Deferred Tax Assets,118.81,118.81,118.81,-,118.81,118.81,118.81,-,189.03,229.6,Upgrade
16,Other Long-Term Assets,81375,76882,67313,-,46166,46218,38305,-,38978,38178,Upgrade
17,Total Assets,2463325,1983087,1638446,-,1501815,1543355,1424146,-,1127566,1207847,Upgrade
18,Accounts Payable,76215,41606,57271,-,44628,36057,45259,-,22263,101134,Upgrade
19,Accrued Expenses,26643,21377,30331,-,18611,14759,21369,-,20222,12734,Upgrade
20,Short-Term Debt,318880,302916,226330,-,153562,27000,147765,-,233182,165998,Upgrade
21,Current Portion of Long-Term Debt,-,112271,-,-,-,180366,-,-,-,-,Upgrade
22,Current Portion of Leases,111554,-,82385,-,742.28,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,34731,8908,23179,-,10099,1251,6767,-,7039,3830,Upgrade
24,Current Unearned Revenue,32911,73840,24626,-,149470,204583,64933,-,8645,661,Upgrade
25,Other Current Liabilities,219385,203045,89804,-,37369,77554,138583,-,118004,136527,Upgrade
26,Total Current Liabilities,820320,763963,533926,-,414481,541570,424676,-,409356,420885,Upgrade
27,Long-Term Debt,481838,385799,297018,-,368458,365296,330147,-,119600,174000,Upgrade
28,Long-Term Unearned Revenue,-,-,-,-,-,280,280,-,280,1896,Upgrade
29,Other Long-Term Liabilities,3590,3951,4711,-,2855,1341,1072,-,805.5,805.5,Upgrade
30,Total Liabilities,1305748,1153712,835654,-,785794,908487,756175,-,530041,597586,Upgrade
31,Common Stock,579244,579244,504313,-,450789,450789,450789,-,411132,274097,Upgrade
32,Additional Paid-In Capital,84786,84786,92783,-,92783,87833,87833,-,87833,183755,Upgrade
33,Retained Earnings,254314,147569,196151,-,155540,98549,132018,-,83280,135410,Upgrade
34,Treasury Stock,-8.29,-8.29,-8218,-,-231.29,-19937,-19937,-,-241.73,-235.79,Upgrade
35,Total Common Equity,918335,811591,785029,-,698881,617234,650703,-,582003,593026,Upgrade
36,Minority Interest,239242,17784,17763,-,17141,17634,17269,-,15522,17235,Upgrade
37,Shareholders' Equity,1157577,829375,802792,-,716022,634868,667972,-,597525,610261,Upgrade
38,Total Liabilities & Equity,2463325,1983087,1638446,-,1501815,1543355,1424146,-,1127566,1207847,Upgrade
39,Total Debt,912272,800986,605733,-,522762,572662,477912,-,352782,339998,Upgrade
40,Net Cash (Debt),-848791,-664710,-516565,-,-424911,-486486,-446580,-,-332272,-306621,Upgrade
41,Net Cash Per Share,-5667.49,-5049.98,-3660.46,-,-,-,-,-,-2208.52,-1932.17,Upgrade
42,Filing Date Shares Outstanding,149.62,149.62,148.39,141.12,149.97,-,145.05,-,150.45,155.72,Upgrade
43,Total Common Shares Outstanding,149.62,149.62,148.39,141.12,149.97,-,145.05,-,150.45,155.72,Upgrade
44,Working Capital,710190,804349,765902,-,971473,884468,888982,-,561625,628926,Upgrade
45,Book Value Per Share,6137.90,5424.45,5290.39,-,4660.13,-,4486.00,-,3868.40,3808.27,Upgrade
46,Tangible Book Value,401012,809254,782677,-,696500,614840,643612,-,575140,586164,Upgrade
47,Tangible Book Value Per Share,2680.26,5408.83,5274.54,-,4644.26,-,4437.11,-,3822.79,3764.20,Upgrade
48,Buildings,42255,42526,42467,-,43708,43033,42595,-,41369,41369,Upgrade
49,Machinery,68394,69415,63967,-,58367,57524,53692,-,43364,43243,Upgrade
50,Construction In Progress,268990,267583,200114,-,-,498.07,-,-,-,961.29,Upgrade
