,Fiscal Quarter,Current,H2 2019,H1 2019,H2 2018,H1 2018,H2 2017,H1 2017,H2 2016,H1 2016,H1 2015,H2 2014,+2 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014",+2 Quarters
0,Market Capitalization,4423203,1378582,863049,683201,714359,741531,685200,471123,563222,559140,625503,Upgrade
1,Market Cap Growth,83.82%,101.78%,20.81%,-7.87%,4.26%,57.40%,21.66%,-15.74%,-9.96%,-10.29%,19.47%,Upgrade
2,Enterprise Value,6027638,2061076,1397377,1125254,1156411,1245651,1032994,818918,911016,882995,957553,Upgrade
3,Last Close Price,24800.00,8604.69,5386.97,4401.38,4495.69,4617.52,4266.64,2823.92,3256.54,3125.01,3377.77,Upgrade
4,PE Ratio,68.17,9.53,9.87,7.34,6.65,9.24,12.83,9.13,39.29,-,55.50,Upgrade
5,PS Ratio,8.09,1.67,1.41,0.96,1.06,1.81,1.58,0.98,1.59,1.51,1.60,Upgrade
6,PB Ratio,1.97,1.19,1.04,0.85,-,1.04,1.08,0.71,-,0.94,1.02,Upgrade
7,P/TBV Ratio,1.99,3.44,1.07,0.87,-,1.06,1.11,0.73,-,0.97,1.07,Upgrade
8,P/FCF Ratio,-,19.51,-12.68,-,-,6.23,69.77,-,-,-,8.50,Upgrade
9,P/OCF Ratio,-,16.86,-15.04,-,-,5.50,25.68,-6.25,-,-,8.42,Upgrade
10,EV/Sales Ratio,11.03,2.50,2.28,1.57,1.72,3.04,2.37,1.71,2.57,2.39,2.45,Upgrade
11,EV/EBITDA Ratio,32.91,10.48,10.28,8.29,11.31,16.18,12.67,10.39,19.35,18.79,21.50,Upgrade
12,EV/EBIT Ratio,36.03,10.85,10.79,8.69,12.03,17.52,13.58,11.11,21.58,20.78,23.97,Upgrade
13,EV/FCF Ratio,-44.58,29.16,-20.54,-,-,10.46,105.19,-,-,-,13.01,Upgrade
14,Debt / Equity Ratio,0.70,0.79,0.97,0.75,-,0.73,0.90,0.72,-,0.59,0.56,Upgrade
15,Debt / FCF Ratio,-,12.91,-11.77,-,-,4.39,58.31,-,-,-,4.62,Upgrade
16,Return on Capital Employed (ROCE),5.97%,11.56%,10.62%,11.73%,-,6.54%,7.60%,7.37%,-,5.92%,5.08%,Upgrade
17,Earnings Yield,1.47%,10.50%,11.47%,15.32%,15.04%,10.83%,8.73%,12.33%,2.55%,1.94%,1.80%,Upgrade
18,FCF Yield,-3.06%,5.13%,-7.88%,-29.94%,-0.47%,16.06%,1.43%,-17.29%,-18.22%,0.71%,11.77%,Upgrade
19,Buyback Yield / Dilution,-28.21%,-6.13%,6.73%,-,-,-,-,-,-,1.51%,-3.97%,Upgrade
20,Total Shareholder Return,-28.21%,-6.13%,6.73%,-,-,-,-,-,-,1.51%,-3.97%,Upgrade
